nch18_Cdd_Cgg (ll=3.5e-07) X,nch18_Cdd_Cgg (ll=3.5e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0,0.2232274690755941,0,0.2034085460263169,0,0.1728686406404252,0,0.1503990073884593,0,0.1331514559804973,0,0.1194832711426144,0,0.108378510919782,0,0.09917413688590269,0,0.08479320139424679,0,0.07406775905732552,0,0.06575777295959991,0,0.05912817894529649,0,0.05371519831683153,0,0.04921158803460923,0,0.04540565750522574
0.01,0.2238848487752279,0.01,0.204053317703712,0.01,0.1734736067935793,0.01,0.1509596034055554,0.01,0.1336697823535284,0.01,0.1199632892944083,0.01,0.1088244206777293,0.01,0.09958983591605242,0.01,0.08515835920183865,0.01,0.07439272241184341,0.01,0.06605021721914303,0.01,0.05939386434539629,0.01,0.0539585236182205,0.01,0.0494359731259798,0.01,0.0456138065007577
0.02,0.2245310895271839,0.02,0.2046871568862496,0.02,0.1740682798407038,0.02,0.1515106115514383,0.02,0.1341791930644163,0.02,0.1204350046465132,0.02,0.1092625778637559,0.02,0.09999827415755753,0.02,0.08551708973521671,0.02,0.07471193200195947,0.02,0.06633745994501004,0.02,0.05965480767142061,0.02,0.05419749429669703,0.02,0.04965633428337048,0.02,0.04581821684137515
0.03,0.2251662259531588,0.03,0.2053100647512661,0.03,0.1746526252178847,0.03,0.1520519836867925,0.03,0.1346796366168322,0.03,0.120898366965282,0.03,0.1096929354480484,0.03,0.1003994084382224,0.03,0.08586935740108952,0.03,0.07502535856232537,0.03,0.06661947683970397,0.03,0.05991098847672453,0.03,0.05443209290480036,0.03,0.04987265642251561,0.03,0.04601887533154329
0.04,0.2257903152621853,0.04,0.2059220692975095,0.04,0.1752266399078028,0.04,0.1525837047982889,0.04,0.135171094417202,0.04,0.1213533576964046,0.04,0.1101154763402468,0.04,0.1007932235580385,0.04,0.0862151505687775,0.04,0.07533299312516278,0.04,0.06689626074649392,0.04,0.06016240079958626,0.04,0.0546623142645155,0.04,0.05008493488316682,0.04,0.04621577765947394
0.05,0.2264034380806856,0.05,0.2065232259525717,0.05,0.1757903519840537,0.05,0.1531057912417585,0.05,0.1356535777756008,0.05,0.1217999858817749,0.05,0.1105302084010241,0.05,0.1011797265637326,0.05,0.08655447478961592,0.05,0.07563483960029743,0.05,0.06716781387043755,0.05,0.06040904521194831,0.05,0.05488815746783489,0.05,0.05029316746385572,0.05,0.04640892052049408
0.06,0.2270056962336674,0.06,0.2071136149091768,0.06,0.1763438165422445,0.06,0.1536182851574597,0.06,0.1361271209610732,0.06,0.1222382800797273,0.06,0.1109371554496894,0.06,0.1015589370400319,0.06,0.08688734212102282,0.06,0.07593090357642479,0.06,0.06743413634649585,0.06,0.06065091734202117,0.06,0.05510961447512378,0.06,0.05049734317386242,0.06,0.04659829057175431
0.07000000000000001,0.2275972068198902,0.07000000000000001,0.2076933345248339,0.07000000000000001,0.1768871073604972,0.07000000000000001,0.1541212444143901,0.07000000000000001,0.1365917696759008,0.07000000000000001,0.1226682756518432,0.07000000000000001,0.1113363436224433,0.07000000000000001,0.1019308727589801,0.07000000000000001,0.08721375586444435,0.07000000000000001,0.07622117662228052,0.07000000000000001,0.06769521040931499,0.07000000000000001,0.0608879921087882,0.07000000000000001,0.05532665453977791,0.07000000000000001,0.05069742692722892,0.07000000000000001,0.0467838494441779
0.08,0.2281780919224079,0.08,0.2082624901121189,0.08,0.1774203035937174,0.08,0.1546147273579008,0.08,0.1370475641824301,0.08,0.1230899966020655,0.08,0.11172778221642,0.08,0.1022955297727858,0.08,0.08753368971482535,0.08,0.07650561501838862,0.08,0.06795097904920892,0.08,0.06112020252449887,0.08,0.05553920330084239,0.08,0.05089333901674074,0.08,0.04696551365377573
0.09,0.2287484632003495,0.09,0.2088211773344683,0.09,0.1779434706370687,0.09,0.1550987713990475,0.09,0.1374945160152467,0.09,0.1235034307954512,0.09,0.112111437747908,0.09,0.1026528555897707,0.09,0.08784705981881639,0.09,0.07678411131934512,0.09,0.06820131749428314,0.09,0.06134741137354902,0.09,0.05574711484138726,0.09,0.05108492767012961,0.09,0.04714312772967353
