nch18_Cgd_Cgg (ll=4e-07) X,nch18_Cgd_Cgg (ll=4e-07) Y,nch18_Cgd_Cgg (ll=5e-07) X,nch18_Cgd_Cgg (ll=5e-07) Y,nch18_Cgd_Cgg (ll=6e-07) X,nch18_Cgd_Cgg (ll=6e-07) Y,nch18_Cgd_Cgg (ll=7e-07) X,nch18_Cgd_Cgg (ll=7e-07) Y,nch18_Cgd_Cgg (ll=8e-07) X,nch18_Cgd_Cgg (ll=8e-07) Y,nch18_Cgd_Cgg (ll=9e-07) X,nch18_Cgd_Cgg (ll=9e-07) Y,nch18_Cgd_Cgg (ll=1e-06) X,nch18_Cgd_Cgg (ll=1e-06) Y,nch18_Cgd_Cgg (ll=1.2e-06) X,nch18_Cgd_Cgg (ll=1.2e-06) Y,nch18_Cgd_Cgg (ll=1.4e-06) X,nch18_Cgd_Cgg (ll=1.4e-06) Y,nch18_Cgd_Cgg (ll=1.6e-06) X,nch18_Cgd_Cgg (ll=1.6e-06) Y,nch18_Cgd_Cgg (ll=1.8e-06) X,nch18_Cgd_Cgg (ll=1.8e-06) Y,nch18_Cgd_Cgg (ll=2e-06) X,nch18_Cgd_Cgg (ll=2e-06) Y,nch18_Cgd_Cgg (ll=2.2e-06) X,nch18_Cgd_Cgg (ll=2.2e-06) Y,nch18_Cgd_Cgg (ll=2.4e-06) X,nch18_Cgd_Cgg (ll=2.4e-06) Y,nch18_Cgd_Cgg (ll=3.5e-07) X,nch18_Cgd_Cgg (ll=3.5e-07) Y
0,-0.2034080040112766,0,-0.1728683587032794,0,-0.1503987542065797,0,-0.1331511880945899,0,-0.1194829819873796,0,-0.1083782008543118,0,-0.09917380743003393,0,-0.08479283784139985,0,-0.07406736678934471,0,-0.06575735633370632,0,-0.05912774148538451,0,-0.0537147428898066,0,-0.04921111699142602,0,-0.0454051727902008,0,-0.2232264933818959
0.01,-0.2040527041533968,0.01,-0.1734732851551053,0.01,-0.1509593134784616,0.01,-0.1336694752993988,0.01,-0.11996295779933,0.01,-0.1088240652104595,0.01,-0.09958945824133116,0.01,-0.08515794251391025,0.01,-0.074392272901043,0.01,-0.06604973988756352,0.01,-0.05939336323279735,0.01,-0.05395800200760925,0.01,-0.04943543370716829,0.01,-0.04561325149670738,0.01,-0.2238837480869004
0.02,-0.2046864640707034,0.02,-0.1740679135675933,0.02,-0.1515102800556996,0.02,-0.1341788416474555,0.02,-0.1204346251956249,0.02,-0.1092621709836312,0.02,-0.09999784189390359,0.02,-0.08551661292260294,0.02,-0.0747114177469151,0.02,-0.06633691397853339,0.02,-0.05965423461530574,0.02,-0.05419689790278445,0.02,-0.04965571762286567,0.02,-0.04581758245059501,0.02,-0.2245298512426644
0.03,-0.2053092844224514,0.03,-0.1746522088885849,0.03,-0.1520516052675775,0.03,-0.1346792350602922,0.03,-0.1208979333134079,0.03,-0.1096924704725685,0.03,-0.1003989145062905,0.03,-0.08586881270028765,0.03,-0.07502477123469344,0.03,-0.06661885343804468,0.03,-0.05991033427792783,0.03,-0.05443141218772194,0.03,-0.04987195268666574,0.03,-0.0460181514648654,0.03,-0.225164836839457
0.04,-0.2059211926923683,0.04,-0.1752261675791793,0.04,-0.1525832735246835,0.04,-0.1351706363115595,0.04,-0.121352862913942,0.04,-0.1101149458562265,0.04,-0.1007926601063271,0.04,-0.08621452937306678,0.04,-0.07533232349487855,0.04,-0.06689555015876671,0.04,-0.06016165526697569,0.04,-0.05466153865703614,0.04,-0.05008413318034759,0.04,-0.04621495314307575,0.04,-0.2257887615069581
0.05,-0.2065222437937995,0.05,-0.1757898171546858,0.05,-0.1531053005580659,0.05,-0.1356530560232419,0.05,-0.1217994222941139,0.05,-0.1105296041993175,0.05,-0.1011790848990065,0.05,-0.08655376757183879,0.05,-0.07563407745178735,0.05,-0.06716700530568084,0.05,-0.06040819706798917,0.05,-0.05488727527656072,0.05,-0.05029225574184129,0.05,-0.04640798298986019,0.05,-0.2264017053431548
0.06,-0.2071125174002915,0.06,-0.1763432121109307,0.06,-0.1536177278293132,0.06,-0.1361265277150122,0.06,-0.1222376391998452,0.06,-0.1109364684522331,0.06,-0.1015582075492413,0.06,-0.08688653834634376,0.06,-0.07593003761344709,0.06,-0.06743321787163244,0.06,-0.06064995411472649,0.06,-0.05510861276717254,0.06,-0.0504963081018314,0.06,-0.04659722634954005,0.06,-0.227003769687829
0.07000000000000001,-0.207692111335503,0.07000000000000001,-0.1768864255782139,0.07000000000000001,-0.1541206124681883,0.07000000000000001,-0.1365910962709066,0.07000000000000001,-0.1226675481042371,0.07000000000000001,-0.1113355637995756,0.07000000000000001,-0.1019300448204378,0.07000000000000001,-0.0872128438904958,0.07000000000000001,-0.07622019435850465,0.07000000000000001,-0.06769416883140514,0.07000000000000001,-0.06088690000669103,0.07000000000000001,-0.0553255190113516,0.07000000000000001,-0.05069625375868246,0.07000000000000001,-0.04678264339810483,0.07000000000000001,-0.2275950711823836
0.08,-0.2082611303490834,0.08,-0.1774195360069035,0.08,-0.1546140120117307,0.08,-0.1370468010565598,0.08,-0.1230891720357836,0.08,-0.1117268984919953,0.08,-0.1022945916538957,0.08,-0.0875326566761362,0.08,-0.07650450265026862,0.08,-0.06794979977825923,0.08,-0.06111896629065834,0.08,-0.05553791812349657,0.08,-0.05089201142893632,0.08,-0.04696414902999538,0.08,-0.2281757314563585
0.09,-0.2088196694926782,0.09,-0.1779426080196961,0.09,-0.1550979629828728,0.09,-0.1374936526193735,0.09,-0.1235024977835335,0.09,-0.112110437889243,0.09,-0.1026517943280879,0.09,-0.08784589149184309,0.09,-0.07678285357721577,0.09,-0.06819998438220537,0.09,-0.06134601411389642,0.09,-0.05574566248105226,0.09,-0.05108342757486755,0.09,-0.0471415859562439,0.09,-0.2287458616852918
0.09999999999999999,-0.2093677910367899,0.09999999999999999,-0.1784556662109069,0.09999999999999999,-0.1555724519065752,0.09999999999999999,-0.1379316013877277,0.09999999999999999,-0.1239074427269186,0.09999999999999999,-0.112486069813731,0.09999999999999999,-0.1030015146708767,0.09999999999999999,-0.08815236817143733,0.09999999999999999,-0.07705503638837059,0.09999999999999999,-0.06844449027643183,0.09999999999999999,-0.06156779633237273,0.09999999999999999,-0.05594849530373441,0.09999999999999999,-0.05127023961893833,0.09999999999999999,-0.04731468865882703,0.09999999999999999,-0.2293055410206681
0.11,-0.2099054933879789,0.11,-0.1789586600888571,0.11,-0.1560373766788224,0.11,-0.1383604960210899,0.11,-0.1243038107107757,0.11,-0.1128535584407389,0.11,-0.1033434823927943,0.11,-0.0884517618600716,0.11,-0.07732068775158035,0.11,-0.06868292805086237,0.11,-0.06178390675207071,0.11,-0.05614600049020422,0.11,-0.05145202660661005,0.11,-0.04748303502796434,0.11,-0.2298547874545548
0.12,-0.2104326697424584,0.12,-0.1794514175126945,0.12,-0.1564924952530014,0.12,-0.1387800280300331,0.12,-0.1246912332945415,0.12,-0.1132124828208553,0.12,-0.103677231455682,0.12,-0.08874353649907624,0.12,-0.0775792238115928,0.12,-0.06891468291182734,0.12,-0.06199371210060432,0.12,-0.05633753538308066,0.12,-0.05162814308376432,0.12,-0.04764598155643376,0.12,-0.2303935190148292
0.13,-0.2109490532240842,0.13,-0.1799335828507289,0.13,-0.1569373573741425,0.13,-0.1391896579725999,0.13,-0.1250690913411603,0.13,-0.1135621547381955,0.13,-0.1040020149875315,0.13,-0.08902685582000959,0.13,-0.07782974927538878,0.13,-0.06913882327287794,0.13,-0.06219626109374504,0.13,-0.05652214096318402,0.13,-0.05179763084617939,0.13,-0.04780257691459645,0.13,-0.2309215022688606
0.14,-0.2114541439885675,0.14,-0.1804045346730064,0.14,-0.1573712135678026,0.14,-0.1395885169394532,0.14,-0.1254364102795505,0.14,-0.1139015089640029,0.14,-0.1043166916173095,0.14,-0.08930046455303961,0.14,-0.078070936247078,0.14,-0.06935397912853783,0.14,-0.06239016364259163,0.14,-0.05669842274678237,0.14,-0.05195910207803509,0.14,-0.04795144766979625,0.14,-0.231438283930094
0.15,-0.211947112225271,0.15,-0.1808632760850561,0.15,-0.1577928937829939,0.15,-0.1399752751804172,0.15,-0.1257917205016314,0.15,-0.1142289571092265,0.15,-0.104619574286114,0.15,-0.08956253085521221,0.15,-0.07830086397944719,0.15,-0.06955818165811976,0.15,-0.06257343198843009,0.15,-0.05686439453716339,0.15,-0.05211058639835173,0.15,-0.04809064902784264,0.15,-0.2319430999057369
0.16,-0.2124266691582791,0.16,-0.1813082888290636,0.16,-0.1582006460309267,0.16,-0.1403479676539056,0.16,-0.1261328723194944,0.16,-0.1145421943158348,0.16,-0.1049082307235536,0.16,-0.08981043933090244,0.16,-0.07851680932900046,0.16,-0.06974865437296617,0.16,-0.062743274646412,0.16,-0.05701727648040485,0.16,-0.05224933381314487,0.16,-0.04821747311052067,0.16,-0.2324347543963386
0.17,-0.2128908960708081,0.17,-0.1817373400806474,0.17,-0.1585919231467796,0.17,-0.1407037641340854,0.17,-0.1264567928920952,0.17,-0.1148379461838145,0.17,-0.1051792231358637,0.17,-0.09004052281026202,0.17,-0.07871497692868389,0.17,-0.06992154574825407,0.17,-0.06289583402156855,0.17,-0.05715323916403699,0.17,-0.0523715661206027,0.17,-0.04832820805210555,0.17,-0.232911459682068
0.18,-0.2133370191398606,0.18,-0.1821472285961679,0.18,-0.1589631036411996,0.18,-0.1410386695767451,0.18,-0.1267591709025868,0.18,-0.1151116420574007,0.18,-0.1054277737594077,0.18,-0.09024772093117849,0.18,-0.07889015869530415,0.18,-0.07007159452052222,0.18,-0.06302586034266706,0.18,-0.0572670877298977,0.18,-0.05247217191792496,0.18,-0.04841784409709807,0.18,-0.2333706250755096
0.19,-0.2137611156709197,0.19,-0.1825334548164457,0.19,-0.1593091309223088,0.19,-0.1413471392747231,0.19,-0.1270340542093009,0.19,-0.1153570008978968,0.19,-0.1056473437137965,0.19,-0.09042515565719675,0.19,-0.07903531553651577,0.19,-0.07019172305877504,0.19,-0.06312631958448041,0.19,-0.05735188563344623,0.19,-0.05254434651601551,0.19,-0.04847972941926455,0.19,-0.2338085813493872
