nch18_Id_W (ll=3.5e-07) X,nch18_Id_W (ll=3.5e-07) Y,nch18_Id_W (ll=4e-07) X,nch18_Id_W (ll=4e-07) Y,nch18_Id_W (ll=5e-07) X,nch18_Id_W (ll=5e-07) Y,nch18_Id_W (ll=6e-07) X,nch18_Id_W (ll=6e-07) Y,nch18_Id_W (ll=7e-07) X,nch18_Id_W (ll=7e-07) Y,nch18_Id_W (ll=8e-07) X,nch18_Id_W (ll=8e-07) Y,nch18_Id_W (ll=9e-07) X,nch18_Id_W (ll=9e-07) Y,nch18_Id_W (ll=1e-06) X,nch18_Id_W (ll=1e-06) Y,nch18_Id_W (ll=1.2e-06) X,nch18_Id_W (ll=1.2e-06) Y,nch18_Id_W (ll=1.4e-06) X,nch18_Id_W (ll=1.4e-06) Y,nch18_Id_W (ll=1.6e-06) X,nch18_Id_W (ll=1.6e-06) Y,nch18_Id_W (ll=1.8e-06) X,nch18_Id_W (ll=1.8e-06) Y,nch18_Id_W (ll=2e-06) X,nch18_Id_W (ll=2e-06) Y,nch18_Id_W (ll=2.2e-06) X,nch18_Id_W (ll=2.2e-06) Y,nch18_Id_W (ll=2.4e-06) X,nch18_Id_W (ll=2.4e-06) Y
0,8.168709520874448e-07,0,7.02112483132393e-07,0,5.862173011677353e-07,0,5.284686684140912e-07,0,4.9325996178791e-07,0,4.686587182652984e-07,0,4.496873558641947e-07,0,4.33978408815266e-07,0,4.079982567933541e-07,0,3.860775443611983e-07,0,3.666039493314374e-07,0,3.489171451048566e-07,0,3.326936254280069e-07,0,3.177402078475567e-07,0,3.039191548427745e-07
0.01,1.100759989176352e-06,0.01,9.475405999233541e-07,0.01,7.928608864010915e-07,0.01,7.158365684913589e-07,0.01,6.688860422142062e-07,0.01,6.360645662443911e-07,0.01,6.107247153745667e-07,0.01,5.897084820143465e-07,0.01,5.54858041306854e-07,0.01,5.253538356476601e-07,0.01,4.990729336444035e-07,0.01,4.751548056493624e-07,0.01,4.531816699577261e-07,0.01,4.32904770505974e-07,0.01,4.141459756631851e-07
0.02,1.483219007783644e-06,0.02,1.278692705508702e-06,0.02,1.072303302432493e-06,0.02,9.696029484513393e-07,0.02,9.070180312588695e-07,0.02,8.632464323610263e-07,0.02,8.29412709131135e-07,0.02,8.013055212262841e-07,0.02,7.545692407986639e-07,0.02,7.14866666394045e-07,0.02,6.794052731034199e-07,0.02,6.470656281828626e-07,0.02,6.173096638955855e-07,0.02,5.898180514675827e-07,0.02,5.643610284730007e-07
0.03,1.998405638892611e-06,0.03,1.725451828518339e-06,0.03,1.450139788816636e-06,0.03,1.31325001488416e-06,0.03,1.229856096720697e-06,0.03,1.171503961976101e-06,0.03,1.126346127426967e-06,0.03,1.088768204102604e-06,0.03,1.02610993286041e-06,0.03,9.726955034054917e-07,0.03,9.248553595583761e-07,0.03,8.81136065203175e-07,0.03,8.408467008888554e-07,0.03,8.03578743579105e-07,0.03,7.690366943319553e-07
0.04,2.69228754753576e-06,0.04,2.32809453789646e-06,0.04,1.960943862945626e-06,0.04,1.778545054158436e-06,0.04,1.667466262001369e-06,0.04,1.589707755277872e-06,0.04,1.529458529778282e-06,0.04,1.479235914507297e-06,0.04,1.395255048834364e-06,0.04,1.32340889153314e-06,0.04,1.258880604343e-06,0.04,1.199787001901071e-06,0.04,1.145243816070886e-06,0.04,1.094730404011361e-06,0.04,1.047867935231174e-06
0.05,3.626714616035309e-06,0.05,3.140895990524818e-06,0.05,2.651407899550976e-06,0.05,2.408455199967683e-06,0.05,2.260559162683003e-06,0.05,2.156982302822304e-06,0.05,2.076629231374079e-06,0.05,2.009530307791302e-06,0.05,1.897002599847835e-06,0.05,1.800385602645113e-06,0.05,1.713363676790177e-06,0.05,1.633502296650176e-06,0.05,1.559673884427866e-06,0.05,1.491217734943803e-06,0.05,1.427649899879272e-06
0.06,4.884890301864893e-06,0.06,4.236980993987918e-06,0.06,3.584578306447153e-06,0.06,3.261083815788563e-06,0.06,3.064246664104549e-06,0.06,2.926335897579878e-06,0.06,2.819212592732348e-06,0.06,2.729597687738075e-06,0.06,2.578862173108095e-06,0.06,2.448962278878437e-06,0.06,2.331627121935531e-06,0.06,2.223717098043393e-06,0.06,2.123800262978345e-06,0.06,2.031042205141294e-06,0.06,1.944827114804757e-06
0.07000000000000001,6.578720586804274e-06,0.07000000000000001,5.714849657008369e-06,0.07000000000000001,4.845564901473585e-06,0.07000000000000001,4.414984717013013e-06,0.07000000000000001,4.153118612065091e-06,0.07000000000000001,3.96956991612504e-06,0.07000000000000001,3.826814035253953e-06,0.07000000000000001,3.707169585365548e-06,0.07000000000000001,3.505310239503238e-06,0.07000000000000001,3.330699951210718e-06,0.07000000000000001,3.172520995291811e-06,0.07000000000000001,3.026735260891552e-06,0.07000000000000001,2.891532668663168e-06,0.07000000000000001,2.765865202728266e-06,0.07000000000000001,2.648952699286606e-06
0.08,8.858681355360952e-06,0.08,7.707152563704221e-06,0.08,6.54923478337304e-06,0.08,5.976333727638833e-06,0.08,5.628100845247389e-06,0.08,5.383915574383012e-06,0.08,5.193750349727387e-06,0.08,5.034069773497259e-06,0.08,4.763823369651508e-06,0.08,4.529164235839449e-06,0.08,4.315962535687722e-06,0.08,4.119039648652087e-06,0.08,3.936119482469682e-06,0.08,3.765894015412987e-06,0.08,3.607379741051758e-06
0.09,1.192706199523165e-05,0.09,1.03924862076411e-05,0.09,8.850576162076718e-06,0.09,8.088602491949578e-06,0.09,7.625715220661741e-06,0.09,7.301001741140783e-06,0.09,7.047783942036778e-06,0.09,6.83474496925652e-06,0.09,6.473043745102118e-06,0.09,6.157751753897721e-06,0.09,5.870439211849567e-06,0.09,5.604486152356008e-06,0.09,5.357047642321282e-06,0.09,5.126503068597088e-06,0.09,4.911619514979766e-06
0.09999999999999999,1.605573248094232e-05,0.09999999999999999,1.401124105661886e-05,0.09999999999999999,1.19586521355738e-05,0.09999999999999999,1.094560118185139e-05,0.09999999999999999,1.033057649293014e-05,0.09999999999999999,9.898966012413419e-06,0.09999999999999999,9.561924772168033e-06,0.09999999999999999,9.277796515727269e-06,0.09999999999999999,8.793823727506392e-06,0.09999999999999999,8.370280250443563e-06,0.09999999999999999,7.983164110028589e-06,0.09999999999999999,7.624042794341515e-06,0.09999999999999999,7.289385001709471e-06,0.09999999999999999,6.97720005570204e-06,0.09999999999999999,6.685952256062074e-06
0.11,2.160996690836402e-05,0.11,1.888688376083159e-05,0.11,1.615537794521118e-05,0.11,1.480905348024197e-05,0.11,1.399224758934637e-05,0.11,1.341880072429215e-05,0.11,1.297036723102936e-05,0.11,1.259155839043034e-05,0.11,1.194415403975116e-05,0.11,1.137530767593656e-05,0.11,1.085381060022216e-05,0.11,1.036896371233495e-05,0.11,9.916419279066733e-06,0.11,9.493757087607309e-06,0.11,9.099078389111466e-06
0.12,2.908036959301854e-05,0.12,2.545452021004368e-05,0.12,2.182077375943125e-05,0.12,2.003226368701639e-05,0.12,1.894795807301993e-05,0.12,1.818639926850093e-05,0.12,1.75899949203515e-05,0.12,1.708512534835042e-05,0.12,1.621932479772905e-05,0.12,1.545547672304339e-05,0.12,1.475307123873462e-05,0.12,1.409859300230671e-05,0.12,1.348674056430206e-05,0.12,1.291460806480756e-05,0.12,1.23798680465948e-05
0.13,3.912563129773336e-05,0.13,3.429920483751576e-05,0.13,2.946690261565242e-05,0.13,2.709196444509469e-05,0.13,2.565320181967328e-05,0.13,2.464226662385444e-05,0.13,2.384937422141709e-05,0.13,2.317671319739229e-05,0.13,2.201912829707414e-05,0.13,2.099362285859242e-05,0.13,2.004770962946225e-05,0.13,1.916439989676634e-05,0.13,1.833730426416543e-05,0.13,1.756298759849204e-05,0.13,1.683862587752163e-05
0.14,5.262974619339562e-05,0.14,4.620728265364984e-05,0.14,3.978344434675654e-05,0.14,3.663113683590761e-05,0.14,3.472291019667211e-05,0.14,3.338152141120369e-05,0.14,3.232780670615958e-05,0.14,3.143186929147754e-05,0.14,2.988452357591349e-05,0.14,2.850797057525808e-05,0.14,2.723433670128675e-05,0.14,2.60423862713615e-05,0.14,2.492452861883941e-05,0.14,2.387678288322577e-05,0.14,2.289576420638309e-05
0.15,7.077851383668557e-05,0.15,6.223513744369548e-05,0.15,5.36988390217528e-05,0.15,4.951652752650426e-05,0.15,4.698679956407055e-05,0.15,4.520769680356034e-05,0.15,4.380787135426348e-05,0.15,4.261489459064755e-05,0.15,4.054699228892026e-05,0.15,3.869951910858217e-05,0.15,3.69848871090608e-05,0.15,3.537672051025098e-05,0.15,3.386616409359142e-05,0.15,3.244872474737242e-05,0.15,3.112040566654671e-05
0.16,9.516172365548385e-05,0.16,8.380115420757284e-05,0.16,7.24622323078417e-05,0.16,6.691582123518576e-05,0.16,6.356368520146755e-05,0.16,6.120501076154802e-05,0.16,5.934602488955087e-05,0.16,5.775795208987206e-05,0.16,5.499488313344089e-05,0.16,5.251574195004642e-05,0.16,5.020775105276113e-05,0.16,4.803838941251694e-05,0.16,4.599756959028304e-05,0.16,4.408040386639449e-05,0.16,4.228226051156957e-05
0.17,0.0001279094856014263,0.17,0.0001128085908484833,0.17,9.775316567237409e-05,0.17,9.040105160665041e-05,0.17,8.596112501251056e-05,0.17,8.283530676175818e-05,0.17,8.036732429271064e-05,0.17,7.825379966635344e-05,0.17,7.456244312782113e-05,0.17,7.123606511823199e-05,0.17,6.81297988029046e-05,0.17,6.520388552392016e-05,0.17,6.24472026145493e-05,0.17,5.985471981100376e-05,0.17,5.742119805520162e-05
0.18,0.0001718738730148662,0.18,0.0001518095256317598,0.18,0.0001318281971986867,0.18,0.0001220869639333782,0.18,0.0001162088152488071,0.18,0.0001120678702764478,0.18,0.0001087922920405496,0.18,0.0001059799975201938,0.18,0.0001010490613941952,0.18,9.658633457881587e-05,0.18,9.24062016255725e-05,0.18,8.846053822553843e-05,0.18,8.473765007813352e-05,0.18,8.123282301599022e-05,0.18,7.79403212575726e-05
0.19,0.0002308705609155698,0.19,0.0002042232682216251,0.19,0.0001777165645672902,0.19,0.0001648158211153699,0.19,0.0001570368428174233,0.19,0.0001515529341852529,0.19,0.0001472064874347599,0.19,0.0001434649223925999,0.19,0.0001368786172843762,0.19,0.0001308917382681468,0.19,0.0001252671014684726,0.19,0.0001199471446435416,0.19,0.0001149204791634829,0.19,0.0001101834736210549,0.19,0.0001057301344614994
0.2,0.0003099996938191702,0.2,0.0002746267960489015,0.2,0.0002394807950867616,0.2,0.0002224037432441043,0.2,0.0002121133692956205,0.2,0.0002048530554093615,0.2,0.0001990866270823151,0.2,0.0001941091168689942,0.2,0.0001853118623365607,0.2,0.0001772805351562868,0.2,0.00016971292577465,0.2,0.0001625411658602541,0.2,0.000155755671268074,0.2,0.0001493551076379393,0.2,0.0001433336521232711
0.21,0.0004160710645803068,0.21,0.0003691401483669414,0.21,0.0003225630499922848,0.21,0.0002999682979211638,0.21,0.0002863607754897084,0.21,0.0002767508599531175,0.21,0.0002691012893597189,0.21,0.0002624795787732343,0.21,0.0002507286253934444,0.21,0.0002399545996979544,0.21,0.0002297736082035352,0.21,0.0002201070396786305,0.21,0.0002109495220843826,0.21,0.0002023038677106821,0.21,0.0001941651217814029
0.2200000000000001,0.0005581661363932084,0.2200000000000001,0.0004959365630346282,0.2200000000000001,0.0004342442195300987,0.2200000000000001,0.0004043629515434206,0.2200000000000001,0.0003863749549296876,0.2200000000000001,0.0003736571227495471,0.2200000000000001,0.0003635095371843229,0.2200000000000001,0.0003546997367416228,0.2200000000000001,0.0003390014750785706,0.2200000000000001,0.0003245473598665305,0.2200000000000001,0.0003108512907230142,0.2200000000000001,0.0002978242403062968,0.2200000000000001,0.0002854687533509913,0.2200000000000001,0.000273794519422911,0.2200000000000001,0.0002627985158971642
0.2300000000000001,0.0007483788383943598,0.2300000000000001,0.0006659157972864481,0.2300000000000001,0.0005842506503670296,0.2300000000000001,0.0005447514150841745,0.2300000000000001,0.0005209795524830948,0.2300000000000001,0.0005041499955277999,0.2300000000000001,0.0004906874066175345,0.2300000000000001,0.0004789642537946373,0.2300000000000001,0.0004579884666911383,0.2300000000000001,0.0004385953312187982,0.2300000000000001,0.0004201713694084406,0.2300000000000001,0.0004026186943522237,0.2300000000000001,0.0003859532805452545,0.2300000000000001,0.0003701956178081027,0.2300000000000001,0.0003553461587326742
0.2400000000000001,0.001002788777092614,0.2400000000000001,0.0008935898763174755,0.2400000000000001,0.0007855531926463512,0.2400000000000001,0.0007333641447113091,0.2400000000000001,0.000701955745609948,0.2400000000000001,0.0006796846405295087,0.2400000000000001,0.0006618203333449027,0.2400000000000001,0.0006462156284757611,0.2400000000000001,0.0006181798845746232,0.2400000000000001,0.0005921562439998691,0.2400000000000001,0.0005673730995959619,0.2400000000000001,0.0005437271184387567,0.2400000000000001,0.0005212556788698984,0.2400000000000001,0.0004999955643065306,0.2400000000000001,0.0004799528388347709
0.2500000000000001,0.001342734886292297,0.2500000000000001,0.001198243797790597,0.2500000000000001,0.001055415294397103,0.2500000000000001,0.0009864905427082952,0.2500000000000001,0.000944998879932193,0.2500000000000001,0.00091552275771636,0.2500000000000001,0.000891809384086601,0.2500000000000001,0.0008710289572071086,0.2500000000000001,0.0008335425596748406,0.2500000000000001,0.0007986147877263196,0.2500000000000001,0.000765278434857013,0.2500000000000001,0.0007334307977318888,0.2500000000000001,0.0007031418948831592,0.2500000000000001,0.0006744722989855558,0.2500000000000001,0.000647436503995658
0.2600000000000001,0.00179647487816026,0.2600000000000001,0.001605449765762698,0.2600000000000001,0.001416761383427081,0.2600000000000001,0.001325773939234048,0.2600000000000001,0.001270966046525783,0.2600000000000001,0.001231943618685658,0.2600000000000001,0.001200450702771856,0.2600000000000001,0.00117276223062307,0.2600000000000001,0.001122615399041898,0.2600000000000001,0.001075726229572939,0.2600000000000001,0.001030886287414328,0.2600000000000001,0.0009880032095546157,0.2600000000000001,0.0009471950845463857,0.2600000000000001,0.0009085562200944498,0.2600000000000001,0.0008721130521370233
0.2700000000000001,0.002401336302250792,0.2700000000000001,0.002149032483613425,0.2700000000000001,0.001899953875107776,0.2700000000000001,0.001779892284671298,0.2700000000000001,0.001707493541950663,0.2700000000000001,0.001655812215906917,0.2700000000000001,0.001613960810096981,0.2700000000000001,0.001577042069261533,0.2700000000000001,0.001509921073694555,0.2700000000000001,0.001446958434630906,0.2700000000000001,0.001386648782186997,0.2700000000000001,0.00132892451782225,0.2700000000000001,0.001273972419718132,0.2700000000000001,0.0012219333091607,0.2700000000000001,0.001172849613611617
0.2800000000000001,0.003206488451217402,0.2800000000000001,0.002873604819162107,0.2800000000000001,0.002545086727521033,0.2800000000000001,0.00238672549803675,0.2800000000000001,0.002291079888657822,0.2800000000000001,0.00222259576523384,0.2800000000000001,0.002166935040477548,0.2800000000000001,0.002117668564155835,0.2800000000000001,0.002027771041227807,0.2800000000000001,0.001943203774786961,0.2800000000000001,0.00186209596900765,0.2800000000000001,0.001784424954135971,0.2800000000000001,0.00171047292528778,0.2800000000000001,0.001640442997613436,0.2800000000000001,0.001574397703941861
0.2900000000000001,0.004276490246910285,0.2900000000000001,0.003837817319264565,0.2900000000000001,0.00340492510461567,0.2900000000000001,0.003196130139191319,0.2900000000000001,0.003069748216306168,0.2900000000000001,0.00297893653448363,0.2900000000000001,0.002904841909113495,0.2900000000000001,0.002839037303697902,0.2900000000000001,0.002718553634561339,0.2900000000000001,0.002604943451518698,0.2900000000000001,0.002495885245051624,0.2900000000000001,0.002391427845256945,0.2900000000000001,0.002291982273528519,0.2900000000000001,0.002197832427178958,0.2900000000000001,0.002109064100490382
