nch18_Vdsat (ll=3.5e-07) X,nch18_Vdsat (ll=3.5e-07) Y,nch18_Vdsat (ll=4e-07) X,nch18_Vdsat (ll=4e-07) Y,nch18_Vdsat (ll=5e-07) X,nch18_Vdsat (ll=5e-07) Y,nch18_Vdsat (ll=6e-07) X,nch18_Vdsat (ll=6e-07) Y,nch18_Vdsat (ll=7e-07) X,nch18_Vdsat (ll=7e-07) Y,nch18_Vdsat (ll=8e-07) X,nch18_Vdsat (ll=8e-07) Y,nch18_Vdsat (ll=9e-07) X,nch18_Vdsat (ll=9e-07) Y,nch18_Vdsat (ll=1e-06) X,nch18_Vdsat (ll=1e-06) Y,nch18_Vdsat (ll=1.2e-06) X,nch18_Vdsat (ll=1.2e-06) Y,nch18_Vdsat (ll=1.4e-06) X,nch18_Vdsat (ll=1.4e-06) Y,nch18_Vdsat (ll=1.6e-06) X,nch18_Vdsat (ll=1.6e-06) Y,nch18_Vdsat (ll=1.8e-06) X,nch18_Vdsat (ll=1.8e-06) Y,nch18_Vdsat (ll=2e-06) X,nch18_Vdsat (ll=2e-06) Y,nch18_Vdsat (ll=2.2e-06) X,nch18_Vdsat (ll=2.2e-06) Y,nch18_Vdsat (ll=2.4e-06) X,nch18_Vdsat (ll=2.4e-06) Y
0,0.04865753016690613,0,0.04777279585910912,0,0.04633560560401728,0,0.0452314021718992,0,0.04436204434896654,0,0.04366187114460769,0,0.04308676348528578,0,0.04260638569569645,0,0.04185012864520998,0,0.0412822944825927,0,0.04084048725185078,0,0.04048702468965797,0,0.0401978483834269,0,0.03995689300907737,0,0.03975302786674412
0.01,0.04865753998722514,0.01,0.04777280591668982,0.01,0.04633561665066331,0.01,0.0452314144977294,0.01,0.04436205805704081,0.01,0.04366188625891169,0.01,0.04308677999006133,0.01,0.04260640355365598,0.01,0.04185014905652967,0.01,0.04128231721951753,0.01,0.04084051208816566,0.01,0.04048705141538173,0.01,0.04019787680948226,0.01,0.03995692296765857,0.01,0.03975305920991855
0.02,0.04865755321728126,0.02,0.04777281948721118,0.02,0.04633563158894469,0.02,0.04523143119151613,0.02,0.04436207664385104,0.02,0.04366190677010673,0.02,0.04308680240345281,0.02,0.04260642781800161,0.02,0.04185017681337674,0.02,0.0412823481575408,0.02,0.04084054589822752,0.02,0.04048708781050036,0.02,0.04019791553120206,0.02,0.03995696378656225,0.02,0.03975310192373643
0.03,0.04865757103865119,0.03,0.0477728377952649,0.03,0.04633565178710772,0.03,0.04523145379800036,0.03,0.04436210184216438,0.03,0.04366193460121082,0.03,0.04308683283620007,0.03,0.04260646078199886,0.03,0.04185021455338598,0.03,0.04128239024809778,0.03,0.04084059191696771,0.03,0.04048713736528589,0.03,0.04019796826882061,0.03,0.0399570193934396,0.03,0.03975316012335327
0.04,0.04865759504143917,0.04,0.04777286249135931,0.04,0.0463356790933458,0.04,0.0452314844069424,0.04,0.04436213599868024,0.04,0.04366197235878876,0.04,0.04308687415118297,0.04,0.04260650555773594,0.04,0.04185026585881121,0.04,0.04128244750192841,0.04,0.04084065454225306,0.04,0.04048720482633047,0.04,0.04019804008300928,0.04,0.03995709513226207,0.04,0.03975323940887955
0.05,0.04865762736513896,0.05,0.04777289579964735,0.05,0.04633571600368285,0.05,0.04523152584485128,0.05,0.04436218229091199,0.05,0.04366202357513642,0.05,0.04308693023057698,0.05,0.04260656636754388,0.05,0.04185033559372084,0.05,0.04128252536795512,0.05,0.04084073975147805,0.05,0.04048729664710102,0.05,0.04019813785607206,0.05,0.03995719827216858,0.05,0.03975334739920004
0.06,0.04865767088788467,0.06,0.04777294071671414,0.06,0.04633576588835512,0.06,0.04523158193391814,0.06,0.04436224502037668,0.06,0.04366209303599006,0.06,0.04308700633754067,0.06,0.04260664893869286,0.06,0.04185043036097075,0.06,0.04128263124707066,0.06,0.04084085566669091,0.06,0.04048742159934835,0.06,0.04019827094501708,0.06,0.03995733869814449,0.06,0.03975349445671663
0.07000000000000001,0.0486577294806531,0.07000000000000001,0.04777300127897288,0.07000000000000001,0.04633583329699604,0.07000000000000001,0.04523165784157839,0.07000000000000001,0.04436233000880146,0.07000000000000001,0.04366218722371475,0.07000000000000001,0.04308710960564863,0.07000000000000001,0.0426067610377552,0.07000000000000001,0.04185055912133015,0.07000000000000001,0.04128277518851035,0.07000000000000001,0.04084101332078666,0.07000000000000001,0.04048759160223837,0.07000000000000001,0.04019845206743222,0.07000000000000001,0.03995752984808289,0.07000000000000001,0.03975369467066239
0.08,0.04865780834855766,0.08,0.04777308292223346,0.08,0.04633592436988292,0.08,0.04523176055221438,0.08,0.0443624451333299,0.08,0.04366231491639436,0.08,0.04308724970088128,0.08,0.04260691319370882,0.08,0.0418507340318084,0.08,0.04128297083322946,0.08,0.04084122769583873,0.08,0.04048782284624668,0.08,0.04019869850245605,0.08,0.03995778998335429,0.08,0.03975396719062152
0.09,0.04865791448892188,0.09,0.04777319296500816,0.09,0.04633604739187331,0.09,0.04523189950343287,0.09,0.04436260104914423,0.09,0.04366248799730953,0.09,0.04308743971657533,0.09,0.04260711967587334,0.09,0.04185097158015986,0.09,0.04128323669106463,0.09,0.04084151912923822,0.09,0.04048813731551387,0.09,0.04019903371788085,0.09,0.03995814391035243,0.09,0.03975433803351468
