nch18_Vgs_Vth (ll=3.5e-07) X,nch18_Vgs_Vth (ll=3.5e-07) Y,nch18_Vgs_Vth (ll=4e-07) X,nch18_Vgs_Vth (ll=4e-07) Y,nch18_Vgs_Vth (ll=5e-07) X,nch18_Vgs_Vth (ll=5e-07) Y,nch18_Vgs_Vth (ll=6e-07) X,nch18_Vgs_Vth (ll=6e-07) Y,nch18_Vgs_Vth (ll=7e-07) X,nch18_Vgs_Vth (ll=7e-07) Y,nch18_Vgs_Vth (ll=8e-07) X,nch18_Vgs_Vth (ll=8e-07) Y,nch18_Vgs_Vth (ll=9e-07) X,nch18_Vgs_Vth (ll=9e-07) Y,nch18_Vgs_Vth (ll=1e-06) X,nch18_Vgs_Vth (ll=1e-06) Y,nch18_Vgs_Vth (ll=1.2e-06) X,nch18_Vgs_Vth (ll=1.2e-06) Y,nch18_Vgs_Vth (ll=1.4e-06) X,nch18_Vgs_Vth (ll=1.4e-06) Y,nch18_Vgs_Vth (ll=1.6e-06) X,nch18_Vgs_Vth (ll=1.6e-06) Y,nch18_Vgs_Vth (ll=1.8e-06) X,nch18_Vgs_Vth (ll=1.8e-06) Y,nch18_Vgs_Vth (ll=2e-06) X,nch18_Vgs_Vth (ll=2e-06) Y,nch18_Vgs_Vth (ll=2.2e-06) X,nch18_Vgs_Vth (ll=2.2e-06) Y,nch18_Vgs_Vth (ll=2.4e-06) X,nch18_Vgs_Vth (ll=2.4e-06) Y
0,-0.5580986560617922,0,-0.5535092677147361,0,-0.5448456956114263,0,-0.5373552095907554,0,-0.531000116084515,0,-0.525598530250603,0,-0.5209744805002617,0,-0.5169828822969074,0,-0.5104611793006636,0,-0.5053747634189599,0,-0.5013069296410531,0,-0.4979850866260269,0,-0.4952246104150798,0,-0.4928964630987843,0,-0.4909079399782946
0.01,-0.5480986560619121,0.01,-0.5435092677148404,0.01,-0.5348456956115135,0.01,-0.5273552095908354,0.01,-0.5210001160845893,0.01,-0.515598530250675,0.01,-0.5109744805003312,0.01,-0.5069828822969736,0.01,-0.5004611793007265,0.01,-0.4953747634190196,0.01,-0.4913069296411086,0.01,-0.4879850866260818,0.01,-0.4852246104151313,0.01,-0.4828964630988341,0.01,-0.4809079399783411
0.02,-0.5380986560620727,0.02,-0.5335092677149793,0.02,-0.5248456956116322,0.02,-0.5173552095909435,0.02,-0.5110001160846919,0.02,-0.5055985302507711,0.02,-0.500974480500424,0.02,-0.4969828822970631,0.02,-0.4904611793008111,0.02,-0.4853747634190992,0.02,-0.4813069296411859,0.02,-0.4779850866261547,0.02,-0.475224610415201,0.02,-0.4728964630989006,0.02,-0.470907939978406
0.03,-0.5280986560622893,0.03,-0.5235092677151674,0.03,-0.5148456956117913,0.03,-0.5073552095910889,0.03,-0.5010001160848274,0.03,-0.4955985302509018,0.03,-0.4909744805005499,0.03,-0.4869828822971857,0.03,-0.4804611793009272,0.03,-0.4753747634192088,0.03,-0.4713069296412905,0.03,-0.4679850866262545,0.03,-0.4652246104152966,0.03,-0.4628964630989919,0.03,-0.4609079399784923
0.04,-0.5180986560625814,0.04,-0.5135092677154222,0.04,-0.504845695612008,0.04,-0.4973552095912855,0.04,-0.4910001160850135,0.04,-0.4855985302510797,0.04,-0.4809744805007206,0.04,-0.4769828822973515,0.04,-0.4704611793010849,0.04,-0.4653747634193582,0.04,-0.4613069296414332,0.04,-0.4579850866263898,0.04,-0.4552246104154269,0.04,-0.4528964630991166,0.04,-0.450907939978612
0.05,-0.5080986560629749,0.05,-0.5035092677157655,0.05,-0.4948456956122988,0.05,-0.4873552095915528,0.05,-0.4810001160852649,0.05,-0.4755985302513205,0.05,-0.4709744805009533,0.05,-0.4669828822975768,0.05,-0.4604611793012972,0.05,-0.4553747634195623,0.05,-0.4513069296416258,0.05,-0.447985086626575,0.05,-0.4452246104156022,0.05,-0.4428964630992843,0.05,-0.4409079399787731
0.06,-0.4980986560635043,0.06,-0.4935092677162272,0.06,-0.4848456956126935,0.06,-0.4773552095919127,0.06,-0.4710001160856064,0.06,-0.4655985302516484,0.06,-0.4609744805012688,0.06,-0.4569828822978835,0.06,-0.4504611793015874,0.06,-0.4453747634198378,0.06,-0.4413069296418897,0.06,-0.4379850866268257,0.06,-0.435224610415843,0.06,-0.4328964630995144,0.06,-0.4309079399789941
0.07000000000000001,-0.4880986560642172,0.07000000000000001,-0.48350926771685,0.07000000000000001,-0.4748456956132274,0.07000000000000001,-0.4673552095924017,0.07000000000000001,-0.4610001160860677,0.07000000000000001,-0.4555985302520904,0.07000000000000001,-0.4509744805016961,0.07000000000000001,-0.4469828822982996,0.07000000000000001,-0.4404611793019822,0.07000000000000001,-0.4353747634202128,0.07000000000000001,-0.4313069296422483,0.07000000000000001,-0.4279850866271678,0.07000000000000001,-0.425224610416171,0.07000000000000001,-0.4228964630998276,0.07000000000000001,-0.4209079399792932
0.08,-0.4780986560651768,0.08,-0.4735092677176889,0.08,-0.4648456956139467,0.08,-0.457355209593063,0.08,-0.4510001160866928,0.08,-0.4455985302526904,0.08,-0.4409744805022777,0.08,-0.4369828822988631,0.08,-0.430461179302518,0.08,-0.4253747634207241,0.08,-0.4213069296427348,0.08,-0.4179850866276327,0.08,-0.4152246104166161,0.08,-0.4128964631002545,0.08,-0.4109079399797019
0.09,-0.4680986560664682,0.09,-0.4635092677188212,0.09,-0.4548456956149198,0.09,-0.447355209593958,0.09,-0.4410001160875404,0.09,-0.4355985302535049,0.09,-0.4309744805030654,0.09,-0.4269828822996281,0.09,-0.4204611793032446,0.09,-0.4153747634214161,0.09,-0.4113069296433973,0.09,-0.4079850866282654,0.09,-0.4052246104172208,0.09,-0.4028964631008342,0.09,-0.4009079399802576
0.09999999999999999,-0.4580986560682054,0.09999999999999999,-0.4535092677203461,0.09999999999999999,-0.4448456956162332,0.09999999999999999,-0.4373552095951677,0.09999999999999999,-0.4310001160886879,0.09999999999999999,-0.4255985302546074,0.09999999999999999,-0.4209744805041331,0.09999999999999999,-0.4169828823006674,0.09999999999999999,-0.4104611793042315,0.09999999999999999,-0.405374763422358,0.09999999999999999,-0.4013069296442963,0.09999999999999999,-0.3979850866291257,0.09999999999999999,-0.3952246104180446,0.09999999999999999,-0.3928964631016233,0.09999999999999999,-0.3909079399810135
0.11,-0.4480986560705426,0.11,-0.4435092677224007,0.11,-0.4348456956180072,0.11,-0.4273552095968042,0.11,-0.4210001160902409,0.11,-0.4155985302561022,0.11,-0.4109744805055818,0.11,-0.4069828823020762,0.11,-0.4004611793055726,0.11,-0.3953747634236375,0.11,-0.3913069296455182,0.11,-0.3879850866302947,0.11,-0.3852246104191624,0.11,-0.3828964631026948,0.11,-0.3809079399820428
0.12,-0.4380986560736859,0.12,-0.4335092677251686,0.12,-0.4248456956204016,0.12,-0.4173552095990168,0.12,-0.4110001160923427,0.12,-0.4055985302581266,0.12,-0.4009744805075448,0.12,-0.3969828823039865,0.12,-0.3904611793073915,0.12,-0.3853747634253742,0.12,-0.3813069296471783,0.12,-0.3779850866318838,0.12,-0.3752246104206838,0.12,-0.3728964631041516,0.12,-0.3709079399834401
0.13,-0.428098656077913,0.13,-0.4235092677288963,0.13,-0.4148456956236333,0.13,-0.4073552096020067,0.13,-0.401000116095187,0.13,-0.3955985302608679,0.13,-0.3909744805102046,0.13,-0.3869828823065764,0.13,-0.3804611793098588,0.13,-0.3753747634277318,0.13,-0.3713069296494336,0.13,-0.3679850866340411,0.13,-0.36522461042275,0.13,-0.3628964631061327,0.13,-0.36090793998534
0.14,-0.4180986560835961,0.14,-0.4135092677339146,0.14,-0.4048456956279944,0.14,-0.3973552096060466,0.14,-0.3910001160990344,0.14,-0.3855985302645785,0.14,-0.3809744805138059,0.14,-0.376982882310086,0.14,-0.3704611793132054,0.14,-0.3653747634309306,0.14,-0.3613069296524933,0.14,-0.3579850866369713,0.14,-0.3552246104255562,0.14,-0.3528964631088229,0.14,-0.3509079399879217
0.15,-0.4080986560912324,0.15,-0.4035092677406696,0.15,-0.3948456956338757,0.15,-0.3873552096115042,0.15,-0.3810001161042352,0.15,-0.3755985302695991,0.15,-0.3709744805186845,0.15,-0.3669828823148397,0.15,-0.3604611793177405,0.15,-0.3553747634352689,0.15,-0.3513069296566455,0.15,-0.3479850866409467,0.15,-0.3452246104293655,0.15,-0.342896463112475,0.15,-0.3409079399914265
0.16,-0.3980986561014922,0.16,-0.3935092677497588,0.16,-0.3848456956418065,0.16,-0.3773552096188733,0.16,-0.3710001161112667,0.16,-0.365598530276391,0.16,-0.3609744805252859,0.16,-0.3569828823212774,0.16,-0.3504611793238879,0.16,-0.3453747634411487,0.16,-0.3413069296622752,0.16,-0.3379850866463395,0.16,-0.3352246104345343,0.16,-0.3328964631174313,0.16,-0.3309079399961831
0.17,-0.3880986561152726,0.17,-0.3835092677619849,0.17,-0.3748456956524956,0.17,-0.3673552096288208,0.17,-0.3610001161207662,0.17,-0.3555985302855749,0.17,-0.3509744805342182,0.17,-0.3469828823299909,0.17,-0.3404611793322133,0.17,-0.3353747634491182,0.17,-0.3313069296699068,0.17,-0.3279850866536503,0.17,-0.3252246104415409,0.17,-0.3228964631241518,0.17,-0.3209079400026336
0.18,-0.3780986561337731,0.18,-0.3735092677784215,0.18,-0.3648456956668984,0.18,-0.3573552096422403,0.18,-0.3510001161335965,0.18,-0.3455985302979867,0.18,-0.3409744805462946,0.18,-0.3369828823417774,0.18,-0.3304611793434813,0.18,-0.3253747634599089,0.18,-0.3213069296802449,0.18,-0.3179850866635567,0.18,-0.3152246104510373,0.18,-0.3128964631332608,0.18,-0.3109079400113778
0.19,-0.368098656158599,0.19,-0.3635092678005108,0.19,-0.3548456956862943,0.19,-0.3473552096603389,0.19,-0.3410001161509121,0.19,-0.3355985303147505,0.19,-0.3309744805626169,0.19,-0.3269828823577134,0.19,-0.3204611793587253,0.19,-0.3153747634745109,0.19,-0.3113069296942369,0.19,-0.3079850866769669,0.19,-0.3052246104638947,0.19,-0.3028964631455952,0.19,-0.3009079400232194
0.2,-0.3580986561918956,0.2,-0.3535092678301834,0.2,-0.344845695712399,0.2,-0.337355209684729,0.2,-0.3310001161742738,0.2,-0.3255985303373811,0.2,-0.3209744805846602,0.2,-0.3169828823792434,0.2,-0.3104611793793315,0.2,-0.3053747634942576,0.2,-0.301306929713163,0.2,-0.2979850866951083,0.2,-0.2952246104812914,0.2,-0.2928964631622855,0.2,-0.2909079400392438
0.21,-0.3480986562365306,0.21,-0.3435092678700157,0.21,-0.3348456957475144,0.21,-0.3273552097175806,0.21,-0.3210001162057651,0.21,-0.3155985303679057,0.21,-0.3109744806144081,0.21,-0.3069828824083093,0.21,-0.3004611794071632,0.21,-0.2953747635209349,0.21,-0.2913069297387363,0.21,-0.287985086719627,0.21,-0.2852246105048044,0.21,-0.2828964631848462,0.21,-0.2809079400609045
0.2200000000000001,-0.3380986562963241,0.2200000000000001,-0.3335092679234543,0.2200000000000001,-0.324845695794719,0.2200000000000001,-0.3173552097617967,0.2200000000000001,-0.3110001162481855,0.2200000000000001,-0.3055985304090504,0.2200000000000001,-0.3009744806545214,0.2200000000000001,-0.296982882447514,0.2200000000000001,-0.2904611794447195,0.2200000000000001,-0.2853747635569432,0.2200000000000001,-0.2813069297732607,0.2200000000000001,-0.2779850867527287,0.2200000000000001,-0.275224610536549,0.2200000000000001,-0.2728964632153059,0.2200000000000001,-0.2709079400901514
0.2300000000000001,-0.3280986563763646,0.2300000000000001,-0.3235092679950918,0.2300000000000001,-0.3148456958581217,0.2300000000000001,-0.307355209821257,0.2300000000000001,-0.301000116305279,0.2300000000000001,-0.2955985304644546,0.2300000000000001,-0.2909744807085581,0.2300000000000001,-0.2869828825003419,0.2300000000000001,-0.2804611794953418,0.2300000000000001,-0.27537476360549,0.2300000000000001,-0.2713069298198104,0.2300000000000001,-0.2679850867973633,0.2300000000000001,-0.2652246105793564,0.2300000000000001,-0.2628964632563799,0.2300000000000001,-0.2609079401295884
0.2400000000000001,-0.3180986564834198,0.2400000000000001,-0.3135092680910451,0.2400000000000001,-0.3048456959432062,0.2400000000000001,-0.2973552099011424,0.2400000000000001,-0.2910001163820383,0.2400000000000001,-0.2855985305389821,0.2400000000000001,-0.2809744807812702,0.2400000000000001,-0.2769828825714443,0.2400000000000001,-0.2704611795634958,0.2400000000000001,-0.2653747636708541,0.2400000000000001,-0.2613069298824914,0.2400000000000001,-0.257985086857464,0.2400000000000001,-0.2552246106369959,0.2400000000000001,-0.2528964633116846,0.2400000000000001,-0.2509079401826866
0.2500000000000001,-0.3080986566264688,0.2500000000000001,-0.3035092682194422,0.2500000000000001,-0.2948456960572685,0.2500000000000001,-0.2873552100083517,0.2500000000000001,-0.2810001164851252,0.2500000000000001,-0.275598530639113,0.2500000000000001,-0.2709744808789903,0.2500000000000001,-0.2669828826670181,0.2500000000000001,-0.2604611796551223,0.2500000000000001,-0.2553747637587367,0.2500000000000001,-0.2513069299667621,0.2500000000000001,-0.2479850869382634,0.2500000000000001,-0.245224610714482,0.2500000000000001,-0.2428964633860243,0.2500000000000001,-0.240907940254057
0.2600000000000001,-0.2980986568174022,0.2600000000000001,-0.2935092683910599,0.2600000000000001,-0.2848456962099964,0.2600000000000001,-0.2773552101520536,0.2600000000000001,-0.2710001166233828,0.2600000000000001,-0.2655985307734578,0.2600000000000001,-0.2609744810101283,0.2600000000000001,-0.2569828827952919,0.2600000000000001,-0.2504611797781084,0.2600000000000001,-0.2453747638766928,0.2600000000000001,-0.2413069300798602,0.2600000000000001,-0.2379850870466903,0.2600000000000001,-0.2352246108184492,0.2600000000000001,-0.2328964634857612,0.2600000000000001,-0.230907940349798
0.2700000000000001,-0.288098657071925,0.2700000000000001,-0.2835092686201525,0.2700000000000001,-0.274845696414226,0.2700000000000001,-0.2673552103443913,0.2700000000000001,-0.2610001168085346,0.2700000000000001,-0.2555985309534217,0.2700000000000001,-0.250974481185824,0.2700000000000001,-0.246982882967161,0.2700000000000001,-0.2404611799428885,0.2700000000000001,-0.2353747640347134,0.2700000000000001,-0.2313069302313484,0.2700000000000001,-0.2279850871918971,0.2700000000000001,-0.2252246109576582,0.2700000000000001,-0.2228964636192836,0.2700000000000001,-0.2209079404779516
0.2800000000000001,-0.2780986574107322,0.2800000000000001,-0.2735092689255257,0.2800000000000001,-0.2648456966869028,0.2800000000000001,-0.25735521060141,0.2800000000000001,-0.2510001170560611,0.2800000000000001,-0.2455985311940644,0.2800000000000001,-0.2409744814207757,0.2800000000000001,-0.2369828831969946,0.2800000000000001,-0.2304611801632081,0.2800000000000001,-0.2253747642459468,0.2800000000000001,-0.2213069304337991,0.2800000000000001,-0.2179850873859043,0.2800000000000001,-0.2152246111436109,0.2800000000000001,-0.2128964637976002,0.2800000000000001,-0.2109079406490629
0.2900000000000001,-0.2680986578609865,0.2900000000000001,-0.2635092693318935,0.2900000000000001,-0.2548456970503269,0.2900000000000001,-0.2473552109442276,0.2900000000000001,-0.2410001173863319,0.2900000000000001,-0.2355985315151882,0.2900000000000001,-0.2309744817343047,0.2900000000000001,-0.2269828835036664,0.2900000000000001,-0.2204611804571018,0.2900000000000001,-0.2153747645276251,0.2900000000000001,-0.2113069307036747,0.2900000000000001,-0.2079850876444393,0.2900000000000001,-0.2052246113913371,0.2900000000000001,-0.2028964640350889,0.2900000000000001,-0.2009079408769
0.3000000000000001,-0.2580986584582262,0.3000000000000001,-0.2535092698716354,0.3000000000000001,-0.244845697533739,0.3000000000000001,-0.2373552114005229,0.3000000000000001,-0.2310001178260329,0.3000000000000001,-0.2255985319427226,0.3000000000000001,-0.2209744821516845,0.3000000000000001,-0.21698288391185,0.3000000000000001,-0.2104611808481133,0.3000000000000001,-0.2053747649022152,0.3000000000000001,-0.2013069310624114,0.3000000000000001,-0.1979850879879642,0.3000000000000001,-0.195224611720378,0.3000000000000001,-0.1928964643504274,0.3000000000000001,-0.1909079411793325
0.3100000000000001,-0.248098659248752,0.3100000000000001,-0.243509270586979,0.3100000000000001,-0.2348456981753027,0.3100000000000001,-0.2273552120064203,0.3100000000000001,-0.2210001184099704,0.3100000000000001,-0.2155985325104542,0.3100000000000001,-0.2109744827058234,0.3100000000000001,-0.2069828844536428,0.3100000000000001,-0.2004611813668153,0.3100000000000001,-0.1953747653988444,0.3100000000000001,-0.1913069315377667,0.3100000000000001,-0.1879850884429408,0.3100000000000001,-0.1852246121559812,0.3100000000000001,-0.1828964647677254,0.3100000000000001,-0.1809079415794115
0.3200000000000001,-0.2380986602925957,0.3200000000000001,-0.2335092715327493,0.3200000000000001,-0.2248456990245944,0.3200000000000001,-0.217355212808826,0.3200000000000001,-0.2110001191832966,0.3200000000000001,-0.2055985332621699,0.3200000000000001,-0.2009744834393238,0.3200000000000001,-0.1969828851705518,0.3200000000000001,-0.1904611820526701,0.3200000000000001,-0.185374766055054,0.3200000000000001,-0.1813069321654626,0.3200000000000001,-0.1779850890433791,0.3200000000000001,-0.1752246127305577,0.3200000000000001,-0.1728964653179079,0.3200000000000001,-0.1709079421066755
0.3300000000000001,-0.2280986616672,0.3300000000000001,-0.2235092727797521,0.3300000000000001,-0.2148457001456722,0.3300000000000001,-0.2073552138683006,0.3300000000000001,-0.2010001202042526,0.3300000000000001,-0.195598534254284,0.3300000000000001,-0.1909744844070075,0.3300000000000001,-0.1869828861159303,0.3300000000000001,-0.1804611829562909,0.3300000000000001,-0.1753747669188974,0.3300000000000001,-0.1713069329911475,0.3300000000000001,-0.1679850898326833,0.3300000000000001,-0.165224613485418,0.3300000000000001,-0.1628964660403396,0.3300000000000001,-0.1609079427986926
0.3400000000000001,-0.2180986634718855,0.3400000000000001,-0.2135092744189016,0.3400000000000001,-0.2048457016208146,0.3400000000000001,-0.197355215262579,0.3400000000000001,-0.1910001215474922,0.3400000000000001,-0.1855985355590118,0.3400000000000001,-0.180974485678954,0.3400000000000001,-0.176982887357889,0.3400000000000001,-0.1704611841421353,0.3400000000000001,-0.1653747680514332,0.3400000000000001,-0.1613069340727202,0.3400000000000001,-0.1579850908658045,0.3400000000000001,-0.1552246144727878,0.3400000000000001,-0.1528964669847268,0.3400000000000001,-0.1509079437028382
0.3500000000000001,-0.2080986658332281,0.3500000000000001,-0.2035092765662015,0.3500000000000001,-0.1948457035550229,0.3500000000000001,-0.1873552170907493,0.3500000000000001,-0.1810001233080565,0.3500000000000001,-0.1755985372681412,0.3500000000000001,-0.1709744873440951,0.3500000000000001,-0.1669828889827297,0.3500000000000001,-0.1604611856916386,0.3500000000000001,-0.1553747695296187,0.3500000000000001,-0.1513069354829761,0.3500000000000001,-0.1479850922117021,0.3500000000000001,-0.1452246157580819,0.3500000000000001,-0.1428964682132244,0.3500000000000001,-0.1409079448782687
0.3600000000000002,-0.1980986689114192,0.3600000000000002,-0.1935092793686403,0.3600000000000002,-0.1848457060813541,0.3600000000000002,-0.1773552194782309,0.3600000000000002,-0.1710001256060243,0.3600000000000002,-0.1655985394974296,0.3600000000000002,-0.1609744895143849,0.3600000000000002,-0.1569828910988955,0.3600000000000002,-0.1504611877067842,0.3600000000000002,-0.1453747714495178,0.3600000000000002,-0.1413069373125405,0.3600000000000002,-0.1379850939559993,0.3600000000000002,-0.1352246174223428,0.3600000000000002,-0.1328964698026763,0.3600000000000002,-0.1309079463979867
0.3700000000000002,-0.1880986729076805,0.3700000000000002,-0.1835092830110791,0.3700000000000002,-0.1748457093671251,0.3700000000000002,-0.1673552225824914,0.3700000000000002,-0.1610001285918574,0.3700000000000002,-0.1555985423916077,0.3700000000000002,-0.1509744923294788,0.3700000000000002,-0.146982893841364,0.3700000000000002,-0.1404611903139651,0.3700000000000002,-0.1353747739297256,0.3700000000000002,-0.1313069396728903,0.3700000000000002,-0.1279850962036823,0.3700000000000002,-0.1252246195646448,0.3700000000000002,-0.1228964718467758,0.3700000000000002,-0.120907948350779
0.3800000000000002,-0.1780986780727121,0.3800000000000002,-0.1735092877241238,0.3800000000000002,-0.1648457136209746,0.3800000000000002,-0.1573552265995039,0.3800000000000002,-0.1510001324523411,0.3800000000000002,-0.1455985461298437,0.3800000000000002,-0.1409744959617752,0.3800000000000002,-0.1369828973762905,0.3800000000000002,-0.1304611936679218,0.3800000000000002,-0.1253747771146989,0.3800000000000002,-0.1213069426991781,0.3800000000000002,-0.1179850990814951,0.3800000000000002,-0.1152246223041367,0.3800000000000002,-0.1128964744578085,0.3800000000000002,-0.1109079508427227
0.3900000000000002,-0.1680986847161196,0.3900000000000002,-0.1635092937928823,0.3900000000000002,-0.1548457191006458,0.3900000000000002,-0.1473552317707462,0.3900000000000002,-0.1410001374168674,0.3900000000000002,-0.1355985509313977,0.3900000000000002,-0.1309745006214706,0.3900000000000002,-0.1269829019055105,0.3900000000000002,-0.1204611979552975,0.3900000000000002,-0.1153747811775265,0.3900000000000002,-0.1113069465523737,0.3900000000000002,-0.1079851027395744,0.3900000000000002,-0.1052246257812666,0.3900000000000002,-0.10289647776755,0.3900000000000002,-0.1009079539978121
0.4000000000000002,-0.1580986932165654,0.4000000000000002,-0.1535093015664052,0.4000000000000002,-0.1448457261212052,0.4000000000000002,-0.1373552383903542,0.4000000000000002,-0.1310001437636409,0.4000000000000002,-0.1255985570609262,0.4000000000000002,-0.1209745065610606,0.4000000000000002,-0.1169829076703193,0.4000000000000002,-0.1104612033971631,0.4000000000000002,-0.1053747863214922,0.4000000000000002,-0.1013069514200812,0.4000000000000002,-0.09798510735169746,0.4000000000000002,-0.09522463015760563,0.4000000000000002,-0.09289648192676192,0.4000000000000002,-0.09090795795720813
0.4100000000000002,-0.1480987040322467,0.4100000000000002,-0.1435093114673217,0.4100000000000002,-0.1348457350631356,0.4100000000000002,-0.1273552468117943,0.4100000000000002,-0.1210001518250272,0.4100000000000002,-0.1155985648326428,0.4100000000000002,-0.1109745140784352,0.4100000000000002,-0.1069829149536244,0.4100000000000002,-0.1004612102496913,0.4100000000000002,-0.09537479277966293,0.4100000000000002,-0.0913069575153625,0.4100000000000002,-0.08798511311357615,0.4100000000000002,-0.08522463561377147,0.4100000000000002,-0.08289648710287578,0.4100000000000002,-0.0809079628767701
0.4200000000000002,-0.1380987177109461,0.4200000000000002,-0.133509324000918,0.4200000000000002,-0.1248457463794176,0.4200000000000002,-0.1173552574530439,0.4200000000000002,-0.1110001619910096,0.4200000000000002,-0.1055985746122708,0.4200000000000002,-0.1009745235175389,0.4200000000000002,-0.09698292407953585,0.4200000000000002,-0.09046121880212493,0.4200000000000002,-0.08537480081182508,0.4200000000000002,-0.0813069650730443,0.4200000000000002,-0.07798512023880194,0.4200000000000002,-0.07522464234519072,0.4200000000000002,-0.07289649347569094,0.4200000000000002,-0.0709079689227588
0.4300000000000002,-0.1280987348986023,0.4300000000000002,-0.1235093397625225,0.4300000000000002,-0.1148457606003579,0.4300000000000002,-0.1073552707990134,0.4300000000000002,-0.1010001747095194,0.4300000000000002,-0.09559858681562411,0.4300000000000002,-0.09097453526556115,0.4300000000000002,-0.08698293540947172,0.4300000000000002,-0.0804612293714812,0.4300000000000002,-0.07537481069847524,0.4300000000000002,-0.07130697434342409,0.4300000000000002,-0.06798512895252889,0.4300000000000002,-0.06522465055591364,0.4300000000000002,-0.06289650123138896,0.4300000000000002,-0.06090797626609368
