nch18_ft (ll=3.5e-07) X,nch18_ft (ll=3.5e-07) Y,nch18_ft (ll=4e-07) X,nch18_ft (ll=4e-07) Y,nch18_ft (ll=5e-07) X,nch18_ft (ll=5e-07) Y,nch18_ft (ll=6e-07) X,nch18_ft (ll=6e-07) Y,nch18_ft (ll=7e-07) X,nch18_ft (ll=7e-07) Y,nch18_ft (ll=8e-07) X,nch18_ft (ll=8e-07) Y,nch18_ft (ll=9e-07) X,nch18_ft (ll=9e-07) Y,nch18_ft (ll=1e-06) X,nch18_ft (ll=1e-06) Y,nch18_ft (ll=1.2e-06) X,nch18_ft (ll=1.2e-06) Y,nch18_ft (ll=1.4e-06) X,nch18_ft (ll=1.4e-06) Y,nch18_ft (ll=1.6e-06) X,nch18_ft (ll=1.6e-06) Y,nch18_ft (ll=1.8e-06) X,nch18_ft (ll=1.8e-06) Y,nch18_ft (ll=2e-06) X,nch18_ft (ll=2e-06) Y,nch18_ft (ll=2.2e-06) X,nch18_ft (ll=2.2e-06) Y,nch18_ft (ll=2.4e-06) X,nch18_ft (ll=2.4e-06) Y
0,-16399.58488417326,0,-14135.16665926689,0,-11829.63116735241,0,-10660.01264143658,0,-9928.710183224352,0,-9402.607977801285,0,-8985.053788911362,0,-8630.503315304335,0,-8027.949487228624,0,-7508.183806628515,0,-7041.944365417457,0,-6617.367064195949,0,-6228.418454224419,0,-5871.178910222105,0,-5542.581535815841
0.01,-22063.15243692773,0.01,-19043.32999374285,0.01,-15967.65280551254,0.01,-14405.77768445843,0.01,-13427.27807743232,0.01,-12721.373899532,0.01,-12159.36361772097,0.01,-11680.71869560073,0.01,-10864.29732801594,0.01,-10157.6112383564,0.01,-9522.413675125714,0.01,-8943.334243348485,0.01,-8412.56327076269,0.01,-7924.976289581186,0.01,-7476.506052504692
0.02,-29676.07545098509,0.02,-25649.41284717423,0.02,-21546.65157401537,0.02,-19460.80142004995,0.02,-18151.17269101796,0.02,-17203.56050046844,0.02,-16446.64705055566,0.02,-15800.02572349457,0.02,-14693.06585379572,0.02,-13731.68383613885,0.02,-12865.93487133928,0.02,-12075.92106068237,0.02,-11351.52935292932,0.02,-10686.04536811764,0.02,-10074.0576120751
0.03,-39906.83376171088,0.03,-34538.39209196199,0.03,-29065.96854851702,0.03,-26280.12062612684,0.03,-24526.79945888192,0.03,-23254.11070306553,0.03,-22234.09011147413,0.03,-21359.97276431617,0.03,-19858.14702738902,0.03,-18549.63712010124,0.03,-17369.27800387974,0.03,-16291.32558586555,0.03,-15302.673470618,0.03,-14394.50055637198,0.03,-13559.58096957222
0.04,-53652.22339102864,0.04,-46495.9012330672,0.04,-39197.09958664973,0.04,-35476.00914447256,0.04,-33128.00121817845,0.04,-31417.93010924475,0.04,-30042.56372768145,0.04,-28860.2018857548,0.04,-26821.53983171054,0.04,-25039.8620558165,0.04,-23430.21275603069,0.04,-21959.29716821831,0.04,-20610.10902775923,0.04,-19371.0234379813,0.04,-18232.35485650825
0.05,-72114.98877473877,0.05,-62576.7324293067,0.05,-52842.73266881218,0.05,-47871.99238215078,0.05,-44726.71235102574,0.05,-42427.93127808214,0.05,-40572.44385247504,0.05,-38972.26777578746,0.05,-36203.56610026021,0.05,-33776.88130615392,0.05,-31581.53863374544,0.05,-29574.4872574385,0.05,-27733.62531990598,0.05,-26043.57949076727,0.05,-24491.31569134522
0.06,-96907.70662273886,0.06,-84196.59080856806,0.06,-71215.90391159497,0.06,-64575.28836266405,0.06,-60360.88270339404,0.06,-57269.4310243832,0.06,-54764.99115482216,0.06,-52598.2949208384,0.06,-48836.61616900871,0.06,-45530.67643665423,0.06,-42536.39724058472,0.06,-39798.11535319264,0.06,-37287.05000357156,0.06,-34982.79367783102,0.06,-32867.73547971735
0.07000000000000001,-130191.7258187373,0.07000000000000001,-113254.9263869374,0.07000000000000001,-95946.06196916547,0.07000000000000001,-87073.89110023998,0.07000000000000001,-81425.48264259243,0.07000000000000001,-77266.38294430246,0.07000000000000001,-73884.48200030933,0.07000000000000001,-70949.39739211224,0.07000000000000001,-65836.85948755975,0.07000000000000001,-61332.35970380648,0.07000000000000001,-57248.46181721619,0.07000000000000001,-53513.18761336047,0.07000000000000001,-50088.97287916674,0.07000000000000001,-46948.61869012807,0.07000000000000001,-44068.23509129984
0.08,-174862.8773834739,0.08,-152299.2612095996,0.08,-129221.0790823925,0.08,-117366.5609246485,0.08,-109794.3016109559,0.08,-104196.7031095507,0.08,-99627.94458828239,0.08,-95650.34143651443,0.08,-88699.71469995301,0.08,-82561.366134279,0.08,-76991.62278705658,0.08,-71897.38897356113,0.08,-67229.50936421497,0.08,-62951.58255590122,0.08,-59031.07374566865
0.09,-234799.5114655452,0.09,-204744.8526723209,0.09,-173977.2098167936,0.09,-158136.675141576,0.09,-147982.7336613413,0.09,-140446.2490690205,0.09,-134271.4922820556,0.09,-128878.9148507793,0.09,-119426.5713184219,0.09,-111060.7815420791,0.09,-103464.9990248047,0.09,-96518.77977584582,0.09,-90157.61778098324,0.09,-84332.58771848913,0.09,-78999.21193216831
