nch18_gm_gds (ll=3.5e-07) X,nch18_gm_gds (ll=3.5e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0,313.9367304534136,0,399.9578956322677,0,505.1926547532743,0,561.5760979891309,0,600.9640564235699,0,632.8778251726118,0,660.0857159631713,0,683.734955548065,0,722.9243886111191,0,754.0896474153948,0,779.466638823205,0,800.5304248581056,0,818.2942647461053,0,833.4771664185191,0,846.6034371089283
0.01,313.8158570439894,0.01,399.801472988969,0.01,504.9904661024201,0.01,561.3475363262547,0.01,600.7159422003657,0.01,632.6131764174194,0.01,659.8064949615288,0.01,683.4427117958865,0.01,722.6098192679592,0.01,753.7566421509846,0.01,779.118164690694,0.01,800.1687947568894,0.01,817.9213149982402,0.01,833.0943782656283,0.01,846.2120220261995
0.02,313.6924734828707,0.02,399.6415559469188,0.02,504.7833095889594,0.02,561.1129947028014,0.02,600.4609969489418,0.02,632.3409148081654,0.02,659.5189299590309,0.02,683.1414397989382,0.02,722.2849855291839,0.02,753.4122956370541,0.02,778.7574093739804,0.02,799.7940595474316,0.02,817.5345341664441,0.02,832.697115875818,0.02,845.8055598597443
0.03,313.5661755792322,0.03,399.4775893870801,0.03,504.5704099045033,0.03,560.8715497961443,0.03,600.1981733185385,0.03,632.0598787685512,0.03,659.221752231284,0.03,682.8297702964301,0.03,721.948335963895,0.03,753.0548972830426,0.03,778.3825230777044,0.03,799.4042472364117,0.03,817.1318424771591,0.03,832.2832039225634,0.03,845.3817901320414
0.04,313.4364926766598,0.04,399.3089272941374,0.04,504.3508655745988,0.04,560.6221286137196,0.04,599.926254598401,0.04,631.7687191919439,0.04,658.9134884508342,0.04,682.5061133889907,0.04,721.5980694313805,0.04,752.6824613980735,0.04,777.991358722826,0.04,798.9970691021052,0.04,816.7108263060481,0.04,831.8501180745768,0.04,844.938089879761
0.05,313.3028762859502,0.05,399.1348171958114,0.05,504.123627365776,0.05,560.3634829118008,0.05,599.6438258189494,0.05,631.4658674994016,0.05,658.5924259023385,0.05,682.1686210996148,0.05,721.2320928722385,0.05,752.2926808649919,0.05,777.5814220646,0.05,798.5698667285513,0.05,816.2686825239464,0.05,831.3949269848014,0.05,844.4714135638387
0.06,313.1646867744689,0.06,398.9543819308443,0.06,503.8874729828586,0.06,560.0941592353072,0.06,599.3492399335765,0.06,631.1494982951162,0.06,658.2565718549388,0.06,681.8151436901799,0.06,720.8479721589174,0.06,751.8828733008672,0.06,777.1498138239712,0.06,798.1195506609203,0.06,815.8021541362378,0.06,830.9142252970412,0.06,843.9782237640222
0.07000000000000001,313.0211778019299,0.07000000000000001,398.7665983181603,0.07000000000000001,503.6409774669745,0.07000000000000001,559.8124638949794,0.07000000000000001,599.0405783293082,0.07000000000000001,630.817485813854,0.07000000000000001,657.9036062425857,0.07000000000000001,681.4431788500438,0.07000000000000001,720.4428750749802,0.07000000000000001,751.4499187487412,0.07000000000000001,776.6931628697181,0.07000000000000001,797.6425297234285,0.07000000000000001,815.3074562695496,0.07000000000000001,830.4040567419196,0.07000000000000001,843.4544117497646
0.08,312.8714781540306,0.08,398.5702722463218,0.08,503.3824786361901,0.08,559.5164221257384,0.08,598.7156048448147,0.08,630.4673532900385,0.08,657.5308267468359,0.08,681.0498128267717,0.08,720.0135054717847,0.08,750.9901879553147,0.08,776.2075495304807,0.08,797.1346301154151,0.08,814.7801916648521,0.08,829.8598265297711,0.08,842.8952071866923
0.09,312.7145705872549,0.09,398.3640096511321,0.09,503.1100368460105,0.09,559.2037306068563,0.09,598.3717124185979,0.09,630.0962143360214,0.09,657.1350853505443,0.09,680.6316525622983,0.09,719.5560276886164,0.09,750.4994603745754,0.09,775.6884182508121,0.09,796.5910035859049,0.09,814.2152550706254,0.09,829.2762025289484,0.09,842.2950765619759
