pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y,pch18_Cdd_Cgg (ll=3.5e-07) X,pch18_Cdd_Cgg (ll=3.5e-07) Y
0,0.1983256952307882,0,0.1677002687362934,0,0.1453056820968277,0,0.1282038288287561,0,0.1147116292317657,0,0.103793154709069,0,0.09477503105050401,0,0.08074773048356909,0,0.07033978676875427,0,0.06230975882114916,0,0.05592594758246282,0,0.05072902741614792,0,0.04641606083754373,0,0.042779145460051,0,0.2183101771101535
0.01,0.1988604920398015,0.01,0.1682336464285825,0.01,0.1458185865342263,0.01,0.1286902812259891,0.01,0.1151706944629315,0.01,0.1042258881217378,0.01,0.09518322254815074,0.01,0.08111275754477522,0.01,0.07066888315702979,0.01,0.06260887300496898,0.01,0.05619982643776124,0.01,0.05098144975318664,0.01,0.04665005528457208,0.01,0.04299716349470588,0.01,0.2188289093891955
0.02,0.1993938302653755,0.02,0.1687644779866851,0.02,0.1463285145307513,0.02,0.1291736194418466,0.02,0.1156266460845624,0.02,0.1046555751873977,0.02,0.09558846626805133,0.02,0.08147506370131651,0.02,0.07099548186273938,0.02,0.06290569196253119,0.02,0.05647158896342763,0.02,0.05123191267949283,0.02,0.04688222797591074,0.02,0.04321348092585369,0.02,0.2193472325221896
0.03,0.1999258303924155,0.03,0.1692927744473876,0.03,0.1468354129623904,0.03,0.1296537520605339,0.03,0.1160793697151187,0.03,0.1050820879503659,0.03,0.09599062659487141,0.03,0.08183450810563521,0.03,0.07131944362609602,0.03,0.06320008095329627,0.03,0.05674110610519299,0.03,0.05148029315992651,0.03,0.04711246182881661,0.03,0.04342798636943219,0.03,0.219865348870946
0.04,0.2004565413112572,0.04,0.1698184965262197,0.04,0.1473391910577629,0.04,0.1301305582551798,0.04,0.1165287272427866,0.04,0.1055052788219557,0.04,0.09638955134123728,0.04,0.08219093754316602,0.04,0.07164061952195652,0.04,0.06349189742296089,0.04,0.05700824232735262,0.04,0.0517264626736584,0.04,0.04734063504195206,0.04,0.04364056432853007,0.04,0.2203833723580215
0.05,0.2009859337132073,0.05,0.1703415490332779,0.05,0.1478397153535849,0.05,0.1306038831097296,0.05,0.1169745524356122,0.05,0.105924976435049,0.05,0.09678506781750827,0.05,0.0825441828707464,0.05,0.07195884770607817,0.05,0.06378098801159422,0.05,0.05727285284634526,0.05,0.05197028464364412,0.05,0.04756661869644507,0.05,0.04385109294581208,0.05,0.2209013208823374
0.06,0.2015138910336421,0.06,0.1708617725219261,0.06,0.148336801750586,0.06,0.1310735300123856,0.06,0.1174166436529052,0.06,0.1063409786621394,0.06,0.0971769761443837,0.06,0.0828940528757058,0.06,0.07227394775997106,0.06,0.0640671833261683,0.06,0.05753477877910983,0.06,0.05221160991587236,0.06,0.04779027252755299,0.06,0.04405944003476873,0.06,0.2214191065516634
0.07000000000000001,0.2020401969768698,0.07000000000000001,0.1713789312466598,0.07000000000000001,0.1488302037969337,0.07000000000000001,0.1315392492992828,0.07000000000000001,0.1178547528857135,0.07000000000000001,0.1067530420700807,0.07000000000000001,0.09756503912310532,0.07000000000000001,0.08324032494250591,0.07000000000000001,0.07258571208085851,0.07000000000000001,0.06435028997373325,0.07000000000000001,0.05779383974438031,0.07000000000000001,0.05245026986225314,0.07000000000000001,0.04801143847152954,0.07000000000000001,0.04426545702108442,0.07000000000000001,0.2219365227510273
0.08,0.202564518608139,0.08,0.171892696483494,0.08,0.1493195963146005,0.08,0.1320007223212628,0.08,0.1182885703515991,0.08,0.1071608670840975,0.08,0.09794896797846103,0.08,0.08358273191524872,0.08,0.07289389376497681,0.08,0.06463007935317021,0.08,0.05804982345663165,0.08,0.0526860666823964,0.08,0.04822993159350623,0.08,0.04446897042647877,0.08,0.2224532269894128
0.09,0.203086383907515,0.09,0.1724026242055903,0.09,0.1498045534356963,0.09,0.13245754006422,0.09,0.1187177038299438,0.09,0.107564078096808,0.09,0.09832840325456255,0.09,0.08392094451147333,0.09,0.0731981904013881,0.09,0.06490627267402371,0.09,0.05830247182442423,0.09,0.05291876045292369,0.09,0.04844552797684808,0.09,0.04466977050318892,0.09,0.2229687183436669
