pch18_Cgd_Cgg (ll=3.5e-07) X,pch18_Cgd_Cgg (ll=3.5e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0,-0.2183098734145156,0,-0.198325476461903,0,-0.1677000818971733,0,-0.1453054903695342,0,-0.1282036286336122,0,-0.1147114212962001,0,-0.1037929401490156,0,-0.09477481084532859,0,-0.08074750125598069,0,-0.07033955070874992,0,-0.06230951744727945,0,-0.05592570198287677,0,-0.05072877839325576,0,-0.04641580899767864,0,-0.04277889127104009
0.01,-0.2188285637830915,0.01,-0.1988602418426418,0.01,-0.1682334317838234,0.01,-0.1458183659601798,0.01,-0.128690050748191,0.01,-0.1151704549621121,0.01,-0.1042256409051458,0.01,-0.09518296875862714,0.01,-0.08111249325214309,0.01,-0.07066861091153515,0.01,-0.06260859457416781,0.01,-0.0561995430879359,0.01,-0.05098116241798729,0.01,-0.04664976466945952,0.01,-0.04299687014398133
0.02,-0.219346839931318,0.02,-0.1993935445451044,0.02,-0.1687642316971116,0.02,-0.1463282610689289,0.02,-0.1291733544143218,0.02,-0.1156263705548749,0.02,-0.1046552906846159,0.02,-0.09558817412378653,0.02,-0.08147475934913742,0.02,-0.07099516826793575,0.02,-0.06290537117938029,0.02,-0.05647126246325901,0.02,-0.05123158154699399,0.02,-0.04688189303060838,0.02,-0.04321314280004052
0.03,-0.2198649037270912,0.03,-0.1999255045983134,0.03,-0.169292492205066,0.03,-0.1468351220687735,0.03,-0.1296534476816325,0.03,-0.1160790531317639,0.03,-0.1050817609482693,0.03,-0.09599029072317165,0.03,-0.08183415806720896,0.03,-0.07131908286342978,0.03,-0.06319971185014382,0.03,-0.05674073036843006,0.03,-0.0514799120477072,0.03,-0.04711207629165481,0.03,-0.04342759714065689
0.04,-0.2203828685596616,0.04,-0.2004561703941131,0.04,-0.1698181735060468,0.04,-0.1473388576323859,0.04,-0.1301302091320584,0.04,-0.1165283639601489,0.04,-0.1055049034617978,0.04,-0.09638916570283779,0.04,-0.08219053549195131,0.04,-0.07164020504794762,0.04,-0.06349147328774936,0.04,-0.05700781050784744,0.04,-0.05172602462683733,0.04,-0.04734019186844387,0.04,-0.04364011687744452
0.05,-0.2209007517483312,0.05,-0.2009855120773499,0.05,-0.1703411798394559,0.05,-0.1478393336821212,0.05,-0.1306034831959102,0.05,-0.1169741361214865,0.05,-0.1059245461439036,0.05,-0.09678462563565728,0.05,-0.08254372170569284,0.05,-0.07195837217481402,0.05,-0.06378050130814333,0.05,-0.05727235725657287,0.05,-0.05196978185196596,0.05,-0.04756610997518757,0.05,-0.04385057927650191
0.06,-0.2214184647656161,0.06,-0.2015134124821295,0.06,-0.1708613511282387,0.06,-0.1483363654393757,0.06,-0.1310730725383341,0.06,-0.1174161672153663,0.06,-0.1063404860766567,0.06,-0.09717646982596249,0.06,-0.08289352463816708,0.06,-0.07227340293682996,0.06,-0.06406662560541021,0.06,-0.05753421079941611,0.06,-0.05221103362133771,0.06,-0.04778968938651879,0.06,-0.04405885117992244
0.07000000000000001,-0.221935800293505,0.07000000000000001,-0.2020396546480326,0.07000000000000001,-0.1713784509291818,0.07000000000000001,-0.1488297057000611,0.07000000000000001,-0.1315387266945338,0.07000000000000001,-0.1178542083910781,0.07000000000000001,-0.1067524789509458,0.07000000000000001,-0.09756446017011035,0.07000000000000001,-0.08323972072296369,0.07000000000000001,-0.0725850887456186,0.07000000000000001,-0.06434965177399603,0.07000000000000001,-0.05779318972100619,0.07000000000000001,-0.05244961025530154,0.07000000000000001,-0.0480107709727253,0.07000000000000001,-0.04426478293537223
0.08,-0.2224524150547217,0.08,-0.2025639049013296,0.08,-0.1718921497440583,0.08,-0.149319028451303,0.08,-0.1320001261262746,0.08,-0.1182879489315674,0.08,-0.1071602242191911,0.08,-0.09794830688777818,0.08,-0.08358204174766141,0.08,-0.07289318160203402,0.08,-0.0646293500871629,0.08,-0.05804908058610994,0.08,-0.0526853127841917,0.08,-0.04822916861350818,0.08,-0.04446819986561856
0.09,-0.2229678072374172,0.09,-0.2030856903955413,0.09,-0.1724020026839978,0.09,-0.1498039068960289,0.09,-0.1324568608297579,0.09,-0.1187169955756062,0.09,-0.1075633451906576,0.09,-0.09832764940353536,0.09,-0.08392015725261362,0.09,-0.07319737787434215,0.09,-0.06490544049969875,0.09,-0.05830162402145793,0.09,-0.05291789998079627,0.09,-0.04844465707022402,0.09,-0.04466889088567048
