pch18_Id_W (ll=3.5e-07) X,pch18_Id_W (ll=3.5e-07) Y,pch18_Id_W (ll=4e-07) X,pch18_Id_W (ll=4e-07) Y,pch18_Id_W (ll=5e-07) X,pch18_Id_W (ll=5e-07) Y,pch18_Id_W (ll=6e-07) X,pch18_Id_W (ll=6e-07) Y,pch18_Id_W (ll=7e-07) X,pch18_Id_W (ll=7e-07) Y,pch18_Id_W (ll=8e-07) X,pch18_Id_W (ll=8e-07) Y,pch18_Id_W (ll=9e-07) X,pch18_Id_W (ll=9e-07) Y,pch18_Id_W (ll=1e-06) X,pch18_Id_W (ll=1e-06) Y,pch18_Id_W (ll=1.2e-06) X,pch18_Id_W (ll=1.2e-06) Y,pch18_Id_W (ll=1.4e-06) X,pch18_Id_W (ll=1.4e-06) Y,pch18_Id_W (ll=1.6e-06) X,pch18_Id_W (ll=1.6e-06) Y,pch18_Id_W (ll=1.8e-06) X,pch18_Id_W (ll=1.8e-06) Y,pch18_Id_W (ll=2e-06) X,pch18_Id_W (ll=2e-06) Y,pch18_Id_W (ll=2.2e-06) X,pch18_Id_W (ll=2.2e-06) Y,pch18_Id_W (ll=2.4e-06) X,pch18_Id_W (ll=2.4e-06) Y
0,-1.026926845241304e-06,0,-9.040357067349843e-07,0,-7.62217581796006e-07,0,-6.71675876730288e-07,0,-6.034037604611405e-07,0,-5.484949369001666e-07,0,-5.029372410057385e-07,0,-4.644044586778173e-07,0,-4.026762566756246e-07,0,-3.553822905989995e-07,0,-3.17993277537706e-07,0,-2.877002158562933e-07,0,-2.626640435813496e-07,0,-2.416297377789403e-07,0,-2.237115928988181e-07
0.01,-1.357088262656999e-06,0.01,-1.196204539139721e-06,0.01,-1.01017613171145e-06,0.01,-8.910429566913469e-07,0.01,-8.009880914676166e-07,0.01,-7.284298870257289e-07,0.01,-6.681500964203102e-07,0.01,-6.171157670944403e-07,0.01,-5.352768215856247e-07,0.01,-4.72513149852903e-07,0.01,-4.228608346039443e-07,0.01,-3.826121279326652e-07,0.01,-3.493355440015442e-07,0.01,-3.213698104559087e-07,0.01,-2.975414818517991e-07
0.02,-1.793049209132593e-06,0.02,-1.582497907037898e-06,0.02,-1.338556293760085e-06,0.02,-1.181849523528984e-06,0.02,-1.06309506733226e-06,0.02,-9.67240303336447e-07,0.02,-8.87502142254901e-07,0.02,-8.199281449539097e-07,0.02,-7.114551311353632e-07,0.02,-6.281837493174102e-07,0.02,-5.622634477357499e-07,0.02,-5.088015676136995e-07,0.02,-4.645842398499428e-07,0.02,-4.274130318051208e-07,0.02,-3.95733694764976e-07
0.03,-2.368557963537302e-06,0.03,-2.093099339539079e-06,0.03,-1.773320080323928e-06,0.03,-1.567251044966296e-06,0.03,-1.410694782537231e-06,0.03,-1.284098089435697e-06,0.03,-1.178648790218921e-06,0.03,-1.089198800953557e-06,0.03,-9.454623937239458e-07,0.03,-8.350123481011159e-07,0.03,-7.475178506169637e-07,0.03,-6.765245093970156e-07,0.03,-6.177854974305763e-07,0.03,-5.683923266554807e-07,0.03,-5.262869246670513e-07
0.04,-3.128072736624068e-06,0.04,-2.767821386091645e-06,0.04,-2.348766372905552e-06,0.04,-2.077867950649502e-06,0.04,-1.87153552285201e-06,0.04,-1.704383744726143e-06,0.04,-1.564971009802658e-06,0.04,-1.446595321555553e-06,0.04,-1.256183870346989e-06,0.04,-1.109724806619107e-06,0.04,-9.9362767596918e-07,0.04,-8.99380305139359e-07,0.04,-8.213724775042674e-07,0.04,-7.557573750277186e-07,0.04,-6.998105310653863e-07
0.05,-4.130139838798126e-06,0.05,-3.659158532162944e-06,0.05,-3.110191093387963e-06,0.05,-2.754176607693373e-06,0.05,-2.482320190494292e-06,0.05,-2.261683422399708e-06,0.05,-2.07741944004522e-06,0.05,-1.920807804134437e-06,0.05,-1.668635153192734e-06,0.05,-1.474482220986514e-06,0.05,-1.320475989248122e-06,0.05,-1.195393709010105e-06,0.05,-1.091826170199706e-06,0.05,-1.00468692685263e-06,0.05,-9.303703506131217e-07
0.06,-5.451829251752074e-06,0.06,-4.836300501095013e-06,0.06,-4.117389312658509e-06,0.06,-3.649659693462703e-06,0.06,-3.291575552482582e-06,0.06,-3.000422717971478e-06,0.06,-2.756947150416241e-06,0.06,-2.549807995931748e-06,0.06,-2.215937090087887e-06,0.06,-1.958633616163615e-06,0.06,-1.754399859195888e-06,0.06,-1.588443695175587e-06,0.06,-1.450982851983838e-06,0.06,-1.335293703116107e-06,0.06,-1.236605828537181e-06
0.07000000000000001,-7.194555142292396e-06,0.07000000000000001,-6.390404840220398e-06,0.07000000000000001,-5.449262785597476e-06,0.07000000000000001,-4.834954346683922e-06,0.07000000000000001,-4.363432203680522e-06,0.07000000000000001,-3.979337690387142e-06,0.07000000000000001,-3.657716577110092e-06,0.07000000000000001,-3.383827953367766e-06,0.07000000000000001,-2.941920444525031e-06,0.07000000000000001,-2.60102794831082e-06,0.07000000000000001,-2.330267674309816e-06,0.07000000000000001,-2.110148671876672e-06,0.07000000000000001,-1.927759306571988e-06,0.07000000000000001,-1.77421438920328e-06,0.07000000000000001,-1.643204264020678e-06
0.08,-9.49170876679561e-06,0.08,-8.44151925312168e-06,0.08,-7.209877489102886e-06,0.08,-6.403310000745833e-06,0.08,-5.782600418598061e-06,0.08,-5.276045572357851e-06,0.08,-4.851323511170109e-06,0.08,-4.489284077013592e-06,0.08,-3.904558107877064e-06,0.08,-3.453061188326051e-06,0.08,-3.094217247168756e-06,0.08,-2.802351592227682e-06,0.08,-2.560427182165895e-06,0.08,-2.356705831651244e-06,0.08,-2.182844490817557e-06
0.09,-1.251866086655384e-05,0.09,-1.114766305417203e-05,0.09,-9.536421117414138e-06,0.09,-8.477763364143764e-06,0.09,-7.66091451393723e-06,0.09,-6.993058142058592e-06,0.09,-6.432355537492005e-06,0.09,-5.953941681677741e-06,0.09,-5.18048337694621e-06,0.09,-4.58268818230137e-06,0.09,-4.107261223937175e-06,0.09,-3.720392468988728e-06,0.09,-3.399608138075814e-06,0.09,-3.129405678063618e-06,0.09,-2.898756743286012e-06
