pch18_Vdsat (ll=3.5e-07) X,pch18_Vdsat (ll=3.5e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0,-0.04750689309497898,0,-0.04647589330131206,0,-0.04492643861700889,0,-0.04382131125402378,0,-0.0429948788050782,0,-0.04235405955477979,0,-0.04184285789231786,0,-0.04142566366692804,0,-0.04078584940592423,0,-0.04031831671927347,0,-0.03996179489168711,0,-0.03968096698226128,0,-0.03945405240909106,0,-0.0392668919446979,0,-0.03910988365002351
0.01,-0.04750693832290033,0.01,-0.0464759416169101,0.01,-0.04492649320160373,0.01,-0.04382137141144694,0.01,-0.04299494369683982,0.01,-0.0423541284430343,0.01,-0.04184293017219958,0.01,-0.0414257388503432,0.01,-0.04078592928475787,0.01,-0.04031840021956859,0.01,-0.03996188126324708,0.01,-0.03968105568197547,0.01,-0.03945414303183496,0.01,-0.03926698418066613,0.01,-0.03910997725725614
0.02,-0.04750699804389275,0.02,-0.04647600549762156,0.02,-0.0449265654896948,0.02,-0.04382145115960655,0.02,-0.04299502977920907,0.02,-0.04235421987148669,0.02,-0.04184302613737087,0.02,-0.04142583869931346,0.02,-0.04078603541445296,0.02,-0.04031851119358389,0.02,-0.03996199607819876,0.02,-0.03968117361144802,0.02,-0.03945426353397503,0.02,-0.0392671068410668,0.02,-0.03911010175226617
0.03,-0.04750707688091135,0.03,-0.04647608993470524,0.03,-0.04492666119624966,0.03,-0.04382155684820944,0.03,-0.042995143938992,0.03,-0.04235434117976454,0.03,-0.04184315351159761,0.03,-0.04142597126644713,0.03,-0.04078617637946674,0.03,-0.04031865863608024,0.03,-0.03996214865670415,0.03,-0.03968133035475011,0.03,-0.03945442371760773,0.03,-0.03926726991097158,0.03,-0.03911026727570732
0.04,-0.04750718092393356,0.04,-0.04647620151163136,0.04,-0.04492678787130275,0.04,-0.04382169687387021,0.04,-0.0429952952888668,0.04,-0.04235450208415597,0.04,-0.04184332252321415,0.04,-0.0414261472184102,0.04,-0.04078636355539082,0.04,-0.04031885446957422,0.04,-0.03996235135501968,0.04,-0.03968153861994842,0.04,-0.03945463658147882,0.04,-0.03926748663303373,0.04,-0.03911048727760057
0.05,-0.04750731819263106,0.05,-0.04647634890883421,0.05,-0.0449269554854202,0.05,-0.04382188233561725,0.05,-0.04299549588196196,0.05,-0.04235471544194745,0.05,-0.04184354671164531,0.05,-0.04142638067854826,0.05,-0.04078661200997665,0.05,-0.04031911449039593,0.05,-0.0399626205473038,0.05,-0.03968181524987383,0.05,-0.03945491935565677,0.05,-0.03926777456226273,0.05,-0.03911077958925503
0.06,-0.04750749924384923,0.06,-0.04647654356721147,0.06,-0.04492717720039598,0.06,-0.04382212789852437,0.06,-0.04299576165382509,0.06,-0.04235499825934944,0.06,-0.04184384399124821,0.06,-0.04142669033859621,0.06,-0.04078694169221404,0.06,-0.04031945961748932,0.06,-0.03996297792175604,0.06,-0.03968218255665153,0.06,-0.03945529486778204,0.06,-0.03926815695891161,0.06,-0.03911116783875877
0.07000000000000001,-0.04750773796868491,0.07000000000000001,-0.04647680055973668,0.07000000000000001,-0.044927470383114,0.07000000000000001,-0.04382245293071776,0.07000000000000001,-0.04299611366321354,0.07000000000000001,-0.04235537301962601,0.07000000000000001,-0.04184423805348812,0.07000000000000001,-0.04142710092422149,0.07000000000000001,-0.04078737900033903,0.07000000000000001,-0.04031991753941185,0.07000000000000001,-0.03996345219024031,0.07000000000000001,-0.03968267008216114,0.07000000000000001,-0.0394557933455339,0.07000000000000001,-0.03926866462613567,0.07000000000000001,-0.03911168331859601
0.08,-0.04750805263765556,0.08,-0.04647713973565756,0.08,-0.04492785793828092,0.08,-0.04382288299914265,0.08,-0.04299657972515091,0.08,-0.04235586943168443,0.08,-0.04184476021345176,0.08,-0.04142764512528732,0.08,-0.04078795884751187,0.08,-0.04032052488444184,0.08,-0.03996408134122754,0.08,-0.03968331691806708,0.08,-0.03945645479209351,0.08,-0.03926933833203013,0.08,-0.03911236744724234
0.09,-0.04750846727013122,0.09,-0.04647758722133764,0.09,-0.04492837005885753,0.09,-0.04382345183551602,0.09,-0.04299719655826001,0.09,-0.04235652672998626,0.09,-0.04184545183903416,0.09,-0.04142836613565685,0.09,-0.04078872738035705,0.09,-0.04032133007690516,0.09,-0.03996491560529527,0.09,-0.03968417475992652,0.09,-0.03945733211340085,0.09,-0.03927023199823379,0.09,-0.03911327500996398
