pch18_Vgs_Vth (ll=3.5e-07) X,pch18_Vgs_Vth (ll=3.5e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0,0.561799195231463,0,0.5552861637756976,0,0.5454442111224765,0,0.5384981545978476,0,0.533384084143076,0,0.5294766034709114,0,0.5263981616969774,0,0.5239114248608688,0,0.520141583240555,0,0.5174197197486854,0,0.5153628333168543,0,0.5137544646949289,0,0.5124629594992879,0,0.5114035910780336,0,0.5105193411857591
0.01,0.5517991952316545,0.01,0.5452861637758676,0.01,0.5354442111226202,0.01,0.5284981545979767,0.01,0.5233840841431905,0.01,0.5194766034710171,0.01,0.5163981616970723,0.01,0.5139114248609588,0.01,0.510141583240633,0.01,0.507419719748756,0.01,0.5053628333169176,0.01,0.5037544646949849,0.01,0.5024629594993389,0.01,0.5014035910780797,0.01,0.5005193411858018
0.02,0.5417991952319088,0.02,0.5352861637760911,0.02,0.5254442111228123,0.02,0.5184981545981445,0.02,0.5133840841433439,0.02,0.5094766034711558,0.02,0.5063981616972014,0.02,0.5039114248610781,0.02,0.5001415832407351,0.02,0.4974197197488459,0.02,0.4953628333169978,0.02,0.4937544646950578,0.02,0.4924629594994058,0.02,0.4914035910781429,0.02,0.4905193411858588
0.03,0.5317991952322411,0.03,0.5252861637763898,0.03,0.5154442111230655,0.03,0.5084981545983698,0.03,0.5033840841435459,0.03,0.4994766034713397,0.03,0.4963981616973717,0.03,0.4939114248612338,0.03,0.4901415832408713,0.03,0.4874197197489651,0.03,0.4853628333171049,0.03,0.483754464695155,0.03,0.4824629594994945,0.03,0.4814035910782256,0.03,0.4805193411859342
0.04,0.5217991952326819,0.04,0.5152861637767809,0.04,0.5054442111234013,0.04,0.498498154598668,0.04,0.4933840841438136,0.04,0.4894766034715842,0.04,0.4863981616975956,0.04,0.483911424861443,0.04,0.4801415832410514,0.04,0.4774197197491256,0.04,0.4753628333172484,0.04,0.4737544646952853,0.04,0.4724629594996139,0.04,0.4714035910783326,0.04,0.4705193411860363
0.05,0.5117991952332637,0.05,0.5052861637772982,0.05,0.4954442111238441,0.05,0.4884981545990611,0.05,0.4833840841441717,0.05,0.4794766034719105,0.05,0.476398161697895,0.05,0.4739114248617181,0.05,0.4701415832412911,0.05,0.4674197197493372,0.05,0.4653628333174404,0.05,0.463754464695459,0.05,0.4624629594997718,0.05,0.4614035910784784,0.05,0.4605193411861701
0.06,0.5017991952340318,0.06,0.4952861637779832,0.06,0.4854442111244305,0.06,0.4784981545995832,0.06,0.4733840841446413,0.06,0.4694766034723412,0.06,0.4663981616982892,0.06,0.4639114248620854,0.06,0.4601415832416109,0.06,0.4574197197496194,0.06,0.4553628333176911,0.06,0.4537544646956877,0.06,0.4524629594999797,0.06,0.4514035910786707,0.06,0.4505193411863476
0.07000000000000001,0.4917991952350412,0.07000000000000001,0.4852861637788867,0.07000000000000001,0.4754442111252066,0.07000000000000001,0.4684981546002748,0.07000000000000001,0.4633840841452669,0.07000000000000001,0.4594766034729107,0.07000000000000001,0.456398161698815,0.07000000000000001,0.4539114248625722,0.07000000000000001,0.450141583242033,0.07000000000000001,0.4474197197499942,0.07000000000000001,0.4453628333180267,0.07000000000000001,0.4437544646959918,0.07000000000000001,0.4424629595002583,0.07000000000000001,0.4414035910789261,0.07000000000000001,0.440519341186586
0.08,0.481799195236374,0.08,0.4752861637800795,0.08,0.4654442111262311,0.08,0.4584981546011876,0.08,0.4533840841460934,0.08,0.4494766034736666,0.08,0.4463981616995112,0.08,0.4439114248632146,0.08,0.4401415832425939,0.08,0.4374197197504903,0.08,0.4353628333184719,0.08,0.4337544646963931,0.08,0.4324629595006254,0.08,0.4314035910792652,0.08,0.4305193411868996
0.09,0.4717991952381299,0.09,0.4652861637816531,0.09,0.4554442111275867,0.09,0.4484981546023975,0.09,0.4433840841471877,0.09,0.4394766034746671,0.09,0.436398161700431,0.09,0.4339114248640688,0.09,0.4301415832433373,0.09,0.4274197197511497,0.09,0.4253628333190617,0.09,0.4237544646969282,0.09,0.4224629595011143,0.09,0.4214035910797164,0.09,0.4205193411873155
