pch18_ft (ll=3.5e-07) X,pch18_ft (ll=3.5e-07) Y,pch18_ft (ll=4e-07) X,pch18_ft (ll=4e-07) Y,pch18_ft (ll=5e-07) X,pch18_ft (ll=5e-07) Y,pch18_ft (ll=6e-07) X,pch18_ft (ll=6e-07) Y,pch18_ft (ll=7e-07) X,pch18_ft (ll=7e-07) Y,pch18_ft (ll=8e-07) X,pch18_ft (ll=8e-07) Y,pch18_ft (ll=9e-07) X,pch18_ft (ll=9e-07) Y,pch18_ft (ll=1e-06) X,pch18_ft (ll=1e-06) Y,pch18_ft (ll=1.2e-06) X,pch18_ft (ll=1.2e-06) Y,pch18_ft (ll=1.4e-06) X,pch18_ft (ll=1.4e-06) Y,pch18_ft (ll=1.6e-06) X,pch18_ft (ll=1.6e-06) Y,pch18_ft (ll=1.8e-06) X,pch18_ft (ll=1.8e-06) Y,pch18_ft (ll=2e-06) X,pch18_ft (ll=2e-06) Y,pch18_ft (ll=2.2e-06) X,pch18_ft (ll=2.2e-06) Y,pch18_ft (ll=2.4e-06) X,pch18_ft (ll=2.4e-06) Y
0,-14739.02576878582,0,-13023.37152744655,0,-11022.53194389446,0,-9726.641642532742,0,-8739.179582730174,0,-7939.301104134975,0,-7272.329898707978,0,-6706.166289677039,0,-5795.862382682692,0,-5096.086971250826,0,-4541.69865506409,0,-4091.910076116922,0,-3719.846051824884,0,-3407.08264316365,0,-3140.573583857015
0.01,-19404.11956216562,0.01,-17168.99379949194,0.01,-14557.12050293018,0.01,-12860.03729825007,0.01,-11563.49283050294,0.01,-10511.2708851993,0.01,-9632.692505929797,0.01,-8886.149080205705,0.01,-7684.542254375375,0.01,-6759.888955411471,0.01,-6026.826687858764,0.01,-5431.767683817168,0.01,-4939.340575681805,0.01,-4525.266743355429,0.01,-4172.338189831483
0.02,-25539.33985625701,0.02,-22627.89527625311,0.02,-19218.62782167599,0.02,-16996.11115523934,0.02,-15293.64496604026,0.02,-13909.37648987915,0.02,-12751.97504804365,0.02,-11767.51874179372,0.02,-10181.30373810149,0.02,-8959.461669998373,0.02,-7990.124403945191,0.02,-7202.879808668555,0.02,-6551.169410115295,0.02,-6002.995899043739,0.02,-5535.659459327567
0.03,-33605.66885610315,0.03,-29813.79916009533,0.03,-25363.94147981122,0.03,-22453.20773409053,0.03,-20217.56729121981,0.03,-18396.31339804373,0.03,-16871.4729079125,0.03,-15573.18143180269,0.03,-13479.11356335428,0.03,-11864.48876445495,0.03,-10582.68946065256,0.03,-9541.186030863937,0.03,-8678.686913801666,0.03,-7953.016775177594,0.03,-7334.227520929334
0.04,-44207.71905223023,0.04,-39269.84856680188,0.04,-33462.02518682387,0.04,-29649.76040841059,0.04,-26713.7013173182,0.04,-24317.27645663983,0.04,-22308.15282908636,0.04,-20595.82698450589,0.04,-17831.10541551121,0.04,-15697.32289347293,0.04,-14002.29558207996,0.04,-12624.41193777273,0.04,-11482.97343135773,0.04,-10522.38117840387,0.04,-9703.118827803997
0.05,-58138.08376219803,0.05,-51708.6968747924,0.05,-44128.71436565317,0.05,-39135.35011484446,0.05,-35279.03410187097,0.05,-32125.44869252753,0.05,-29477.96208046009,0.05,-27219.35380658506,0.05,-23568.92119332873,0.05,-20748.92066904525,0.05,-18507.40500819297,0.05,-16684.51473402134,0.05,-15173.98224609989,0.05,-13902.50109254987,0.05,-12817.92174579691
0.06,-76435.19261068518,0.06,-68064.83203929204,0.06,-58172.12937186348,0.06,-51631.21439985996,0.06,-46565.6284381791,0.06,-42415.17569631329,0.06,-38926.12873249775,0.06,-35946.68398484505,0.06,-31126.45949125176,0.06,-27399.41950468139,0.06,-24435.21353670446,0.06,-22023.66702228712,0.06,-20024.81692810122,0.06,-18341.99309903635,0.06,-16906.36293298598
0.07000000000000001,-100458.6875031166,0.07000000000000001,-89562.77383291911,0.07000000000000001,-76651.85135425831,0.07000000000000001,-68082.98576754799,0.07000000000000001,-61428.12424159953,0.07000000000000001,-55965.0448732956,0.07000000000000001,-51366.45183330009,0.07000000000000001,-47435.77696193382,0.07000000000000001,-41070.52954196888,0.07000000000000001,-36144.61502021947,0.07000000000000001,-32224.79784179369,0.07000000000000001,-29034.69662832694,0.07000000000000001,-26389.93309773502,0.07000000000000001,-24163.00381234007,0.07000000000000001,-22263.04052953982
0.08,-131987.4762652486,0.08,-117805.8138247031,0.08,-100955.8846317313,0.08,-89729.20115561414,0.08,-80985.35381289686,0.08,-73793.67338559791,0.08,-67732.09501861906,0.08,-62546.10505522388,0.08,-54140.26754824337,0.08,-47629.88342499837,0.08,-42446.6641373481,0.08,-38227.08544338514,0.08,-34728.20844049922,0.08,-31781.82932904107,0.08,-29267.96838121691
0.09,-173347.0576689792,0.09,-154891.2613011093,0.09,-132900.5232251648,0.09,-118190.0645186916,0.09,-106700.0260300244,0.09,-97231.71301195088,0.09,-89241.00976231911,0.09,-82398.38847307177,0.09,-71297.58166528714,0.09,-62693.40881121292,0.09,-55840.24107424862,0.09,-50259.81842450974,0.09,-45631.96919922884,0.09,-41734.75126870815,0.09,-38409.717171895
0.09999999999999999,-227574.5015478814,0.09999999999999999,-203559.7633396743,0.09999999999999999,-174859.5814538381,0.09999999999999999,-155582.0829268761,0.09999999999999999,-140481.4036039541,0.09999999999999999,-128014.4067601819,0.09999999999999999,-117479.8206852816,0.09999999999999999,-108450.9915374233,0.09999999999999999,-93791.33430287191,0.09999999999999999,-82420.89808170854,0.09999999999999999,-73361.09251761982,0.09999999999999999,-65982.53789937281,0.09999999999999999,-59863.17226749626,0.09999999999999999,-54710.08148396888,0.09999999999999999,-50313.97534869432
