pch18_gm_gds (ll=3.5e-07) X,pch18_gm_gds (ll=3.5e-07) Y,pch18_gm_gds (ll=4e-07) X,pch18_gm_gds (ll=4e-07) Y,pch18_gm_gds (ll=5e-07) X,pch18_gm_gds (ll=5e-07) Y,pch18_gm_gds (ll=6e-07) X,pch18_gm_gds (ll=6e-07) Y,pch18_gm_gds (ll=7e-07) X,pch18_gm_gds (ll=7e-07) Y,pch18_gm_gds (ll=8e-07) X,pch18_gm_gds (ll=8e-07) Y,pch18_gm_gds (ll=9e-07) X,pch18_gm_gds (ll=9e-07) Y,pch18_gm_gds (ll=1e-06) X,pch18_gm_gds (ll=1e-06) Y,pch18_gm_gds (ll=1.2e-06) X,pch18_gm_gds (ll=1.2e-06) Y,pch18_gm_gds (ll=1.4e-06) X,pch18_gm_gds (ll=1.4e-06) Y,pch18_gm_gds (ll=1.6e-06) X,pch18_gm_gds (ll=1.6e-06) Y,pch18_gm_gds (ll=1.8e-06) X,pch18_gm_gds (ll=1.8e-06) Y,pch18_gm_gds (ll=2e-06) X,pch18_gm_gds (ll=2e-06) Y,pch18_gm_gds (ll=2.2e-06) X,pch18_gm_gds (ll=2.2e-06) Y,pch18_gm_gds (ll=2.4e-06) X,pch18_gm_gds (ll=2.4e-06) Y
0,240.9897499810575,0,307.7622191158806,0,388.7833106127644,0,429.4851540591121,0,455.453612755122,0,474.9282427424427,0,490.5379506720835,0,503.4324879214599,0,523.5421697550114,0,538.5077290098047,0,550.0767448353014,0,559.2860589049159,0,566.7899441160649,0,573.0215073848617,0,578.2787811333553
0.01,240.7754206492458,0.01,307.4864016263276,0.01,388.4306037548039,0.01,429.0919007483673,0.01,455.0335281861308,0.01,474.4876093016894,0.01,490.0806275592005,0.01,502.9612437038293,0.01,523.0489789057126,0.01,537.9980195945578,0.01,549.5541572724537,0.01,558.7531527722222,0.01,566.2485869214638,0.01,572.473103100755,0.01,577.7244116679934
0.02,240.5578160569748,0.02,307.206118367627,0.02,388.071671550852,0.02,428.6912713153083,0.02,454.6051983760784,0.02,474.0380182894509,0.02,489.6137446376517,0.02,502.4799229159863,0.02,522.5448717008252,0.02,537.4767421741424,0.02,549.0194823842703,0.02,558.2077363050435,0.02,565.6943685221624,0.02,571.9115421014078,0.02,577.1566333453885
0.03,240.3363897875318,0.03,306.9206287224633,0.03,387.7054898416629,0.03,428.2820588090118,0.03,454.1672793999197,0.03,473.5780139524597,0.03,489.1357518390005,0.03,501.9868947110446,0.03,522.0280863087719,0.03,536.9420335226454,0.03,548.4707762964809,0.03,557.6478000411513,0.03,565.1252251247754,0.03,571.3347148855607,0.03,576.5732977017345
0.04,240.1105100556219,0.04,306.6290761054842,0.04,387.3308738447535,0.04,427.862867061238,0.04,453.71821684756,0.04,473.1059127937245,0.04,488.6448568685914,0.04,501.4802736665187,0.04,521.4965864082977,0.04,536.3917406070095,0.04,547.9057932075949,0.04,557.0710227770061,0.04,564.5387730945139,0.04,570.7401853172518,0.04,575.9719238632028
0.05,239.87944609633,0.05,306.3304694682444,0.05,386.9464526462065,0.05,427.4320808415247,0.05,453.2562128513775,0.05,472.6197681197923,0.05,488.1389877096339,0.05,500.9578805736411,0.05,520.9480192670702,0.05,535.8233766277247,0.05,547.3219398472086,0.05,556.4747247646407,0.05,563.9322611247485,0.05,570.1251419435652,0.05,575.3496491467681
0.06,239.6423525189201,0.06,306.0236620560264,0.06,386.5506399802395,0.06,426.9878317747922,0.06,452.7791885414774,0.06,472.1173297762009,0.06,487.6157501354593,0.06,500.4171980963325,0.06,520.3796684959108,0.06,535.2340716115017,0.06,546.7162244044511,0.06,555.8558153232557,0.06,563.3025167828043,0.06,569.4863436616274,0.06,574.7031739909349
0.07000000000000001,239.3982513916318,0.07000000000000001,305.7073271118473,0.07000000000000001,386.1416009237398,0.07000000000000001,426.5279596446926,0.07000000000000001,452.2847415724837,0.07000000000000001,471.5959987448486,0.07000000000000001,487.0723799372878,0.07000000000000001,499.8553210417805,0.07000000000000001,519.788401288742,0.07000000000000001,534.6205174282493,0.07000000000000001,546.0851998548167,0.07000000000000001,555.2107348430952,0.07000000000000001,562.6458874533654,0.07000000000000001,568.8200597947994,0.07000000000000001,574.0287013109406
0.08,239.1460118258862,0.08,305.379930232243,0.08,385.7172141664935,0.08,426.0499687701349,0.08,451.7700984608629,0.08,471.0527764021637,0.08,486.5056897280695,0.08,499.2689011641389,0.08,519.1706101834648,0.08,533.9789073690729,0.08,545.4249019109346,0.08,554.5353914847798,0.08,561.9581760505108,0.08,568.1220050090546,0.08,573.3218707621055
0.09,238.8843268451415,0.09,305.0396981114997,0.09,385.275029590292,0.09,425.5509792601862,0.09,451.2320616349018,0.09,470.4842084426943,0.09,485.9120104286217,0.09,498.6540867049385,0.09,518.5221497261199,0.09,533.304870823139,0.09,544.730782269589,0.09,553.8250933631404,0.09,561.2345723888666,0.09,567.387270048533,0.09,572.5776889685501
0.09999999999999999,238.6116873622009,0.09999999999999999,304.6845834755285,0.09999999999999999,384.8122210176831,0.09999999999999999,425.0276731467239,0.09999999999999999,450.666951357416,0.09999999999999999,469.8863237908523,0.09999999999999999,485.2871279156056,0.09999999999999999,498.0064572979837,0.09999999999999999,517.8382689331073,0.09999999999999999,532.5934041777936,0.09999999999999999,543.9976384763214,0.09999999999999999,553.0744777059131,0.09999999999999999,560.4695818508675,0.09999999999999999,566.6102500550522,0.09999999999999999,571.7904575938991
0.11,238.326353158102,0.11,304.312226117772,0.11,384.3255341957689,0.11,424.4762356926493,0.11,450.0705430686744,0.11,469.2545692931736,0.11,484.62621585618,0.11,497.3209554808016,0.11,517.113541180639,0.11,531.8387999000752,0.11,543.2195426456888,0.11,552.277439465298,0.11,559.6569540346281,0.11,565.784573335747,0.11,570.953702275532
