nch18_Cdd_Cgg (ll=2e-07) X,nch18_Cdd_Cgg (ll=2e-07) Y,nch18_Cdd_Cgg (ll=3e-07) X,nch18_Cdd_Cgg (ll=3e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0,0.3209140925998479,0,0.262024509712564,0,0.2214227060168397,0,0.1917204354431457,0,0.1691085964442431,0,0.1512655946977346,0,0.1368268073846535,0,0.1249030502200479,0,0.1148900110107875,0,0.09901311521407453,0,0.08698791546054474,0,0.07756605810205805,0,0.06998501516545556,0,0.06375347614531038,0,0.05854064391714178,0,0.0541156480356491
0.01,0.3213445314719167,0.01,0.262640109977881,0.01,0.222093160456517,0.01,0.1923949616083499,0.01,0.1697639014298887,0.01,0.1518941137736427,0.01,0.1374262079760205,0.01,0.1254734141470563,0.01,0.1154325204115812,0.01,0.09950499429975027,0.01,0.08743519816882371,0.01,0.07797553397630322,0.01,0.07036222978881061,0.01,0.06410293603609507,0.01,0.05886602560346058,0.01,0.05441997308183999
0.02,0.3217752926426157,0.02,0.2632501507941559,0.02,0.2227559300406034,0.02,0.1930611626308047,0.02,0.1704109087014797,0.02,0.1525146207014947,0.02,0.1380179803675789,0.02,0.1260365602800349,0.02,0.115968216135496,0.02,0.09999080026171316,0.02,0.08787712084596218,0.02,0.07838022874137458,0.02,0.07073513678321233,0.02,0.06444848024163871,0.02,0.0591878202169276,0.02,0.05472098993066041
0.03,0.3222187015984186,0.03,0.2638550462424904,0.03,0.2234113304369184,0.03,0.193719290409586,0.03,0.171049843786513,0.03,0.1531273197077599,0.03,0.1386023109954096,0.03,0.1265926599003702,0.03,0.1164972563749382,0.03,0.1004706698034865,0.03,0.08831380594318362,0.03,0.07878024783779754,0.03,0.07110382505775766,0.03,0.06479018270174872,0.03,0.05950608853982858,0.03,0.05501874795135413
0.04,0.3226963391345046,0.04,0.2644722124654225,0.04,0.2240596481280933,0.04,0.1943695858797641,0.04,0.1716809300760253,0.04,0.1537324168410402,0.04,0.1391793895877719,0.04,0.127141887756226,0.04,0.1170198022925733,0.04,0.1009447407920745,0.04,0.08874536954968372,0.04,0.07917568448971467,0.04,0.07146836682129563,0.04,0.06512809722823644,0.04,0.05982086860499924,0.04,0.0553132717608457
0.05,0.3231750621567669,0.05,0.2651205755043526,0.05,0.2247526594108883,0.05,0.1950520277736515,0.05,0.1723429547438953,0.05,0.1543671055374398,0.05,0.1397846946420868,0.05,0.1277180176073832,0.05,0.1175679935162509,0.05,0.1014421808586712,0.05,0.08919994212588114,0.05,0.07959336972725803,0.05,0.07185423700855305,0.05,0.06548637672703186,0.05,0.06015506377037669,0.05,0.05562630140609015
0.06,0.3236551537062529,0.06,0.2657641759733526,0.06,0.2254416494630916,0.06,0.1957405299466812,0.06,0.1730101830841402,0.06,0.1550064316615072,0.06,0.1403942304863749,0.06,0.1282980667594906,0.06,0.1181198534025325,0.06,0.1019429007183595,0.06,0.08965601045145735,0.06,0.08001140361684232,0.06,0.07223969255177416,0.06,0.06584372133072598,0.06,0.06048796379248008,0.06,0.05593778431382872
0.07000000000000001,0.3241368033575141,0.07000000000000001,0.2664032420229305,0.07000000000000001,0.2261238844288602,0.07000000000000001,0.1964215705111726,0.07000000000000001,0.1736699813726437,0.07000000000000001,0.1556385847545344,0.07000000000000001,0.1409969333254161,0.07000000000000001,0.128871643136435,0.07000000000000001,0.1186655930020464,0.07000000000000001,0.1024381420035306,0.07000000000000001,0.09010717246465876,0.07000000000000001,0.08042496963745083,0.07000000000000001,0.07262102759040795,0.07000000000000001,0.066197228635581,0.07000000000000001,0.06081726301791525,0.07000000000000001,0.05624586790777646
0.08,0.3246201147110376,0.08,0.2670379520390852,0.08,0.2267995594447889,0.08,0.1970953357443184,0.08,0.174322514909551,0.08,0.1562637013195451,0.08,0.1415929096094566,0.08,0.1294388245395668,0.08,0.1192052638633513,0.08,0.1029279116754512,0.08,0.09055336265328429,0.08,0.08083394237418444,0.08,0.07299806851203285,0.08,0.06654668669707293,0.08,0.06114271921175998,0.08,0.05655028614201378
0.09,0.3251051110509488,0.09,0.267668431984344,0.09,0.2274688242689898,0.09,0.1977619662414689,0.09,0.1749678926731844,0.09,0.156881851759272,0.09,0.1421821911690551,0.09,0.1299996068979523,0.09,0.1197388295644699,0.09,0.1034121194267414,0.09,0.09099439865706765,0.09,0.08123806541171062,0.09,0.07337050051355203,0.09,0.06689173514222342,0.09,0.06146393670013463,0.09,0.05685061621544999
