nch18_Cgd_Cgg (ll=2e-07) X,nch18_Cgd_Cgg (ll=2e-07) Y,nch18_Cgd_Cgg (ll=3e-07) X,nch18_Cgd_Cgg (ll=3e-07) Y,nch18_Cgd_Cgg (ll=4e-07) X,nch18_Cgd_Cgg (ll=4e-07) Y,nch18_Cgd_Cgg (ll=5e-07) X,nch18_Cgd_Cgg (ll=5e-07) Y,nch18_Cgd_Cgg (ll=6e-07) X,nch18_Cgd_Cgg (ll=6e-07) Y,nch18_Cgd_Cgg (ll=7e-07) X,nch18_Cgd_Cgg (ll=7e-07) Y,nch18_Cgd_Cgg (ll=8e-07) X,nch18_Cgd_Cgg (ll=8e-07) Y,nch18_Cgd_Cgg (ll=9e-07) X,nch18_Cgd_Cgg (ll=9e-07) Y,nch18_Cgd_Cgg (ll=1e-06) X,nch18_Cgd_Cgg (ll=1e-06) Y,nch18_Cgd_Cgg (ll=1.2e-06) X,nch18_Cgd_Cgg (ll=1.2e-06) Y,nch18_Cgd_Cgg (ll=1.4e-06) X,nch18_Cgd_Cgg (ll=1.4e-06) Y,nch18_Cgd_Cgg (ll=1.6e-06) X,nch18_Cgd_Cgg (ll=1.6e-06) Y,nch18_Cgd_Cgg (ll=1.8e-06) X,nch18_Cgd_Cgg (ll=1.8e-06) Y,nch18_Cgd_Cgg (ll=2e-06) X,nch18_Cgd_Cgg (ll=2e-06) Y,nch18_Cgd_Cgg (ll=2.2e-06) X,nch18_Cgd_Cgg (ll=2.2e-06) Y,nch18_Cgd_Cgg (ll=2.4e-06) X,nch18_Cgd_Cgg (ll=2.4e-06) Y
0,-0.3209072744893589,0,-0.2620237100227361,0,-0.2214224863732672,0,-0.1917202341530424,0,-0.1691083570097709,0,-0.1512653183783456,0,-0.1368264982614642,0,-0.124902711929679,0,-0.1148896466250418,0,-0.09901270605997665,0,-0.08698743510285135,0,-0.07756551617855675,0,-0.06998441965172492,0,-0.06375283363667737,0,-0.05853995989740732,0,-0.05411492709929944
0.01,-0.3213368108640182,0.01,-0.2626392048733615,0.01,-0.2220929102165596,0.01,-0.1923947315774345,0.01,-0.169763628192503,0.01,-0.151893798845033,0.01,-0.1374258560140251,0.01,-0.1254730292883922,0.01,-0.115432106144287,0.01,-0.09950452962913071,0.01,-0.08743465422201011,0.01,-0.07797492162744366,0.01,-0.07036155798969819,0.01,-0.06410221216329656,0.01,-0.05886525577483843,0.01,-0.05441916241335685
0.02,-0.3217665726006773,0.02,-0.2632491289466202,0.02,-0.2227556454164439,0.02,-0.1930609001142082,0.02,-0.1704105973231401,0.02,-0.1525142622819646,0.02,-0.1380175802135932,0.02,-0.1260361230884237,0.02,-0.1159677458594533,0.02,-0.09999027333658893,0.02,-0.08787650580977198,0.02,-0.07837953783073705,0.02,-0.07073438002162788,0.02,-0.06444766586134706,0.02,-0.05918695502923429,0.02,-0.05472007962128569
0.03,-0.322208879348521,0.03,-0.2638538956333462,0.03,-0.2234110072653664,0.03,-0.1937189912478485,0.03,-0.1710494894568547,0.03,-0.1531269123933336,0.03,-0.1386018567309059,0.03,-0.1265921640081866,0.03,-0.116496723326707,0.03,-0.100470073193213,0.03,-0.08831311156360096,0.03,-0.07877946942235249,0.03,-0.07110297380362741,0.03,-0.06478926777654191,0.03,-0.05950511751204492,0.03,-0.05501772712843604
0.04,-0.3226853065495355,0.04,-0.2644709203467924,0.04,-0.2240592818459495,0.04,-0.1943692454637082,0.04,-0.1716805274720622,0.04,-0.1537319546607501,0.04,-0.1391788746801016,0.04,-0.1271413261403316,0.04,-0.117019199016441,0.04,-0.1009440663110303,0.04,-0.08874458674914314,0.04,-0.07917480874306071,0.04,-0.07146741060839058,0.04,-0.06512707073756403,0.04,-0.05981978023087929,0.04,-0.05531212848854742
0.05,-0.3231627080268315,0.05,-0.2651191284501691,0.05,-0.2247522449441536,0.05,-0.1950516409340229,0.05,-0.1723424978914009,0.05,-0.154366581787265,0.05,-0.1397841117528366,0.05,-0.1277173823738214,0.05,-0.117567311627083,0.05,-0.101441419290288,0.05,-0.08919906066250606,0.05,-0.07959238553953586,0.05,-0.07185316398053755,0.05,-0.06548522616446981,0.05,-0.06015384497147849,0.05,-0.05562502209825831
0.06,-0.3236413634368867,0.06,-0.2657625601865454,0.06,-0.2254411813658843,0.06,-0.1957400910333927,0.06,-0.1730096654652392,0.06,-0.1550058390409392,0.06,-0.1403935716349504,0.06,-0.128297349331956,0.06,-0.1181190837971042,0.06,-0.1019420420667735,0.06,-0.08965501926829283,0.06,-0.08001029903471668,0.06,-0.07223848998545879,0.06,-0.06584243330321406,0.06,-0.06048660058662986,0.06,-0.05593635446556084
0.07000000000000001,-0.3241214597187851,0.07000000000000001,-0.2664014432048892,0.07000000000000001,-0.2261233567760124,0.07000000000000001,-0.1964210733284796,0.07000000000000001,-0.1736693958455572,0.07000000000000001,-0.1556379152715875,0.07000000000000001,-0.1409961897802339,0.07000000000000001,-0.1288708341345998,0.07000000000000001,-0.1186647257254189,0.07000000000000001,-0.1024371753385525,0.07000000000000001,-0.09010605946541009,0.07000000000000001,-0.08042373157370729,0.07000000000000001,-0.07261968154355124,0.07000000000000001,-0.06619578845409055,0.07000000000000001,-0.06081574005729045,0.07000000000000001,-0.05624427158517695
0.08,-0.324603098525039,0.08,-0.2670359554191041,0.08,-0.2267989657891315,0.08,-0.1970947734754962,0.08,-0.1743218536172073,0.08,-0.156262946184174,0.08,-0.141592071767305,0.08,-0.129437913645486,0.08,-0.1192042879633313,0.08,-0.1029268249657805,0.08,-0.0905521145222231,0.08,-0.08083255641716951,0.08,-0.07299656362433198,0.08,-0.06654507817061818,0.08,-0.06114101957102358,0.08,-0.05654850576529829
0.09,-0.3250863017413779,0.09,-0.2676662223280737,0.09,-0.2274681575964149,0.09,-0.1977613313911634,0.09,-0.1749671469737425,0.09,-0.15688100130286,0.09,-0.1421812484643301,0.09,-0.1299985827557999,0.09,-0.1197377329825434,0.09,-0.1034108994151314,0.09,-0.09099300071521238,0.09,-0.08123651566455053,0.09,-0.07336881983069178,0.09,-0.06688994038829824,0.09,-0.0614620416746073,0.09,-0.05684863234602078
