nch18_Id_W  (ll=2e-07) X,nch18_Id_W  (ll=2e-07) Y,nch18_Id_W  (ll=3e-07) X,nch18_Id_W  (ll=3e-07) Y,nch18_Id_W  (ll=4e-07) X,nch18_Id_W  (ll=4e-07) Y,nch18_Id_W  (ll=5e-07) X,nch18_Id_W  (ll=5e-07) Y,nch18_Id_W  (ll=6e-07) X,nch18_Id_W  (ll=6e-07) Y,nch18_Id_W  (ll=7e-07) X,nch18_Id_W  (ll=7e-07) Y,nch18_Id_W  (ll=8e-07) X,nch18_Id_W  (ll=8e-07) Y,nch18_Id_W  (ll=9e-07) X,nch18_Id_W  (ll=9e-07) Y,nch18_Id_W  (ll=1e-06) X,nch18_Id_W  (ll=1e-06) Y,nch18_Id_W  (ll=1.2e-06) X,nch18_Id_W  (ll=1.2e-06) Y,nch18_Id_W  (ll=1.4e-06) X,nch18_Id_W  (ll=1.4e-06) Y,nch18_Id_W  (ll=1.6e-06) X,nch18_Id_W  (ll=1.6e-06) Y,nch18_Id_W  (ll=1.8e-06) X,nch18_Id_W  (ll=1.8e-06) Y,nch18_Id_W  (ll=2e-06) X,nch18_Id_W  (ll=2e-06) Y,nch18_Id_W  (ll=2.2e-06) X,nch18_Id_W  (ll=2.2e-06) Y,nch18_Id_W  (ll=2.4e-06) X,nch18_Id_W  (ll=2.4e-06) Y
0,6.508624009910532e-06,0,4.003181285188128e-06,0,3.482337869567142e-06,0,3.221737342314803e-06,0,3.31289449036886e-06,0,3.353052177346293e-06,0,3.36216532350636e-06,0,3.351636131947506e-06,0,3.328323373029968e-06,0,3.259128626759498e-06,0,3.346429354385844e-06,0,3.373606288413887e-06,0,3.363862254665643e-06,0,3.331054996546628e-06,0,3.283792614656669e-06,0,3.2275893280647e-06
0.01,8.655847215728568e-06,0.01,5.311031026535102e-06,0.01,4.615528489425917e-06,0.01,4.267790094565852e-06,0.01,4.380544299956876e-06,0.01,4.428100613162966e-06,0.01,4.436072532358211e-06,0.01,4.419076387522426e-06,0.01,4.385891318900735e-06,0.01,4.291118610925606e-06,0.01,4.39000430302565e-06,0.01,4.413912913467041e-06,0.01,4.392265226395333e-06,0.01,4.342491669394297e-06,0.01,4.275346134593055e-06,0.01,4.197674111973932e-06
0.02,1.15129823954532e-05,0.02,7.047780764220531e-06,0.02,6.119082795215057e-06,0.02,5.655078732869311e-06,0.02,5.793799880133769e-06,0.02,5.849313944287729e-06,0.02,5.854443634044834e-06,0.02,5.827896739004052e-06,0.02,5.780893523033268e-06,0.02,5.651242699198542e-06,0.02,5.760287007622944e-06,0.02,5.776225137325914e-06,0.02,5.736237661474544e-06,0.02,5.662171579980734e-06,0.02,5.56741045381717e-06,0.02,5.460416946285262e-06
0.03,1.531447424591815e-05,0.03,9.353958108421009e-06,0.03,8.113922315516704e-06,0.03,7.494790139867719e-06,0.03,7.664389365522553e-06,0.03,7.727995533481629e-06,0.03,7.727594716270297e-06,0.03,7.687091676681625e-06,0.03,7.620803113921098e-06,0.03,7.443632864065362e-06,0.03,7.559342769441394e-06,0.03,7.559988466573656e-06,0.03,7.492382758361319e-06,0.03,7.383800258673284e-06,0.03,7.250825797718881e-06,0.03,7.10387148538804e-06
0.04,2.037019430788021e-05,0.04,1.241597871261944e-05,0.04,1.076038196375604e-05,0.04,9.934271453010864e-06,0.04,1.014008308087442e-05,0.04,1.02111516483768e-05,0.04,1.020108045040129e-05,0.04,1.014035964171996e-05,0.04,1.004722427190434e-05,0.04,9.805361993102572e-06,0.04,9.921012933211621e-06,0.04,9.895247665476224e-06,0.04,9.78676190808237e-06,0.04,9.62945455352355e-06,0.04,9.443777022507562e-06,0.04,9.242469893721559e-06
0.05,2.7091806654788e-05,0.05,1.64796253582554e-05,0.05,1.427015222347536e-05,0.05,1.316825885458472e-05,0.05,1.341576913302109e-05,0.05,1.349238203212605e-05,0.05,1.346638365517209e-05,0.05,1.337658486909803e-05,0.05,1.324616497279891e-05,0.05,1.291630542798959e-05,0.05,1.302018710220653e-05,0.05,1.29514010385113e-05,0.05,1.278319106426279e-05,0.05,1.255747098314143e-05,0.05,1.229931563956324e-05,0.05,1.202421370761016e-05
0.06,3.602630684720903e-05,0.06,2.187083310796565e-05,0.06,1.892270439402482e-05,0.06,1.74532526694e-05,0.06,1.774762349918557e-05,0.06,1.782580742533341e-05,0.06,1.777458140604095e-05,0.06,1.764323443743428e-05,0.06,1.746116383304403e-05,0.06,1.701173756767619e-05,0.06,1.708480078373409e-05,0.06,1.694866241770103e-05,0.06,1.669421773173109e-05,0.06,1.63729797544042e-05,0.06,1.601548666195345e-05,0.06,1.564042457851204e-05
0.07000000000000001,4.789951617666073e-05,0.07000000000000001,2.902163229225991e-05,0.07000000000000001,2.508859897722783e-05,0.07000000000000001,2.312926432953571e-05,0.07000000000000001,2.347454083179171e-05,0.07000000000000001,2.354712850543745e-05,0.07000000000000001,2.345700456482761e-05,0.07000000000000001,2.326660760045778e-05,0.07000000000000001,2.301312812918733e-05,0.07000000000000001,2.240136401890627e-05,0.07000000000000001,2.24137571158212e-05,0.07000000000000001,2.217499969838322e-05,0.07000000000000001,2.179718551948811e-05,0.07000000000000001,2.134318746738682e-05,0.07000000000000001,2.084990728002106e-05,0.07000000000000001,2.033968509812471e-05
0.08,6.367420788403685e-05,0.08,3.850395899933064e-05,0.08,3.325792085059036e-05,0.08,3.06457562369624e-05,0.08,3.104356443295037e-05,0.08,3.10985217383348e-05,0.08,3.094959249493355e-05,0.08,3.067565350671073e-05,0.08,3.032362498839548e-05,0.08,2.949160305437927e-05,0.08,2.939776158483245e-05,0.08,2.900574827529857e-05,0.08,2.845279311255454e-05,0.08,2.781501007138667e-05,0.08,2.713657597537123e-05,0.08,2.644390747846685e-05
0.09,8.462697315889564e-05,0.09,5.107465828743926e-05,0.09,4.407854488434456e-05,0.09,4.059651714328508e-05,0.09,4.104402432576257e-05,0.09,4.106202325850388e-05,0.09,4.082552291635359e-05,0.09,4.043385897370832e-05,0.09,3.99460456450626e-05,0.09,3.881537019376889e-05,0.09,3.854712871793482e-05,0.09,3.792974872167892e-05,0.09,3.712979261688508e-05,0.09,3.623850929481911e-05,0.09,3.530818837565461e-05,0.09,3.436964423722088e-05
