nch18_Vdsat  (ll=2e-07) X,nch18_Vdsat  (ll=2e-07) Y,nch18_Vdsat  (ll=3e-07) X,nch18_Vdsat  (ll=3e-07) Y,nch18_Vdsat  (ll=4e-07) X,nch18_Vdsat  (ll=4e-07) Y,nch18_Vdsat  (ll=5e-07) X,nch18_Vdsat  (ll=5e-07) Y,nch18_Vdsat  (ll=6e-07) X,nch18_Vdsat  (ll=6e-07) Y,nch18_Vdsat  (ll=7e-07) X,nch18_Vdsat  (ll=7e-07) Y,nch18_Vdsat  (ll=8e-07) X,nch18_Vdsat  (ll=8e-07) Y,nch18_Vdsat  (ll=9e-07) X,nch18_Vdsat  (ll=9e-07) Y,nch18_Vdsat  (ll=1e-06) X,nch18_Vdsat  (ll=1e-06) Y,nch18_Vdsat  (ll=1.2e-06) X,nch18_Vdsat  (ll=1.2e-06) Y,nch18_Vdsat  (ll=1.4e-06) X,nch18_Vdsat  (ll=1.4e-06) Y,nch18_Vdsat  (ll=1.6e-06) X,nch18_Vdsat  (ll=1.6e-06) Y,nch18_Vdsat  (ll=1.8e-06) X,nch18_Vdsat  (ll=1.8e-06) Y,nch18_Vdsat  (ll=2e-06) X,nch18_Vdsat  (ll=2e-06) Y,nch18_Vdsat  (ll=2.2e-06) X,nch18_Vdsat  (ll=2.2e-06) Y,nch18_Vdsat  (ll=2.4e-06) X,nch18_Vdsat  (ll=2.4e-06) Y
0,0.04210701242194399,0,0.04285138094060354,0,0.04296851545022681,0,0.04296543404454094,0,0.04293512004001779,0,0.0428990220366824,0,0.04286432621364918,0,0.04283296205555016,0,0.04280519242948919,0,0.04275923546692643,0,0.04223368503435329,0,0.04183886701307975,0,0.04153154108809838,0,0.04128560087481595,0,0.04108436675365019,0,0.04091668963600874
0.01,0.04210703391366369,0.01,0.04285140844985909,0.01,0.04296855230092204,0.01,0.04296548023308157,0.01,0.04293518012407622,0.01,0.04289909554040237,0.01,0.04286441259245834,0.01,0.04283306075256988,0.01,0.04280530289862988,0.01,0.0427593679311218,0.01,0.04223384385778561,0.01,0.041839050068529,0.01,0.04153174644354112,0.01,0.04128582679342786,0.01,0.04108461167845471,0.01,0.0409169521712155
0.02,0.04210706251090534,0.02,0.04285144498049826,0.02,0.04296860119549246,0.02,0.04296554148877767,0.02,0.0429352596575172,0.02,0.04289919271185277,0.02,0.04286452667745407,0.02,0.04283319101331152,0.02,0.04280544861392073,0.02,0.04275954251272511,0.02,0.04223405240169939,0.02,0.0418392897826214,0.02,0.04153201481010344,0.02,0.04128612155908756,0.02,0.04108493082853807,0.02,0.04091729390392543
0.03,0.04210710056021003,0.03,0.04285149348835742,0.03,0.04296866606616723,0.03,0.04296562272096311,0.03,0.04293536492776426,0.03,0.04289932116081071,0.03,0.04286467734126474,0.03,0.04283336291489831,0.03,0.04280564080080173,0.03,0.04275977257677467,0.03,0.04223432619782492,0.03,0.04183960365187107,0.03,0.04153236547525627,0.03,0.04128650609846573,0.03,0.04108534663866987,0.03,0.04091773865961378
0.04,0.04210715116303099,0.04,0.04285155789436774,0.04,0.04296875212676502,0.04,0.04296573043546373,0.04,0.04293550425045548,0.04,0.04289949093770507,0.04,0.04286487629047357,0.04,0.04283358974272548,0.04,0.04280589424889901,0.04,0.04276007571523292,0.04,0.04223468561253178,0.04,0.04184001455505219,0.04,0.04153282360571689,0.04,0.0412870076727682,0.04,0.04108588829385941,0.04,0.04091831739842321
0.05,0.04210721843963074,0.05,0.04285164336811093,0.05,0.04296886626097229,0.05,0.04296587323030676,0.05,0.04293568859236143,0.05,0.04289971527807433,0.05,0.04286513892498808,0.05,0.04283388895891811,0.05,0.04280622838502629,0.05,0.04276047501257891,0.05,0.04223515725669089,0.05,0.04184055229243893,0.05,0.04153342190368577,0.05,0.04128766163781203,0.05,0.04108659358675743,0.05,0.04091907015922945
0.06,0.04210730786468329,0.06,0.04285175676496208,0.06,0.04296901755640387,0.06,0.04296606243035402,0.06,0.04293593236868187,0.06,0.04290001155445463,0.06,0.04286548543691245,0.06,0.04283428344040404,0.06,0.04280666864304785,0.06,0.04276100066081846,0.06,0.04223577581003356,0.06,0.04184125560025568,0.06,0.04153420279517631,0.06,0.04128851379232779,0.06,0.04108751141389032,0.06,0.04092004869401148
0.07000000000000001,0.04210742670257829,0.07000000000000001,0.04285190717154035,0.07000000000000001,0.04296921806235299,0.07000000000000001,0.04296631304708615,0.07000000000000001,0.04293625464857229,0.07000000000000001,0.04290040271540512,0.07000000000000001,0.04286594247080475,0.07000000000000001,0.04283480334998917,0.07000000000000001,0.04280724853450533,0.07000000000000001,0.04276169240008588,0.07000000000000001,0.04223658674530079,0.07000000000000001,0.04184217512697756,0.07000000000000001,0.0415352216323979,0.07000000000000001,0.04128962378686577,0.07000000000000001,0.04108870536991564,0.07000000000000001,0.04092132023159705
0.08,0.04210758458903321,0.08,0.04285210661683321,0.08,0.04296948371410667,0.08,0.04296664492348116,0.08,0.042936680585166,0.08,0.04290091898620084,0.08,0.04286654508106524,0.08,0.04283548833589511,0.08,0.0428080120785563,0.08,0.04276260237494005,0.08,0.04223764949337562,0.08,0.04184337687775761,0.08,0.04153655039218953,0.08,0.04129106905148874,0.08,0.04109025788878088,0.08,0.04092297181506406
0.09,0.04210779430022386,0.09,0.04285237101824061,0.09,0.04296983557663881,0.09,0.04296708427294002,0.09,0.04293724333530596,0.09,0.04290160014915012,0.09,0.04286733935323953,0.09,0.04283639047631996,0.09,0.04280901705208403,0.09,0.0427637989494263,0.09,0.04223904166573816,0.09,0.04184494680108372,0.09,0.04153828259184482,0.09,0.04129295001374163,0.09,0.04109227573574986,0.09,0.04092511604564004
