nch18_Vgs_Vth  (ll=2e-07) X,nch18_Vgs_Vth  (ll=2e-07) Y,nch18_Vgs_Vth  (ll=3e-07) X,nch18_Vgs_Vth  (ll=3e-07) Y,nch18_Vgs_Vth  (ll=4e-07) X,nch18_Vgs_Vth  (ll=4e-07) Y,nch18_Vgs_Vth  (ll=5e-07) X,nch18_Vgs_Vth  (ll=5e-07) Y,nch18_Vgs_Vth  (ll=6e-07) X,nch18_Vgs_Vth  (ll=6e-07) Y,nch18_Vgs_Vth  (ll=7e-07) X,nch18_Vgs_Vth  (ll=7e-07) Y,nch18_Vgs_Vth  (ll=8e-07) X,nch18_Vgs_Vth  (ll=8e-07) Y,nch18_Vgs_Vth  (ll=9e-07) X,nch18_Vgs_Vth  (ll=9e-07) Y,nch18_Vgs_Vth  (ll=1e-06) X,nch18_Vgs_Vth  (ll=1e-06) Y,nch18_Vgs_Vth  (ll=1.2e-06) X,nch18_Vgs_Vth  (ll=1.2e-06) Y,nch18_Vgs_Vth  (ll=1.4e-06) X,nch18_Vgs_Vth  (ll=1.4e-06) Y,nch18_Vgs_Vth  (ll=1.6e-06) X,nch18_Vgs_Vth  (ll=1.6e-06) Y,nch18_Vgs_Vth  (ll=1.8e-06) X,nch18_Vgs_Vth  (ll=1.8e-06) Y,nch18_Vgs_Vth  (ll=2e-06) X,nch18_Vgs_Vth  (ll=2e-06) Y,nch18_Vgs_Vth  (ll=2.2e-06) X,nch18_Vgs_Vth  (ll=2.2e-06) Y,nch18_Vgs_Vth  (ll=2.4e-06) X,nch18_Vgs_Vth  (ll=2.4e-06) Y
0,-0.5437530930247454,0,-0.5381138654983226,0,-0.5288379600599998,0,-0.521348018306979,0,-0.5144140263507734,0,-0.5088099327760232,0,-0.5041541619846392,0,-0.5002024553654012,0,-0.4967913790689039,0,-0.4911669324818994,0,-0.4867458255234637,0,-0.4830495168814187,0,-0.4799085265978096,0,-0.4772028776999309,0,-0.4748453435628728,0,-0.4727709442352111
0.01,-0.533753093081806,0.01,-0.5281138655321667,0.01,-0.5188379600891435,0.01,-0.5113480183337905,0.01,-0.504414026378142,0.01,-0.4988099328035851,0.01,-0.4941541620121761,0.01,-0.4902024553927818,0.01,-0.4867913790960392,0.01,-0.4811669325083977,0.01,-0.476745825550337,0.01,-0.4730495169082694,0.01,-0.469908526624404,0.01,-0.4672028777261286,0.01,-0.4648453435885893,0.01,-0.4627709442603999
0.02,-0.5237530931577339,0.02,-0.5181138655771076,0.02,-0.5088379601278119,0.02,-0.5013480183693483,0.02,-0.494414026414368,0.02,-0.4888099328400194,0.02,-0.4841541620485481,0.02,-0.4802024554289179,0.02,-0.4767913791318329,0.02,-0.4711669325433238,0.02,-0.466745825585623,0.02,-0.4630495169434316,0.02,-0.459908526659158,0.02,-0.4572028777603092,0.02,-0.4548453436221006,0.02,-0.4527709442931883
0.03,-0.5137530932587566,0.03,-0.5081138656367843,0.03,-0.4988379601791151,0.03,-0.4913480184165029,0.03,-0.4844140264623186,0.03,-0.4788099328881836,0.03,-0.4741541620965801,0.03,-0.4702024554766057,0.03,-0.4667913791790435,0.03,-0.4611669325893475,0.03,-0.456745825631952,0.03,-0.4530495169894722,0.03,-0.4499085267045722,0.03,-0.4472028778049008,0.03,-0.4448453436657608,0.03,-0.4427709443358641
0.04,-0.5037530933931105,0.04,-0.4981138657160217,0.04,-0.4888379602471764,0.04,-0.4813480184790297,0.04,-0.4744140265257783,0.04,-0.4688099329518434,0.04,-0.4641541621600053,0.04,-0.4602024555395328,0.04,-0.4567913792413026,0.04,-0.4511669326499918,0.04,-0.4467458256927687,0.04,-0.4430495170497469,0.04,-0.439908526763904,0.04,-0.4372028778630654,0.04,-0.4348453437226371,0.04,-0.4327709443913958
0.05,-0.493753093571735,0.05,-0.4881138658211769,0.05,-0.4788379603374406,0.05,-0.4713480185619203,0.05,-0.4644140266097465,0.05,-0.4588099330359643,0.05,-0.4541541622437358,0.05,-0.450202455622542,0.05,-0.4467913793233832,0.05,-0.4411669327298731,0.05,-0.4367458257725759,0.05,-0.4330495171286276,0.05,-0.429908526841391,0.05,-0.427202877938903,0.05,-0.4248453437966987,0.05,-0.4227709444636277
0.06,-0.4837530938091649,0.06,-0.4781138659606838,0.06,-0.4688379604570946,0.06,-0.4613480186717515,0.06,-0.4544140267207857,0.06,-0.4488099331470592,0.06,-0.4441541623542094,0.06,-0.4402024557319821,0.06,-0.4367913794315353,0.06,-0.4311669328350335,0.06,-0.4267458258772454,0.06,-0.423049517231801,0.06,-0.4199085269425279,0.06,-0.4172028780377271,0.06,-0.4148453438930811,0.06,-0.4127709445575284
0.07000000000000001,-0.4737530941246915,0.07000000000000001,-0.4681138661457251,0.07000000000000001,-0.4588379606156704,0.07000000000000001,-0.4513480188172345,0.07000000000000001,-0.4444140268675863,0.07000000000000001,-0.438809933293735,0.07000000000000001,-0.4341541624999203,0.07000000000000001,-0.4302024558762216,0.07000000000000001,-0.4267913795739917,0.07000000000000001,-0.4211669329734271,0.07000000000000001,-0.4167458260144739,0.07000000000000001,-0.413049517366697,0.07000000000000001,-0.4099085270744892,0.07000000000000001,-0.4072028781664596,0.07000000000000001,-0.4048453440184669,0.07000000000000001,-0.4027709446795519
0.08,-0.4637530945438966,0.08,-0.4581138663911004,0.08,-0.4488379608257684,0.08,-0.4413480190098907,0.08,-0.4344140270616073,0.08,-0.4288099334873292,0.08,-0.4241541626920491,0.08,-0.4202024560662641,0.08,-0.416791379761571,0.08,-0.4111669331554862,0.08,-0.4067458261943225,0.08,-0.403049517543002,0.08,-0.3999085272466,0.08,-0.3972028783340847,0.08,-0.3948453441815172,0.08,-0.392770944838057
0.09,-0.453753095100708,0.09,-0.4481138667163915,0.09,-0.4388379611040534,0.09,-0.4313480192649407,0.09,-0.4244140273179532,0.09,-0.4188099337427599,0.09,-0.4141541629452923,0.09,-0.4102024563165637,0.09,-0.4067913800084711,0.09,-0.401166933394899,0.09,-0.3967458264299312,0.09,-0.3930495177733371,0.09,-0.3899085274709837,0.09,-0.3872028785522595,0.09,-0.3848453443934561,0.09,-0.3827709450438609
