nch18_ft  (ll=2e-07) X,nch18_ft  (ll=2e-07) Y,nch18_ft  (ll=3e-07) X,nch18_ft  (ll=3e-07) Y,nch18_ft  (ll=4e-07) X,nch18_ft  (ll=4e-07) Y,nch18_ft  (ll=5e-07) X,nch18_ft  (ll=5e-07) Y,nch18_ft  (ll=6e-07) X,nch18_ft  (ll=6e-07) Y,nch18_ft  (ll=7e-07) X,nch18_ft  (ll=7e-07) Y,nch18_ft  (ll=8e-07) X,nch18_ft  (ll=8e-07) Y,nch18_ft  (ll=9e-07) X,nch18_ft  (ll=9e-07) Y,nch18_ft  (ll=1e-06) X,nch18_ft  (ll=1e-06) Y,nch18_ft  (ll=1.2e-06) X,nch18_ft  (ll=1.2e-06) Y,nch18_ft  (ll=1.4e-06) X,nch18_ft  (ll=1.4e-06) Y,nch18_ft  (ll=1.6e-06) X,nch18_ft  (ll=1.6e-06) Y,nch18_ft  (ll=1.8e-06) X,nch18_ft  (ll=1.8e-06) Y,nch18_ft  (ll=2e-06) X,nch18_ft  (ll=2e-06) Y,nch18_ft  (ll=2.2e-06) X,nch18_ft  (ll=2.2e-06) Y,nch18_ft  (ll=2.4e-06) X,nch18_ft  (ll=2.4e-06) Y
0,-77450.8618163838,0,-47052.9360598316,0,-40611.3516469976,0,-37323.40654390056,0,-37920.89058990163,0,-37990.58740564519,0,-37745.88864579806,0,-37308.11562641974,0,-36749.80211330374,0,-35436.98396955566,0,-35365.22700347193,0,-34771.63384287602,0,-33892.09590055327,0,-32860.65718135609,0,-31756.39400832931,0,-30627.09777590087
0.01,-102757.4110314519,0.01,-62280.72465638333,0.01,-53688.44594239115,0.01,-49298.29447762336,0.01,-49969.71077308794,0.01,-49973.75671018589,0.01,-49582.2591568939,0.01,-48949.56811693509,0.01,-48167.7912651743,0.01,-46366.47805680537,0.01,-46057.3871576067,0.01,-45122.00380361555,0.01,-43853.29987602378,0.01,-42415.74530727807,0.01,-40905.16466399254,0.01,-39378.65521053314
0.02,-136334.944363526,0.02,-82435.20541350034,0.02,-70972.44532152869,0.02,-65109.20652643924,0.02,-65838.57621515014,0.02,-65726.46165353952,0.02,-65118.36785177984,0.02,-64210.24414562466,0.02,-63118.79164436592,0.02,-60650.5419458074,0.02,-59964.95431674039,0.02,-58535.72510105998,0.02,-56724.51339774247,0.02,-54731.69901084922,0.02,-52672.41355110915,0.02,-50614.13846850784
0.03,-180879.5163761187,0.03,-109108.9709218618,0.03,-93814.58840957595,0.03,-85982.24442958133,0.03,-86735.21976605592,0.03,-86430.5477337637,0.03,-85506.30542405571,0.03,-84210.65623981609,0.03,-82691.08910311165,0.03,-79313.56201247009,0.03,-78049.70468543275,0.03,-75914.36707495783,0.03,-73350.90170248681,0.03,-70601.43879705489,0.03,-67802.91092338596,0.03,-65034.02708277197
0.04,-239931.6097026155,0.04,-144414.0253824907,0.04,-123998.9778264733,0.04,-113534.116078957,0.04,-114247.7244867213,0.04,-113636.7756196278,0.04,-112255.1948698818,0.04,-110416.4277316947,0.04,-108306.3463682886,0.04,-103690.8360839614,0.04,-101559.1930902983,0.04,-98422.91770812871,0.04,-94821.14231951622,0.04,-91043.61939282398,0.04,-87251.22409087463,0.04,-83534.25692995302
0.05,-318213.9951913431,0.05,-191130.9303293033,0.05,-163932.4290970346,0.05,-149963.4740139499,0.05,-150560.5082932986,0.05,-149504.0121611637,0.05,-147491.9318519359,0.05,-144918.892325231,0.05,-142018.4136943053,0.05,-135759.1760700179,0.05,-132402.3729662117,0.05,-127904.2359102407,0.05,-122914.6567699082,0.05,-117777.0701126806,0.05,-112678.3919097557,0.05,-107720.7597188368
0.06,-421967.917834432,0.06,-252908.0678137834,0.06,-216676.3076013871,0.06,-198058.0850068116,0.06,-198395.5376545005,0.06,-196677.3126142411,0.06,-193779.7293276061,0.06,-190197.9612352005,0.06,-186224.3980683532,0.06,-177755.5460214611,0.06,-172612.3988078618,0.06,-166205.6363023824,0.06,-159310.8981196305,0.06,-152330.1308404386,0.06,-145476.8178408714,0.06,-138863.591835539
0.07000000000000001,-559450.309457503,0.07000000000000001,-334578.4811115048,0.07000000000000001,-286313.1847640288,0.07000000000000001,-261495.7291487948,0.07000000000000001,-261337.3029393857,0.07000000000000001,-258636.4528738302,0.07000000000000001,-254489.0581749183,0.07000000000000001,-249514.0690424001,0.07000000000000001,-244076.1217434802,0.07000000000000001,-232623.0811870209,0.07000000000000001,-224910.4747020974,0.07000000000000001,-215850.2953692131,0.07000000000000001,-206355.9855245052,0.07000000000000001,-196890.0024706682,0.07000000000000001,-187690.4801198863,0.07000000000000001,-178877.1509286785
0.08,-741579.9335929198,0.08,-442516.3514207843,0.08,-378221.8666862278,0.08,-345138.3933559765,0.08,-344120.7258292111,0.08,-339977.3562398637,0.08,-334072.5132931795,0.08,-327176.4975867791,0.08,-319741.9858616192,0.08,-304260.4150045862,0.08,-292882.2252563389,0.08,-280146.9249450751,0.08,-267112.4688973346,0.08,-254299.2705217988,0.08,-241964.4683485101,0.08,-230228.4490041305
0.09,-982788.222182624,0.09,-585123.7432953503,0.09,-499479.6144868228,0.09,-455374.3032319193,0.09,-452948.8896279285,0.09,-446707.317411886,0.09,-438339.0639418858,0.09,-428798.0428516904,0.09,-418643.3334223003,0.09,-397724.8955206561,0.09,-381152.4560712739,0.09,-363342.5608183746,0.09,-345494.4977842327,0.09,-328176.5514079584,0.09,-311653.415400765,0.09,-296035.1140586292
