nch18_gm_gds (ll=2e-07) X,nch18_gm_gds (ll=2e-07) Y,nch18_gm_gds (ll=3e-07) X,nch18_gm_gds (ll=3e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0,72.38382140874417,0,168.1374832977459,0,206.7870489717855,0,228.3148343498644,0,250.5806788150273,0,269.1461481249792,0,284.8990314680956,0,298.4329633721393,0,310.1843252809409,0,329.5811464357332,0,355.8622159457425,0,379.1009856945162,0,399.7728576067111,0,418.2689010206543,0,434.9089837602123,0,449.9553715182782
0.01,72.38025287594019,0.01,168.1202242574336,0.01,206.7608852782975,0.01,228.2825155345623,0.01,250.5406002022772,0.01,269.0988463956855,0.01,284.8450102316172,0.01,298.3726928390463,0.01,310.1182378316922,0.01,329.5045728050139,0.01,355.772866182574,0.01,378.9997585291763,0.01,399.6606073256232,0.01,418.1464221492419,0.01,434.7770068578523,0.01,449.814564321277
0.02,72.37613592646635,0.02,168.1003450158345,0.02,206.7307555606756,0.02,228.2452973250646,0.02,250.4944832162353,0.02,269.0444478241706,0.02,284.7829088097049,0.02,298.3034287000112,0.02,310.0423075119378,0.02,329.4166276964568,0.02,355.6705489170348,0.02,378.8840888938764,0.02,399.53255288002,0.02,418.0068814661884,0.02,434.6268052046587,0.02,449.6544552668982
0.03,72.3622769304361,0.03,168.0774323184202,0.03,206.6960369237363,0.03,228.2024119669799,0.03,250.4413901415332,0.03,268.9818577217878,0.03,284.7114874838965,0.03,298.2237972005034,0.03,309.9550365306679,0.03,329.3155914847515,0.03,355.553354880697,0.03,378.7518936651416,0.03,399.3864520202452,0.03,417.8478910093729,0.03,434.4558572065352,0.03,449.4723999647385
0.04,72.32193707213662,0.04,168.0249814267117,0.04,206.6560069551843,0.04,228.1529698689255,0.04,250.3802366191632,0.04,268.9098122138934,0.04,284.6293168305684,0.04,298.1322161806923,0.04,309.8547016140177,0.04,329.1994890694276,0.04,355.4191010975553,0.04,378.6007996365064,0.04,399.2197577955512,0.04,417.6667450811037,0.04,434.2613119071844,0.04,449.2654142653868
0.05,72.28080255438175,0.05,167.9135917992177,0.05,206.5156902234862,0.05,228.0142072744858,0.05,250.2192315176918,0.05,268.7289972482467,0.05,284.4306991507282,0.05,297.9175007101273,0.05,309.62534978114,0.05,328.9444870901782,0.05,355.1260394549957,0.05,378.2734679188939,0.05,398.8614114987072,0.05,417.2802039056287,0.05,433.849034119503,0.05,448.8295552415262
0.06,72.23873779627409,0.06,167.7976636375345,0.06,206.3630833795808,0.06,227.8387272472616,0.06,250.0176673314898,0.06,268.5042200119378,0.06,284.1850798345662,0.06,297.6530536379432,0.06,309.3438007344488,0.06,328.6330072366757,0.06,354.7791716136273,0.06,377.8943497022842,0.06,398.4528574959916,0.06,416.8447203275833,0.06,433.3888479604667,0.06,448.3466463450823
0.07000000000000001,72.19558525649161,0.07000000000000001,167.6764633623265,0.07000000000000001,206.2024899227327,0.07000000000000001,227.6533834541986,0.07000000000000001,249.8040149686142,0.07000000000000001,268.2652981343608,0.07000000000000001,283.9234144267689,0.07000000000000001,297.3708020439406,0.07000000000000001,309.0428190247691,0.07000000000000001,328.299180804197,0.07000000000000001,354.4072949168344,0.07000000000000001,377.4877747786667,0.07000000000000001,398.0145998820993,0.07000000000000001,416.3774700204684,0.07000000000000001,432.89499818588,0.07000000000000001,447.8283265546468
0.08,72.1511619334055,0.08,167.549141982155,0.08,206.0326405265403,0.08,227.4566211727792,0.08,249.5763993474725,0.08,268.0100650240388,0.08,283.6432706622966,0.08,297.0680712484277,0.08,308.7195083242915,0.08,327.9397215498511,0.08,354.0068576952395,0.08,377.0499515753286,0.08,397.5426312816318,0.08,415.874251626309,0.08,432.3631088602494,0.08,447.2700624881372
0.09,72.10525534910214,0.09,167.4147177583433,0.09,205.8520711796455,0.09,227.2466509056111,0.09,249.3326695252923,0.09,267.7360423963686,0.09,283.3418732459218,0.09,296.7418160856733,0.09,308.3705777039604,0.09,327.5509086210465,0.09,353.5738652578088,0.09,376.576639250626,0.09,397.0324909506716,0.09,415.3304082186853,0.09,431.7883478874257,0.09,446.666865334503
0.09999999999999999,72.05761895862604,0.09999999999999999,167.2720566591382,0.09999999999999999,205.659095789978,0.09999999999999999,227.0214166442043,0.09999999999999999,249.0703635923716,0.09999999999999999,267.4404028136291,0.09999999999999999,283.0160648486086,0.09999999999999999,296.3885810088731,0.09999999999999999,307.9923013702253,0.09999999999999999,327.1285467306427,0.09999999999999999,353.1038465694637,0.09999999999999999,376.0631207668026,0.09999999999999999,396.4792441830712,0.09999999999999999,414.7408129734721,0.09999999999999999,431.1654188459686,0.09999999999999999,446.0132887285664
0.11,72.00796692613284,0.11,167.1198504773905,0.11,205.451775966647,0.11,226.7785613509995,0.11,248.7866712600018,0.11,267.1199305924863,0.11,282.6622662874604,0.11,296.004460295952,0.11,307.5804794886241,0.11,326.6679295114237,0.11,352.5918269408332,0.11,375.5041846816788,0.11,395.8774730332224,0.11,414.0998686412727,0.11,430.4885690080712,0.11,445.3034450929599
0.12,71.95596821350361,0.12,166.9565925465994,0.12,205.2278880997177,0.12,226.5153900266416,0.12,248.4783948863119,0.12,266.770982235161,0.12,282.2764374771312,0.12,295.5850603828032,0.12,307.1304025640434,0.12,326.1638093848198,0.12,352.0323108723432,0.12,374.8941205600659,0.12,395.2212839663822,0.12,413.4015271101183,0.12,429.7516204689163,0.12,444.5310479672252
0.13,71.90123993606946,0.13,166.7805510859988,0.13,204.9848880650949,0.13,226.2288310442088,0.13,248.1419101392974,0.13,266.3894481363375,0.13,281.8540414759636,0.13,295.1254672268068,0.13,306.6368228508799,0.13,325.610378538167,0.13,351.4192806100181,0.13,374.2267344667732,0.13,394.5043397517926,0.13,412.6393371736514,0.13,428.9480332515199,0.13,443.6894898990492
0.14,71.84333995656442,0.14,166.5897403497591,0.14,204.7198741754991,0.14,225.9153968696945,0.14,247.7731281081141,0.14,265.9707181067871,0.14,281.3900149102575,0.14,294.6202227238076,0.14,306.0939375517075,0.14,325.0012671731023,0.14,350.7462177100416,0.14,373.4953928952639,0.14,393.7199249414463,0.14,411.8065307707082,0.14,428.0710115155538,0.14,442.7719678288069
