pch18_Cdd_Cgg (ll=2e-07) X,pch18_Cdd_Cgg (ll=2e-07) Y,pch18_Cdd_Cgg (ll=3e-07) X,pch18_Cdd_Cgg (ll=3e-07) Y,pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y
0,0.2875475636283695,0,0.2323668221143913,0,0.1949973201068221,0,0.1679979665585936,0,0.1476946724909829,0,0.1317719450290541,0,0.1189500828502122,0,0.1084035191899378,0,0.09957584636668186,0,0.0856315153490709,0,0.07514969713643177,0,0.06695486435410639,0,0.06037205797466434,0,0.05496814240446453,0,0.05045240953877909,0,0.04662248196168026
0.01,0.287938962512839,0.01,0.2329659219200572,0.01,0.1956679893507239,0.01,0.168680160844937,0.01,0.1483596908606974,0.01,0.1324108013583545,0.01,0.1195597982807525,0.01,0.1089838833992602,0.01,0.100127917915537,0.01,0.08613199663808611,0.01,0.07560523748325604,0.01,0.06737208552749648,0.01,0.06075647795476949,0.01,0.05532429238080686,0.01,0.05078400826385113,0.01,0.04693259674088027
0.02,0.2883804611350144,0.02,0.2335829019359759,0.02,0.1963408314157239,0.02,0.1693625550899628,0.02,0.1490237026400623,0.02,0.1330479910376425,0.02,0.1201674863172484,0.02,0.1095620305564927,0.02,0.1006776836836918,0.02,0.08663015342349695,0.02,0.07605959309665844,0.02,0.06779164434412338,0.02,0.06114546571026234,0.02,0.05568644172837807,0.02,0.05112252649940315,0.02,0.04725021424682895
0.03,0.2888378590609826,0.03,0.2342563640035041,0.03,0.1970642096939756,0.03,0.1700786430384446,0.03,0.1497249125677118,0.03,0.1337237286471924,0.03,0.1208139065185648,0.03,0.1101784511460599,0.03,0.1012649110140702,0.03,0.08716368552412558,0.03,0.07654893882857597,0.03,0.0682395595955872,0.03,0.06155799443439827,0.03,0.05606851766912067,0.03,0.051478183545934,0.03,0.04758277110590858
0.04,0.2893119984124412,0.04,0.2349364749790887,0.04,0.1978046469968088,0.04,0.170822856625222,0.04,0.1504453781556977,0.04,0.1344129048387543,0.04,0.1214697876360972,0.04,0.1108015222518112,0.04,0.101856750520192,0.04,0.08769918129822346,0.04,0.07703576392058048,0.04,0.06868508101275961,0.04,0.06196826528390999,0.04,0.0564484685530324,0.04,0.05183184031051843,0.04,0.04791344280734864
0.05,0.2898034537853753,0.05,0.235623555727345,0.05,0.1985474123728594,0.05,0.1715671320070981,0.05,0.1511645220105369,0.05,0.1351000066293585,0.05,0.1221231868524436,0.05,0.1114219009095777,0.05,0.1024458029390654,0.05,0.08823188217461636,0.05,0.07751988836680267,0.05,0.06912803746160037,0.05,0.06237611668916581,0.05,0.05682614219363899,0.05,0.05218335345322862,0.05,0.04824209419867364
0.06,0.2903125467963014,0.06,0.2363177470965782,0.06,0.1992924974593513,0.06,0.1723113621161326,0.06,0.1518821880933124,0.06,0.135784853068822,0.06,0.1227739112781458,0.06,0.1120393896259965,0.06,0.1030318704491812,0.06,0.08876159621819912,0.06,0.0780011340112302,0.06,0.06956826436720452,0.06,0.06278139658127865,0.06,0.0572013977518491,0.06,0.05253259212825491,0.06,0.04856860330959329
0.07000000000000001,0.2908393670144427,0.07000000000000001,0.2370190277582214,0.07000000000000001,0.2000397775921499,0.07000000000000001,0.1730553537206266,0.07000000000000001,0.1525981650634099,0.07000000000000001,0.1364672289604981,0.07000000000000001,0.1234217483512288,0.07000000000000001,0.112653781504222,0.07000000000000001,0.103614753181543,0.07000000000000001,0.0892881387109449,0.07000000000000001,0.0784793362060856,0.07000000000000001,0.0700056141728186,0.07000000000000001,0.06318397183258569,0.07000000000000001,0.05757411431369281,0.07000000000000001,0.05287944582791229,0.07000000000000001,0.04889286856785922
0.08,0.2913837981765567,0.08,0.2377272373014192,0.08,0.2007890338910768,0.08,0.173798848667406,0.08,0.1533122068438646,0.08,0.1371469040831455,0.08,0.124066483560667,0.08,0.1132648765184196,0.08,0.1041942641667501,0.08,0.08981134485571764,0.08,0.07895435464324949,0.08,0.07043996567894252,0.08,0.06358373640339747,0.08,0.05794419807488093,0.08,0.05322383078131637,0.08,0.04921481454817029
0.09,0.2919455483612995,0.09,0.2384421033832937,0.09,0.2015399789630978,0.09,0.1745415482438002,0.09,0.1540240547774202,0.09,0.1378236528333622,0.09,0.1247079177414962,0.09,0.1138724967538912,0.09,0.1047702428173816,0.09,0.09033108049710471,0.09,0.07942608183378928,0.09,0.07087123085683315,0.09,0.06398061689913814,0.09,0.05831158693433366,0.09,0.05356569379647111,0.09,0.0495343952192072
