pch18_Cgd_Cgg (ll=2e-07) X,pch18_Cgd_Cgg (ll=2e-07) Y,pch18_Cgd_Cgg (ll=3e-07) X,pch18_Cgd_Cgg (ll=3e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0,-0.287546158138715,0,-0.232366696585616,0,-0.194997277995321,0,-0.167997924460006,0,-0.1476946199094789,0,-0.1317718833576518,0,-0.1189500134721228,0,-0.1084034432417112,0,-0.09957576476978591,0,-0.08563142457276585,0,-0.07514959869360784,0,-0.06695475984438125,0,-0.06037194855998661,0,-0.05496802895196459,0,-0.0504522927109881,0,-0.04662236227522695
0.01,-0.2879373246291637,0.01,-0.2329657743270513,0.01,-0.195667939549401,0.01,-0.1686801109278993,0.01,-0.1483596285609381,0.01,-0.1324107283273128,0.01,-0.1195597161547413,0.01,-0.1089837935215606,0.01,-0.1001278213746056,0.01,-0.0861318892712413,0.01,-0.07560512107706724,0.01,-0.06737196197000192,0.01,-0.06075634861688779,0.01,-0.05532415828530991,0.01,-0.05078387019199997,0.01,-0.04693245530176516
0.02,-0.288378554785743,0.02,-0.2335827286167213,0.02,-0.1963407725662932,0.02,-0.1693624959434471,0.02,-0.1490236288832911,0.02,-0.133047904627716,0.02,-0.1201673891883036,0.02,-0.1095619242945725,0.02,-0.1006775695730862,0.02,-0.08663002656425416,0.02,-0.07605945559517886,0.02,-0.06779149842001633,0.02,-0.06114531297952801,0.02,-0.05568628339629771,0.02,-0.05112236348644836,0.02,-0.0472500472704923
0.03,-0.2888356436627593,0.03,-0.2342561607428623,0.03,-0.1970641401993577,0.03,-0.1700785729986331,0.03,-0.1497248253036323,0.03,-0.1337236264771266,0.03,-0.1208137917269007,0.03,-0.1101783256038813,0.03,-0.1012647762353927,0.03,-0.08716353574653772,0.03,-0.07654877653277628,0.03,-0.06823938740256563,0.03,-0.06155781424552984,0.03,-0.05606833090193358,0.03,-0.05147799128262862,0.03,-0.04758257418980866
0.04,-0.2893094282970444,0.04,-0.2349362370235861,0.04,-0.1978045650161471,0.04,-0.1708227737545642,0.04,-0.1504452750097204,0.04,-0.1344127841622999,0.04,-0.1214696521243466,0.04,-0.1108013741092386,0.04,-0.1018565915290225,0.04,-0.08769900469632071,0.04,-0.07703557263369384,0.04,-0.06868487812070624,0.04,-0.06196805301948932,0.04,-0.05644824858004792,0.04,-0.05183161389869465,0.04,-0.04791321094582503
0.05,-0.2898004778748572,0.05,-0.235623277700608,0.05,-0.1985473157823904,0.05,-0.1715670340648978,0.05,-0.1511644002413722,0.05,-0.1350998642803904,0.05,-0.1221230270991388,0.05,-0.1114217263451556,0.05,-0.1024456156579623,0.05,-0.08823167425838735,0.05,-0.07751966326201348,0.05,-0.06912779877990891,0.05,-0.0623758670470566,0.05,-0.05682588353975559,0.05,-0.05218308727402284,0.05,-0.04824182165170581
0.06,-0.2903091083471545,0.06,-0.2363174229563792,0.06,-0.1992923838114222,0.06,-0.1723112465053461,0.06,-0.1518820445327481,0.06,-0.1357846853959972,0.06,-0.1227737232285796,0.06,-0.1120391842449213,0.06,-0.1030316501934053,0.06,-0.08876135183609657,0.06,-0.07800086955741804,0.06,-0.06956798406780379,0.06,-0.06278110349549475,0.06,-0.05720109415667515,0.06,-0.05253227975978551,0.06,-0.04856828351926888
0.07000000000000001,-0.2908354034563606,0.07000000000000001,-0.2370186507607918,0.07000000000000001,-0.2000396440764284,0.07000000000000001,-0.1730552174414321,0.07000000000000001,-0.1525979960627438,0.07000000000000001,-0.1364670317680809,0.07000000000000001,-0.1234215273537427,0.07000000000000001,-0.1126535402708746,0.07000000000000001,-0.103614494588426,0.07000000000000001,-0.08928785197421227,0.07000000000000001,-0.0784790260883909,0.07000000000000001,-0.07000528560781409,0.07000000000000001,-0.06318362838859612,0.07000000000000001,-0.0575737586449438,0.07000000000000001,-0.05287907995709216,0.07000000000000001,-0.04889249406885111
0.08,-0.2913792410709484,0.08,-0.2377267999753229,0.08,-0.200788877293527,0.08,-0.1737986882671765,0.08,-0.1533120082164306,0.08,-0.1371466725676704,0.08,-0.1240662242985297,0.08,-0.1132645936842515,0.08,-0.1041939611201944,0.08,-0.08981100905744907,0.08,-0.07895399167800658,0.08,-0.07043958129230125,0.08,-0.06358333474718977,0.08,-0.05794378223528514,0.08,-0.05322340310895388,0.08,-0.04921437687130769
0.09,-0.2919403235013467,0.09,-0.2384415975146721,0.09,-0.2015397956228669,0.09,-0.1745413597635251,0.09,-0.1540238217371655,0.09,-0.1378233815159763,0.09,-0.1247076141600945,0.09,-0.1138721657802716,0.09,-0.1047698883669891,0.09,-0.09033068802534264,0.09,-0.07942565787692947,0.09,-0.07087078208904417,0.09,-0.06398014813882874,0.09,-0.05831110176071236,0.09,-0.05356519493422025,0.09,-0.04953388478661061
0.09999999999999999,-0.2925182102917659,0.09999999999999999,-0.2391626879555519,0.09999999999999999,-0.202292070181389,0.09999999999999999,-0.1752829176616233,0.09999999999999999,-0.1547331863138676,0.09999999999999999,-0.1384969547427189,0.09999999999999999,-0.1253455270173951,0.09999999999999999,-0.1144761120212883,0.09999999999999999,-0.1053421512527802,0.09999999999999999,-0.09084679133640822,0.09999999999999999,-0.07989395349723097,0.09999999999999999,-0.07129883489205402,0.09999999999999999,-0.064374028341183,0.09999999999999999,-0.058675686467288,0.09999999999999999,-0.05390443181682131,0.09999999999999999,-0.04985099969448979
