pch18_Id_W  (ll=2e-07) X,pch18_Id_W  (ll=2e-07) Y,pch18_Id_W  (ll=3e-07) X,pch18_Id_W  (ll=3e-07) Y,pch18_Id_W  (ll=4e-07) X,pch18_Id_W  (ll=4e-07) Y,pch18_Id_W  (ll=5e-07) X,pch18_Id_W  (ll=5e-07) Y,pch18_Id_W  (ll=6e-07) X,pch18_Id_W  (ll=6e-07) Y,pch18_Id_W  (ll=7e-07) X,pch18_Id_W  (ll=7e-07) Y,pch18_Id_W  (ll=8e-07) X,pch18_Id_W  (ll=8e-07) Y,pch18_Id_W  (ll=9e-07) X,pch18_Id_W  (ll=9e-07) Y,pch18_Id_W  (ll=1e-06) X,pch18_Id_W  (ll=1e-06) Y,pch18_Id_W  (ll=1.2e-06) X,pch18_Id_W  (ll=1.2e-06) Y,pch18_Id_W  (ll=1.4e-06) X,pch18_Id_W  (ll=1.4e-06) Y,pch18_Id_W  (ll=1.6e-06) X,pch18_Id_W  (ll=1.6e-06) Y,pch18_Id_W  (ll=1.8e-06) X,pch18_Id_W  (ll=1.8e-06) Y,pch18_Id_W  (ll=2e-06) X,pch18_Id_W  (ll=2e-06) Y,pch18_Id_W  (ll=2.2e-06) X,pch18_Id_W  (ll=2.2e-06) Y,pch18_Id_W  (ll=2.4e-06) X,pch18_Id_W  (ll=2.4e-06) Y
0,-1.860369528342931e-06,0,-1.010679312529127e-06,0,-7.428084250325091e-07,0,-5.921157053502402e-07,0,-5.790839562801559e-07,0,-5.534760085346063e-07,0,-5.241304506750565e-07,0,-4.947536563645867e-07,0,-4.668563218527016e-07,0,-4.17241633663037e-07,0,-3.772928059875743e-07,0,-3.436109807393761e-07,0,-3.151150952266779e-07,0,-2.908221366808982e-07,0,-2.699306011835905e-07,0,-2.518076410815894e-07
0.01,-2.465542929187224e-06,0.01,-1.357145276409317e-06,0.01,-1.002343633970551e-06,0.01,-8.009009153530682e-07,0.01,-7.822885040604298e-07,0.01,-7.469963533341919e-07,0.01,-7.06866143888561e-07,0.01,-6.668355382289225e-07,0.01,-6.28899881429953e-07,0.01,-5.615575302300294e-07,0.01,-5.074714640825541e-07,0.01,-4.619008079003861e-07,0.01,-4.233643297767702e-07,0.01,-3.905227362243985e-07,0.01,-3.622867818719322e-07,0.01,-3.377976772107867e-07
0.02,-3.267677003249614e-06,0.02,-1.823026454568808e-06,0.02,-1.353251852991839e-06,0.02,-1.084021036604398e-06,0.02,-1.057504162385163e-06,0.02,-1.008879652578143e-06,0.02,-9.540079228263478e-07,0.02,-8.994639742906866e-07,0.02,-8.478810768177575e-07,0.02,-7.564817671400664e-07,0.02,-6.832585036162137e-07,0.02,-6.216044225941204e-07,0.02,-5.694907343250737e-07,0.02,-5.250932592905829e-07,0.02,-4.869318945678378e-07,0.02,-4.538413034731433e-07
0.03,-4.330511818340626e-06,0.03,-2.449152250039914e-06,0.03,-1.827574540716699e-06,0.03,-1.467877132812831e-06,0.03,-1.430167677446696e-06,0.03,-1.363183154745013e-06,0.03,-1.288158050717878e-06,0.03,-1.213841930378786e-06,0.03,-1.143705805045324e-06,0.03,-1.019663832441125e-06,0.03,-9.205220003452939e-07,0.03,-8.371063002943212e-07,0.03,-7.666347844081633e-07,0.03,-7.066203080435625e-07,0.03,-6.550504344704095e-07,0.03,-6.103432505997575e-07
0.04,-5.738459951955546e-06,0.04,-3.29028712779388e-06,0.04,-2.468324865157491e-06,0.04,-1.98797953389956e-06,0.04,-1.934459436259328e-06,0.04,-1.842217609484059e-06,0.04,-1.739664725958223e-06,0.04,-1.638434076272894e-06,0.04,-1.543094714235637e-06,0.04,-1.374792949347006e-06,0.04,-1.240589304170404e-06,0.04,-1.12775871410944e-06,0.04,-1.032486302060312e-06,0.04,-9.513819070809095e-07,0.04,-8.817099663746175e-07,0.04,-8.213235895949889e-07
0.05,-7.603151146509577e-06,0.05,-4.419980183324338e-06,0.05,-3.333657893267773e-06,0.05,-2.692458651575772e-06,0.05,-2.616660974693114e-06,0.05,-2.48969837523355e-06,0.05,-2.349562146024478e-06,0.05,-2.211708214740632e-06,0.05,-2.082143520613153e-06,0.05,-1.853849058158714e-06,0.05,-1.672229132489522e-06,0.05,-1.519649769162918e-06,0.05,-1.390881462522939e-06,0.05,-1.281304385520788e-06,0.05,-1.187200923521795e-06,0.05,-1.105658136471786e-06
0.06,-1.007216462134269e-05,0.06,-5.936828191194047e-06,0.06,-4.501970540940846e-06,0.06,-3.646408090593462e-06,0.06,-3.539270618797466e-06,0.06,-3.364599233469565e-06,0.06,-3.17316761925066e-06,0.06,-2.985494289278049e-06,0.06,-2.809465968197048e-06,0.06,-2.499876848738499e-06,0.06,-2.254150836497026e-06,0.06,-2.047873807821255e-06,0.06,-1.873879497357582e-06,0.06,-1.725874040520931e-06,0.06,-1.598806475373591e-06,0.06,-1.48872544986082e-06
0.07000000000000001,-1.334054584930554e-05,0.07000000000000001,-7.972959769657171e-06,0.07000000000000001,-6.078895015834407e-06,0.07000000000000001,-4.937790154278978e-06,0.07000000000000001,-4.786629454062858e-06,0.07000000000000001,-4.546431686298247e-06,0.07000000000000001,-4.28501299685767e-06,0.07000000000000001,-4.02959002377663e-06,0.07000000000000001,-3.790502528062851e-06,0.07000000000000001,-3.370786099408052e-06,0.07000000000000001,-3.038414964869274e-06,0.07000000000000001,-2.75961822827044e-06,0.07000000000000001,-2.524578843382329e-06,0.07000000000000001,-2.324724551387353e-06,0.07000000000000001,-2.153194558667941e-06,0.07000000000000001,-2.004630281268816e-06
0.08,-1.766598845062538e-05,0.08,-1.070537323021926e-05,0.08,-8.206703376584083e-06,0.08,-6.685420286749521e-06,0.08,-6.472505123522144e-06,0.08,-6.142348357723943e-06,0.08,-5.785471829457963e-06,0.08,-5.437944816056026e-06,0.08,-5.113301799717783e-06,0.08,-4.544446320406768e-06,0.08,-4.095002532180094e-06,0.08,-3.718297748139591e-06,0.08,-3.400887987122967e-06,0.08,-3.131100880248942e-06,0.08,-2.89961970359103e-06,0.08,-2.699179356580373e-06
0.09,-2.338883716814679e-05,0.09,-1.437107866496467e-05,0.09,-1.107693326501195e-05,0.09,-9.049715802392327e-06,0.09,-8.750285027609607e-06,0.09,-8.296680059645273e-06,0.09,-7.809649882046438e-06,0.09,-7.336950498579739e-06,0.09,-6.896267871488333e-06,0.09,-6.125508878466826e-06,0.09,-5.517930982258315e-06,0.09,-5.009086316164095e-06,0.09,-4.580569818227451e-06,0.09,-4.216492074850557e-06,0.09,-3.904204607463489e-06,0.09,-3.633860118964169e-06
