pch18_Vdsat (ll=2e-07) X,pch18_Vdsat (ll=2e-07) Y,pch18_Vdsat (ll=3e-07) X,pch18_Vdsat (ll=3e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0,-0.04266178394903226,0,-0.04176529033756466,0,-0.04116285957583724,0,-0.04075405261920151,0,-0.03997695050943025,0,-0.03940893891891633,0,-0.03897685244332141,0,-0.03863751956182986,0,-0.03836412961486537,0,-0.03795101796223117,0,-0.03814081133093641,0,-0.03828577586210365,0,-0.03840011788664393,0,-0.03849261292961658,0,-0.03856897538376575,0,-0.03863308650139918
0.01,-0.04266180467107757,0.01,-0.04176531410621871,0.01,-0.04116288670731057,0.01,-0.04075408214063666,0.01,-0.03997698636666241,0.01,-0.03940897986599195,0.01,-0.03897689755384651,0.01,-0.03863756813892933,0.01,-0.03836418112423332,0.01,-0.03795107416792374,0.01,-0.03814087236187332,0.01,-0.03828584079202664,0.01,-0.03840018603400507,0.01,-0.0384926837783816,0.01,-0.03856904853373049,0.01,-0.03863316163573279
0.02,-0.04266183213732309,0.02,-0.04176534606709405,0.02,-0.04116292338782654,0.02,-0.04075412217029879,0.02,-0.03997703492851332,0.02,-0.03940903527575445,0.02,-0.03897695856163916,0.02,-0.0386376338057032,0.02,-0.03836425073063132,0.02,-0.03795115008191133,0.02,-0.03814095477350628,0.02,-0.03828592845268201,0.02,-0.03840027802517271,0.02,-0.03849277940490165,0.02,-0.0385691472565728,0.02,-0.03863326302833334
0.03,-0.04266186853029332,0.03,-0.04176538902116933,0.03,-0.04116297296879142,0.03,-0.04075417644266394,0.03,-0.03997710068488976,0.03,-0.0394091102397436,0.03,-0.03897704104747466,0.03,-0.03863772254856922,0.03,-0.03836434476251717,0.03,-0.03795125257873983,0.03,-0.03814106600571435,0.03,-0.03828604674020197,0.03,-0.03840040213291599,0.03,-0.03849290839826247,0.03,-0.03856928041098929,0.03,-0.03863339977040345
0.04,-0.04266191674034542,0.04,-0.04176544672537976,0.04,-0.04116303994627311,0.04,-0.0407542499783164,0.04,-0.03997718966672955,0.04,-0.03940921159405859,0.04,-0.03897715250258979,0.04,-0.03863784240220752,0.04,-0.03836447171302807,0.04,-0.03795139088376931,0.04,-0.03814121605651042,0.04,-0.03828620627628257,0.04,-0.03840056949277414,0.04,-0.03849308232492857,0.04,-0.03856945993010937,0.04,-0.0386335841110147
0.05,-0.04266198058974618,0.05,-0.04176552422526278,0.05,-0.04116313039902647,0.05,-0.04075434958204101,0.05,-0.03997731004003298,0.05,-0.03940934858758323,0.05,-0.03897730305579974,0.05,-0.03863800422466974,0.05,-0.03836464305491656,0.05,-0.0379515774507443,0.05,-0.03814141841194296,0.05,-0.0382864213792608,0.05,-0.03840079510893348,0.05,-0.03849331676427278,0.05,-0.03856970188290316,0.05,-0.03863383254107509
0.06,-0.04266206513164058,0.06,-0.04176562828457581,0.06,-0.04116325252149752,0.06,-0.04075448445677449,0.06,-0.03997747283191573,0.06,-0.03940953369714882,0.06,-0.0389775063612105,0.06,-0.03863822264525149,0.06,-0.03836487423924839,0.06,-0.03795182904175946,0.06,-0.03814169121740092,0.06,-0.03828671130985317,0.06,-0.03840109916098062,0.06,-0.03849363266649677,0.06,-0.03857002787537236,0.06,-0.03863416723164437
0.07000000000000001,-0.04266217704434674,0.07000000000000001,-0.0417657679672238,0.07000000000000001,-0.04116341735470321,0.07000000000000001,-0.04075466703836862,0.07000000000000001,-0.03997769292301286,0.07000000000000001,-0.03940978374416156,0.07000000000000001,-0.03897778081510091,0.07000000000000001,-0.03863851736405182,0.07000000000000001,-0.03836518606438807,0.07000000000000001,-0.03795216820658961,0.07000000000000001,-0.03814205887558838,0.07000000000000001,-0.03828710196441894,0.07000000000000001,-0.03840150877565809,0.07000000000000001,-0.03849405819000226,0.07000000000000001,-0.03857046694379621,0.07000000000000001,-0.03863461797539736
0.08,-0.04266232515108485,0.08,-0.04176595541486554,0.08,-0.04116363976899077,0.08,-0.04075491412412329,0.08,-0.03997799038509823,0.08,-0.03941012139685388,0.08,-0.0389781511909738,0.08,-0.03863891489659139,0.08,-0.0383656065125975,0.08,-0.03795262526550762,0.08,-0.03814255418722267,0.08,-0.03828762814255407,0.08,-0.03840206039881558,0.08,-0.03849463116075087,0.08,-0.03857105808847301,0.08,-0.03863522478431854
0.09,-0.0426625211047189,0.09,-0.0417662068853567,0.09,-0.04116393978328631,0.09,-0.04075524839185412,0.09,-0.03997839227870153,0.09,-0.03941057718687641,0.09,-0.03897865083270526,0.09,-0.03863945091233584,0.09,-0.03836617321063408,0.09,-0.03795324096377158,0.09,-0.03814322121535913,0.09,-0.03828833658029364,0.09,-0.03840280296741382,0.09,-0.03849540236063343,0.09,-0.03857185366075953,0.09,-0.03863604136172936
