pch18_Vgs_Vth (ll=2e-07) X,pch18_Vgs_Vth (ll=2e-07) Y,pch18_Vgs_Vth (ll=3e-07) X,pch18_Vgs_Vth (ll=3e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0,0.5558281531988376,0,0.5274507049942135,0,0.5141279812971937,0,0.5066678988377633,0,0.4994436527340985,0,0.4944389055589159,0,0.4907517135794913,0,0.4879131742062,0,0.4856548720143471,0,0.4822765420757204,0,0.4788191624776951,0,0.4762318395230613,0,0.4742192077217597,0,0.4726068775600177,0,0.4712850174187628,0,0.4701808862111789
0.01,0.5458281532730906,0.01,0.5174507050347324,0.01,0.5041279814126894,0.01,0.4966678989295489,0.01,0.489443652823796,0.01,0.4844389056445758,0.01,0.480751713660537,0.01,0.4779131742826376,0.01,0.4756548720864098,0.01,0.4722765421400065,0.01,0.4688191625356368,0.01,0.4662318395756797,0.01,0.4642192077698889,0.01,0.4626068776043288,0.01,0.4612850174597961,0.01,0.4601808862493728
0.02,0.5358281533715133,0.02,0.5074507050892176,0.02,0.4941279814533797,0.02,0.4866678989622516,0.02,0.4794436528556099,0.02,0.4744389056748627,0.02,0.4707517136891304,0.02,0.4679131743095582,0.02,0.4656548721117549,0.02,0.4622765421625745,0.02,0.4588191625559603,0.02,0.4562318395941241,0.02,0.454219207786751,0.02,0.4526068776198494,0.02,0.4512850174741636,0.02,0.4501808862627436
0.03,0.5258281535019222,0.03,0.4974507051624413,0.03,0.4841279815083818,0.03,0.4766678990065929,0.03,0.4694436528986887,0.03,0.4644389057158388,0.03,0.460751713727789,0.03,0.4579131743459386,0.03,0.4556548721459968,0.03,0.4522765421930475,0.03,0.4488191625833917,0.03,0.4462318396190135,0.03,0.4442192078095016,0.03,0.4426068776407832,0.03,0.4412850174935418,0.03,0.4401808862807752
0.04,0.5158281536746755,0.04,0.4874507052608125,0.04,0.4741279815826811,0.04,0.4666678990666733,0.04,0.4594436529569831,0.04,0.4544389057712405,0.04,0.4507517137800238,0.04,0.4479131743950732,0.04,0.4456548721922237,0.04,0.4422765422341642,0.04,0.4388191626203967,0.04,0.4362318396525818,0.04,0.4342192078401813,0.04,0.4326068776690108,0.04,0.4312850175196683,0.04,0.4301808863050844
0.05,0.505828153903472,0.05,0.4774507053929294,0.05,0.4641279816830221,0.05,0.4566678991480505,0.05,0.4494436530358431,0.05,0.4444389058461227,0.05,0.4407517138505844,0.05,0.4379131744614142,0.05,0.4356548722546156,0.05,0.4322765422896294,0.05,0.4288191626703008,0.05,0.4262318396978419,0.05,0.42421920788154,0.05,0.4226068777070592,0.05,0.4212850175548817,0.05,0.4201808863378437
0.06,0.4958281542064185,0.06,0.4674507055703254,0.06,0.4541279818184975,0.06,0.446667899258244,0.06,0.4394436531424942,0.06,0.4344389059473059,0.06,0.4307517139458683,0.06,0.4279131745509571,0.06,0.4256548723388003,0.06,0.4222765423644264,0.06,0.4188191627375787,0.06,0.416231839758849,0.06,0.4142192079372774,0.06,0.4126068777583292,0.06,0.4112850176023263,0.06,0.4101808863819797
0.07000000000000001,0.4858281546074454,0.07000000000000001,0.4574507058084523,0.07000000000000001,0.4441279820013544,0.07000000000000001,0.4366678994074176,0.07000000000000001,0.4294436532866846,0.07000000000000001,0.4244389060839883,0.07000000000000001,0.4207517140744997,0.07000000000000001,0.4179131746717816,0.07000000000000001,0.4156548724523511,0.07000000000000001,0.4122765424652595,0.07000000000000001,0.4088191628282516,0.07000000000000001,0.406231839841051,0.07000000000000001,0.4042192080123692,0.07000000000000001,0.4026068778273934,0.07000000000000001,0.4012850176662283,0.07000000000000001,0.4001808864414199
0.08,0.4758281551381734,0.08,0.447450706128007,0.08,0.4341279822480909,0.08,0.4266678996092941,0.08,0.4194436534815649,0.08,0.4144389062685579,0.08,0.410751714248091,0.08,0.4079131748347589,0.08,0.4056548726054586,0.08,0.4022765426011466,0.08,0.3988191629504088,0.08,0.3962318399517708,0.08,0.3942192081134955,0.08,0.3926068779203901,0.08,0.3912850177522655,0.08,0.3901808865214441
0.09,0.4658281558403631,0.09,0.4374507065567107,0.09,0.4241279825809143,0.09,0.416667899882404,0.09,0.4094436537448671,0.09,0.4044389065177105,0.09,0.4007517144822715,0.09,0.3979131750545166,0.09,0.3956548728118289,0.09,0.392276542784201,0.09,0.3888191631149206,0.09,0.386231840100849,0.09,0.3842192082496312,0.09,0.3826068780455636,0.09,0.3812850178680592,0.09,0.3801808866291341
