pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0,-19813.07995325895,0,-11243.42826316323,0,-8384.415227281455,0,-6723.296931412852,0,-6533.275734131744,0,-6210.445834021035,0,-5852.612278074123,0,-5499.819706551908,0,-5167.769766188356,0,-4581.921521216429,0,-4113.412770067293,0,-3719.832815773266,0,-3387.724147729465,0,-3105.182975288374,0,-2862.621931133971,0,-2652.523939653124
0.01,-26145.40705963221,0.01,-15042.6670892484,0.01,-11277.42678090955,0.01,-9068.280160913399,0.01,-8799.14613268532,0.01,-8355.431355511795,0.01,-7867.393155800445,0.01,-7387.999875976535,0.01,-6937.78682163415,0.01,-6145.052823096948,0.01,-5512.528494080781,0.01,-4981.626961141094,0.01,-4533.928340111942,0.01,-4153.239002422351,0.01,-3826.553404183013,0.01,-3543.691288209784
0.02,-34497.3835596098,0.02,-20128.5898913189,0.02,-15170.00290856324,0.02,-12231.8707278666,0.02,-11851.07449374018,0.02,-11241.01733420814,0.02,-10575.13947254002,0.02,-9923.465973606168,0.02,-9312.817839736832,0.02,-8239.776223557912,0.02,-7386.292121036913,0.02,-6672.896696482302,0.02,-6071.678871580328,0.02,-5560.687217387785,0.02,-5122.344623590549,0.02,-4742.916932971856
0.03,-45515.62108283397,0.03,-26936.63402445742,0.03,-20413.97573632025,0.03,-16506.60227390661,0.03,-15972.70158071628,0.03,-15137.78846849318,0.03,-14232.58607292238,0.03,-13349.5995726519,0.03,-12523.84429817931,0.03,-11075.44447381384,0.03,-9928.552026191559,0.03,-8967.496572561535,0.03,-8157.989068330246,0.03,-7470.236588836749,0.03,-6880.444452590355,0.03,-6370.048738491025
0.04,-60050.36546328396,0.04,-36043.71542885195,0.04,-27469.80266858146,0.04,-22279.63216208931,0.04,-21531.24134969364,0.04,-20387.6663382124,0.04,-19155.9799450745,0.04,-17958.42456635245,0.04,-16840.70192691866,0.04,-14883.73608305953,0.04,-13337.1267988253,0.04,-12042.17013985812,0.04,-10952.03751102223,0.04,-10026.26794088672,0.04,-9232.632811378289,0.04,-8546.028390491323
0.05,-79222.35124478277,0.05,-48224.29575055766,0.05,-36958.08267529259,0.05,-30065.04374324889,0.05,-29016.00439593465,0.05,-27448.96381197254,0.05,-25772.38695058401,0.05,-24147.65550717882,0.05,-22634.29737887672,0.05,-19989.56883664732,0.05,-17903.44807203278,0.05,-16158.27726845948,0.05,-14690.05115698764,0.05,-13443.78624633944,0.05,-12375.80777906793,0.05,-11452.15295120744
0.06,-104508.4630088645,0.06,-64512.63265793773,0.06,-49714.10549092281,0.06,-40560.9119054613,0.06,-39090.48812551452,0.06,-36942.27898994692,0.06,-34659.28555571569,0.06,-32454.32688545275,0.06,-30404.76032149212,0.06,-26829.82221938963,0.06,-24015.4466940694,0.06,-21663.22886724249,0.06,-19685.61719079904,0.06,-18007.84731876046,0.06,-16570.7034092934,0.06,-15328.21748099611
0.07000000000000001,-137854.3245681275,0.07000000000000001,-86289.34477128637,0.07000000000000001,-66858.25153910604,0.07000000000000001,-54705.71688389552,0.07000000000000001,-52644.78470598297,0.07000000000000001,-49698.76624137857,0.07000000000000001,-46589.00710320069,0.07000000000000001,-43595.81217860504,0.07000000000000001,-40819.44341068843,0.07000000000000001,-35986.33454236557,0.07000000000000001,-32188.9458915399,0.07000000000000001,-29018.29199555231,0.07000000000000001,-26354.52205282517,0.07000000000000001,-24095.91547044214,0.07000000000000001,-22162.14761700287,0.07000000000000001,-20490.97733637678
0.08,-181822.1872390517,0.08,-115396.5329972396,0.08,-89892.42358875168,0.08,-73760.28856804142,0.08,-70872.07316936673,0.08,-66830.6704605186,0.08,-62593.58909552496,0.08,-58529.50744289891,0.08,-54767.9832834524,0.08,-48233.20174061279,0.08,-43109.08174289733,0.08,-38835.21458093783,0.08,-35247.41931464541,0.08,-32207.22668469324,0.08,-29605.63307549648,0.08,-27358.33462518931
0.09,-239785.0480824981,0.09,-154290.7441360511,0.09,-120828.6866408994,0.09,-99417.29664529991,0.09,-95370.54538151738,0.09,-89825.1125071924,0.09,-84050.85261776275,0.09,-78531.92409669785,0.09,-73435.16627936938,0.09,-64599.21905205677,0.09,-57684.88065455441,0.09,-51924.40229251608,0.09,-47092.73597364651,0.09,-43001.30052415236,0.09,-39502.12186736028,0.09,-36480.98159309668
0.09999999999999999,-316181.250922944,0.09999999999999999,-206246.0177085571,0.09999999999999999,-162360.6831182011,0.09999999999999999,-133947.3708109846,0.09999999999999999,-128279.0487558883,0.09999999999999999,-120668.6221458236,0.09999999999999999,-112798.4887531417,0.09999999999999999,-105303.3494366826,0.09999999999999999,-98397.21053571682,0.09999999999999999,-86450.18201202375,0.09999999999999999,-77121.05317040534,0.09999999999999999,-69358.18157706485,0.09999999999999999,-62852.92502148223,0.09999999999999999,-57348.3579645771,0.09999999999999999,-52643.54875364242,0.09999999999999999,-48583.71927161957
0.11,-416848.1235239591,0.11,-275623.1182247773,0.11,-218091.7609117791,0.11,-180393.8413491882,0.11,-172457.3334052058,0.11,-162012.238561057,0.11,-151285.0154561764,0.11,-141106.0965600737,0.11,-131748.7554644289,0.11,-115597.1465441416,0.11,-103012.232703904,0.11,-92553.68327640492,0.11,-83798.03717442862,0.11,-76395.15714910215,0.11,-70072.15173793485,0.11,-64619.25749825392
0.12,-549458.7555133008,0.12,-368226.0803684258,0.12,-292838.1413310822,0.12,-242831.8716361045,0.12,-231725.1567174923,0.12,-217389.9816922955,0.12,-202769.1164553391,0.12,-188946.7295591365,0.12,-176269.9688532649,0.12,-154438.4747356385,0.12,-137466.3314934915,0.12,-123381.1028188867,0.12,-111601.6289659398,0.12,-101650.659708988,0.12,-93157.54121308669,0.12,-85837.9868670867
