pch18_gm_gds  (ll=2e-07) X,pch18_gm_gds  (ll=2e-07) Y,pch18_gm_gds  (ll=3e-07) X,pch18_gm_gds  (ll=3e-07) Y,pch18_gm_gds  (ll=4e-07) X,pch18_gm_gds  (ll=4e-07) Y,pch18_gm_gds  (ll=5e-07) X,pch18_gm_gds  (ll=5e-07) Y,pch18_gm_gds  (ll=6e-07) X,pch18_gm_gds  (ll=6e-07) Y,pch18_gm_gds  (ll=7e-07) X,pch18_gm_gds  (ll=7e-07) Y,pch18_gm_gds  (ll=8e-07) X,pch18_gm_gds  (ll=8e-07) Y,pch18_gm_gds  (ll=9e-07) X,pch18_gm_gds  (ll=9e-07) Y,pch18_gm_gds  (ll=1e-06) X,pch18_gm_gds  (ll=1e-06) Y,pch18_gm_gds  (ll=1.2e-06) X,pch18_gm_gds  (ll=1.2e-06) Y,pch18_gm_gds  (ll=1.4e-06) X,pch18_gm_gds  (ll=1.4e-06) Y,pch18_gm_gds  (ll=1.6e-06) X,pch18_gm_gds  (ll=1.6e-06) Y,pch18_gm_gds  (ll=1.8e-06) X,pch18_gm_gds  (ll=1.8e-06) Y,pch18_gm_gds  (ll=2e-06) X,pch18_gm_gds  (ll=2e-06) Y,pch18_gm_gds  (ll=2.2e-06) X,pch18_gm_gds  (ll=2.2e-06) Y,pch18_gm_gds  (ll=2.4e-06) X,pch18_gm_gds  (ll=2.4e-06) Y
0,77.71813451428294,0,153.2057051872828,0,176.9455916675367,0,190.8109029609431,0,208.0657940407467,0,220.9646552599191,0,230.9217941903038,0,238.8129253206432,0,245.2056141576448,0,254.9033857519588,0,294.9578166152407,0,334.4645034862525,0,373.4328636677355,0,411.8724750392539,0,449.7929774181052,0,487.2039953430364
0.01,77.697651625017,0.01,153.1893101424493,0.01,176.9245272202853,0.01,190.7870945327217,0.01,208.0372367657359,0.01,220.9322791598554,0.01,230.886301251626,0.01,238.7748494063563,0.01,245.1653668365257,0.01,254.8596965744274,0.01,294.9053418660378,0.01,334.4033148013073,0.01,373.363043119213,0.01,411.7941111403508,0.01,449.7061626666945,0.01,487.108824625869
0.02,77.64420944944213,0.02,153.1528582379597,0.02,176.9006286112512,0.02,190.7600335202303,0.02,208.0047917409713,0.02,220.895506121818,0.02,230.8459966860111,0.02,238.7316187390576,0.02,245.1196766369929,0.02,254.8101083321566,0.02,294.8406667105127,0.02,334.307273567768,0.02,373.2363019735872,0.02,411.6372448922625,0.02,449.5196874804489,0.02,486.8932163948363
0.03,77.59023069218081,0.03,153.0366980484072,0.03,176.7894029153685,0.03,190.664756788902,0.03,207.8836838775609,0.03,220.7542934779898,0.03,230.6887805151462,0.03,238.5614039125893,0.03,244.93871554338,0.03,254.6124510858007,0.03,294.5897900582493,0.03,334.0207088343609,0.03,372.9144881977613,0.03,411.2806232082661,0.03,449.128698019638,0.03,486.4682963027612
0.04,77.5356299921734,0.04,152.9179566818183,0.04,176.648770230035,0.04,190.5112496973513,0.04,207.7125698361968,0.04,220.5696344926625,0.04,230.4934249512964,0.04,238.3574102845466,0.04,244.72761148609,0.04,254.3903491345504,0.04,294.3301104026446,0.04,333.7238955258034,0.04,372.5809937700043,0.04,410.9109031252335,0.04,448.7232072673812,0.04,486.0274871986843
0.05,77.48030941614185,0.05,152.7962303411702,0.05,176.5041139591949,0.05,190.353078024396,0.05,207.535872550637,0.05,220.3786572302126,0.05,230.2911533974418,0.05,238.1460066915706,0.05,244.5086830639033,0.05,254.1597673928429,0.05,294.0602764757161,0.05,333.4152676474041,0.05,372.2340400429541,0.05,410.5260954612572,0.05,448.3010176519302,0.05,485.5683852794064
0.06,77.42415649802848,0.06,152.6710514938854,0.06,176.3547914592194,0.06,190.1894882160813,0.06,207.3527014202581,0.06,220.1803628670546,0.06,230.0808799131048,0.06,237.9260357752732,0.06,244.2807133981777,0.06,253.9193955539825,0.06,293.7787294687482,0.06,333.0930202474482,0.06,371.8715783174358,0.06,410.1239101904234,0.06,447.8596002560187,0.06,485.0882251767586
0.07000000000000001,77.36704197666606,0.07000000000000001,152.5418784636454,0.07000000000000001,176.2000558011899,0.07000000000000001,190.0196030433588,0.07000000000000001,207.1620219826326,0.07000000000000001,219.9735932132535,0.07000000000000001,229.8613469914993,0.07000000000000001,237.696158798058,0.07000000000000001,244.0422961838914,0.07000000000000001,253.6677214961762,0.07000000000000001,293.4836728607212,0.07000000000000001,332.7550751826302,0.07000000000000001,371.4912515929128,0.07000000000000001,409.7017142154151,0.07000000000000001,447.3960486408803,0.07000000000000001,484.5838298572608
0.08,77.30881719150275,0.08,152.4080834149252,0.08,176.0390386654979,0.08,189.8424012431339,0.08,206.9626329872255,0.08,219.7570059748251,0.08,229.6310995030911,0.08,237.4548285992509,0.08,243.7918078882596,0.08,253.4030024137265,0.08,293.173039191506,0.08,332.3990436123324,0.08,371.0903528363555,0.08,409.2564854484716,0.08,446.9070287662478,0.08,484.0515564015203
0.09,77.24931109367039,0.09,152.2689385433708,0.09,175.8707307168613,0.09,189.6566942084185,0.09,206.753140415776,0.09,219.529046964074,0.09,229.388455641134,0.09,237.2002596333759,0.09,243.527377123031,0.09,253.1232333120288,0.09,292.8444541112881,0.09,332.0221856954615,0.09,370.6657803847317,0.09,408.7847639552872,0.09,446.3887258978882,0.09,483.487238687373
0.09999999999999999,77.18832682830408,0.09999999999999999,152.1236002915268,0.09999999999999999,175.6939592429817,0.09999999999999999,189.4610995102582,0.09999999999999999,206.531928342013,0.09999999999999999,219.2879192651502,0.09999999999999999,229.1314749866123,0.09999999999999999,236.9303953098113,0.09999999999999999,243.2468515032024,0.09999999999999999,252.8261133410146,0.09999999999999999,292.4951984071553,0.09999999999999999,331.6213684197535,0.09999999999999999,370.2139916383504,0.09999999999999999,408.2826015440342,0.09999999999999999,445.8367901032469,0.09999999999999999,482.8861287907537
0.11,77.12563784444602,0.11,151.9710914313658,0.11,175.5073628948064,0.11,189.2540111210125,0.11,206.2971266733747,0.11,219.0315495703189,0.11,228.857924070087,0.11,236.6428731599632,0.11,242.9477626525905,0.11,252.5090108588069,0.11,292.1221692453722,0.11,331.1930231502175,0.11,369.7309569777708,0.11,407.7455120716527,0.11,445.2462829423211,0.11,482.2428400381555
0.12,77.06098349213475,0.12,151.8102809001128,0.12,175.3093634647164,0.12,189.0335663563823,0.12,206.0465760530298,0.12,218.7575522177051,0.12,228.5652401942095,0.12,236.3349888063643,0.12,242.6272905201266,0.12,252.1689287116276,0.12,291.7218426264744,0.12,330.7331054053183,0.12,369.2121169197205,0.12,407.1684259834865,0.12,444.6116293584817,0.12,481.5512961933865
0.13,76.99406407367323,0.13,151.6398613543572,0.13,175.0981347990615,0.13,188.7976097878202,0.13,205.7777905539651,0.13,218.4631919218109,0.13,228.2504948351971,0.13,236.0036603451221,0.13,242.2822288798096,0.13,251.8024720457442,0.13,291.2902400989745,0.13,330.2370606367802,0.13,368.6523470107953,0.13,406.5456542952965,0.13,443.9265806769919,0.13,480.8046933684282
0.14,76.92453532944621,0.14,151.4583245327689,0.14,174.8715691878255,0.14,188.5436547297286,0.14,205.4879193101511,0.14,218.1453468430338,0.14,227.9103587197842,0.14,235.6453956384849,0.14,241.9089548660733,0.14,251.4058220995854,0.14,290.8229041992363,0.14,329.6998014963955,0.14,368.0459369467699,0.14,405.8708694948885,0.14,443.1841971557263,0.14,479.9954840509857
0.15,76.85200236038148,0.15,151.2639347078615,0.15,174.6272419379361,0.15,188.2688434203564,0.15,205.1737089544499,0.15,217.8004745503763,0.15,227.5410717402905,0.15,235.2562662166541,0.15,241.5034067165748,0.15,250.9747209376091,0.15,290.3148889700502,0.15,329.1157043247201,0.15,367.3865930172711,0.15,405.1371138036115,0.15,442.3768618447251,0.15,479.1153962897291
0.16,76.7760130223258,0.16,151.054700784582,0.16,174.3623753569227,0.16,187.9699077419966,0.16,204.831469730865,0.16,217.4245846619015,0.16,227.1384222984713,0.16,234.8318930846228,0.16,241.061075636114,0.16,250.5044740639136,0.16,289.7607743510569,0.16,328.4786354942177,0.16,366.6674763207034,0.16,404.3368490218791,0.16,441.4963417187251,0.16,478.1555057047629
